,Announcement_Date,PURPOSE,AGM_DATE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,AGM DATE,REMARKS
1,15-05-2020,AGM,27-06-2020,AGM 27/06/2020This is to inform that the 39th Annual...
2,12-04-2019,AGM,22-06-2019,The 38th Annual General Meeting of the Members of th...
3,13-04-2018,AGM,23-06-2018,Infosys Ltd has informed BSE that the Register of Me...
4,22-05-2017,AGM,,Notice convening AGM and Annual Report for fiscal 2017
5,13-04-2017,AGM,24-06-2017,Infosys Ltd has informed BSE that the Register of Me...
6,15-04-2016,AGM,18-06-2016,AGM:18.06.2016Infosys Ltd has submitted to BSE a cop...
7,24-04-2015,AGM,22-06-2015,AGM : 22/06/2015Infosys Ltd has informed BSE that th...
8,15-04-2014,AGM,14-06-2014,Infosys Ltd has informed BSE that the Register of Me...
9,12-04-2013,AGM,15-06-2013,AGM : 15.06.2013Infosys Ltd has informed BSE that th...
