,Announcement_Date,PURPOSE,AGM_DATE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,AGM DATE,REMARKS
1,02-05-2019,AGM,05-08-2019,AGM:The Board decided that 139th AGM of the Members ...
2,15-05-2018,AGM,07-08-2018,Bombay Dyeing & Manufacturing Company Ltd has inform...
3,28-06-2017,AGM,10-08-2017,This is to inform you that the Board of Directors of...
4,12-07-2016,AGM,10-08-2016,Bombay Dyeing & Mfg Company Limited has submitted to...
5,04-06-2015,AGM,06-08-2015,AGM:06.08.2015Bombay Dyeing & Manufacturing Company ...
6,15-07-2014,AGM,08-08-2014,Bombay Dyeing & Manufacturing Company Ltd has inform...
7,10-06-2014,AGM,08-08-2014,AGM:08.08.2014Bombay Dyeing & Manufacturing Company ...
8,09-06-2014,AGM,08-08-2014,AGM:08.08.2014
9,04-06-2013,AGM,06-08-2013,AGM 06.08.2013Bombay Dyeing & Manufacturing Company ...
