,Announcement_Date,PURPOSE,AGM_DATE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,AGM DATE,REMARKS
1,20-05-2019,AGM,20-06-2019,AGM:20.06.201964th Annual General Meeting on 20.06.2...
2,28-05-2018,AGM,28-06-2018,AGM 28.06.2018Intimation of AGM and Submission of co...
3,25-05-2017,AGM,27-06-2017,AGM:27.06.2017Copy of Gazette Notification published...
4,24-05-2017,AGM,,Copy of Gazette Notification published is attached
5,09-05-2017,AGM,15-06-2017,State Bank of India has submitted to BSE a copy of t...
6,30-05-2016,AGM,30-06-2016,AGM 30.06.2016State Bank of India has informed BSE t...
7,24-09-2015,AGM,24-09-2015,State Bank of India has informed BSE regarding the d...
8,27-05-2015,AGM,02-07-2015,State Bank of India has informed BSE that the 60th A...
9,02-06-2014,AGM,03-07-2014,State Bank of India has informed BSE that the 59th A...
10,14-05-2014,AGM,25-06-2014,State Bank Of India has informed the Exchange that t...
11,17-05-2013,AGM,21-06-2013,State Bank of India has informed BSE that the 58th A...
