,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,08-05-2020,Others,Certificate under Regulation 40(9) of SEBI (Listing Obligations and Disc...
2,24-04-2020,Others,ADANI POWER LTD.has informed BSE that the meeting of the Board of Direct...
3,03-04-2020,Others,The Exchange has received Disclosure under Regulation 31(1) and 31(2) of...
4,31-03-2020,Others,The Exchange has received the Disclosures of reasons for encumbrance by ...
5,28-03-2020,Others,Intimation of Closure of Trading Window
6,13-03-2020,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
7,03-03-2020,Others,The Exchange has received the disclosure under Regulation 10(5) in respe...
8,27-01-2020,Others,ADANI POWER LTD.has informed BSE that the meeting of the Board of Direct...
9,23-01-2020,Others,Intimation in respect of rating assignment to the Company by the credit ...
10,08-01-2020,Others,The Exchange has received Disclosure under Regulation 31(1) and 31(2) of...
11,07-01-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
12,10-12-2019,Others,Intimation of Analyst Meet
13,09-12-2019,Others,Disclosure of Related Party Transactions pursuant to Regulation 23(9) of...
14,20-11-2019,Others,The Exchange has received the disclosure under Regulation 29(1) of SEBI ...
15,18-11-2019,Others,The Exchange has received the Disclosures of reasons for encumbrance by ...
16,11-10-2019,Others,Certificate under Regulation 40(9) of SEBI(Listing Obligations and Discl...
17,30-09-2019,Others,Intimation of Closure of Trading Window
18,28-09-2019,Others,Regulation 30 (Disclosure of events or information) - Securities and Exc...
19,17-09-2019,Others,Regulation 30 (Disclosure of events or information) - Securities and Exc...
20,11-09-2019,Others,Regulation 30 (Disclosure of events or information) - Securities and Exc...
21,09-09-2019,Others,The Exchange had sought clarification from Adani Power Ltd with referenc...
22,06-09-2019,Others,The Exchange has sought clarification from Adani Power Ltd with respect ...
23,04-09-2019,Others,Intimation for participation in Investors Meeting
24,09-08-2019,Others,Intimation of Alteration in Articles of Association of the Company.
25,07-08-2019,Others,"Outcome of the Board Meeting held on 7th August, 2019 and Submission of ..."
26,02-08-2019,Others,Press Release - Completion of acquisition of GMR Chhattisgarh Energy Ltd.
27,29-07-2019,Others,ADANI POWER LTD.has informed BSE that the meeting of the Board of Direct...
28,17-07-2019,Others,Pursuant to Regulation 47 of the SEBI (Listing Obligations and Disclosur...
29,13-07-2019,Others,Intimation of Book Closure pursuant to Section 91 of Companies Act 2013 ...
30,11-07-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
31,02-07-2019,Others,Regulation 30 (Disclosure of events or information) - Securities and Exc...
32,29-06-2019,Others,"Outcome of the Board Meeting held on 29th June, 2019"
33,28-06-2019,Others,Intimation of Closure of Trading Window
34,26-06-2019,Others,Disclosure of Related Party Transactions pursuant to Regulation 23(9) of...
35,25-06-2019,Others,Regulation 30 (Disclosure of events or information) - Securities and Exc...
