,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,28-03-2020,Others,This is with reference to our letter no. APL/SEC/20/182 dated 22nd Octob...
2,23-03-2020,Others,This is to inform that the Company has been taking a series of measures ...
3,21-03-2020,Others,"Please find enclosed the intimation letter dated 19th March, 2020, recei..."
4,18-03-2020,Others,The Exchange has received Disclosure under Regulation 31(1) and 31(2) of...
5,17-03-2020,Others,The Exchange has received Disclosure under Regulation 31(1) and 31(2) of...
6,13-03-2020,Others,This is to inform you that as per 'Asian Paints Limited - Code of Conduc...
7,11-03-2020,Others,"Please find enclosed the intimation letter dated 9th March, 2020, receiv..."
8,09-03-2020,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
9,06-03-2020,Others,"Please find enclosed the intimation letter dated 6th March, 2020, receiv..."
10,04-03-2020,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
11,28-02-2020,Others,"Please find enclosed the intimation letter dated 28th February, 2020, re..."
12,25-02-2020,Others,"The Board of Directors of the Company at their meeting held today has, i..."
13,21-02-2020,Others,Pursuant to Regulation 30 and other applicable provisions of SEBI (Listi...
14,19-02-2020,Others,This is to inform you that a meeting of the Board of Directors of the Co...
15,13-02-2020,Others,"Please find enclosed the intimation letter dated 12th February, 2020, re..."
16,07-02-2020,Others,"Please find enclosed the intimation letter dated 6th February, 2020, rec..."
17,06-02-2020,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
18,05-02-2020,Others,"Please find enclosed the intimation letter dated 4th February, 2020, rec..."
19,28-01-2020,Others,"Please find enclosed the intimation letter dated 27th January, 2020, rec..."
20,24-01-2020,Others,"Please find enclosed the intimation letter dated 23rd January, 2020, rec..."
21,23-01-2020,Others,Pursuant to Regulation 30 and other applicable provisions of Listing Reg...
22,17-01-2020,Others,"Please find enclosed the intimation letter dated 16th January, 2020, rec..."
23,10-01-2020,Others,"Please find enclosed the intimation letter dated 9th January, 2020, rece..."
24,03-01-2020,Others,"Please find enclosed the intimation letter dated 2nd January, 2020, rece..."
25,01-01-2020,Others,"Pursuant to Regulation 30 of Listing Regulations, please find enclosed c..."
26,24-12-2019,Others,"Please find enclosed the intimation letter dated 23rd December, 2019, re..."
27,19-12-2019,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
28,16-12-2019,Others,This is to inform you that the Company through its representatives will ...
29,11-12-2019,Others,"Please find enclosed the intimation letter dated 9th December, 2019, rec..."
30,09-12-2019,Others,This is to inform you that as per 'Asian Paints Limited - Code of Conduc...
31,07-12-2019,Others,"Please find enclosed the intimation letter dated 5th December, 2019, rec..."
32,29-11-2019,Others,"Please find enclosed the intimation letter dated 27th November, 2019, re..."
33,27-11-2019,Others,"Further to our letter no. APL/SEC/20/182 dated 22nd October, 2019, relat..."
34,26-11-2019,Others,"Please find enclosed the intimation letter dated 25th November, 2019, re..."
35,21-11-2019,Others,"Please find enclosed the intimation letter dated 19th November, 2019, re..."
36,18-11-2019,Others,This is to inform you that the Company through its representatives will ...
37,14-11-2019,Others,"Please find enclosed the intimation letter dated 14th November, 2019, re..."
38,12-11-2019,Others,"Please find enclosed the intimation letter dated 11th November, 2019, re..."
39,08-11-2019,Others,"Please find enclosed the intimation letter dated 8th November, 2019, rec..."
40,01-11-2019,Others,"Please find enclosed the intimation letter dated 1st November, 2019, rec..."
41,31-10-2019,Others,"Please find enclosed the intimation letter dated 30th October, 2019, rec..."
42,23-10-2019,Others,Pursuant to Regulation 30 and other applicable provisions of SEBI (Listi...
43,22-10-2019,Others,"The Board of Directors of the Company at their meeting held today has, i..."
44,15-10-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
45,11-10-2019,Others,"Please find enclosed the intimation letter dated 10th October, 2019, rec..."
46,09-10-2019,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
47,07-10-2019,Others,ASIAN PAINTS LTD.has informed BSE that the meeting of the Board of Direc...
48,01-10-2019,Others,"Please find enclosed the intimation letter dated 30th September, 2019, r..."
49,25-09-2019,Others,"Please find enclosed the intimation letter dated 24th September, 2019, r..."
50,20-09-2019,Others,"Please find enclosed the intimation letter dated 20th September, 2019, r..."
51,17-09-2019,Others,In accordance with Regulation 30 of Securities and Exchange Board of Ind...
52,13-09-2019,Others,"Please find enclosed the intimation letter dated 13th September, 2019, r..."
53,10-09-2019,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
54,09-09-2019,Others,This is to inform you that as per 'Asian Paints Limited - Code of Conduc...
55,06-09-2019,Others,"Please find enclosed the intimation letter dated 6th September, 2019, re..."
56,05-09-2019,Others,"Please find enclosed the intimation letter dated 03rd September, 2019, r..."
57,31-08-2019,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
58,29-08-2019,Others,This is to inform you that the Company through its representatives will ...
59,23-08-2019,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
60,22-08-2019,Others,"Please find enclosed the intimation letter dated 21 st August, 2019, rec..."
61,19-08-2019,Others,This is to inform you that the Company through its representatives will ...
62,16-08-2019,Others,"Please find enclosed the intimation letter dated 14th August, 2019, rece..."
