,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,17-05-2020,Others,Newspaper Advertisement for Board Meeting scheduled to be held on Saturd...
2,16-05-2020,Others,Avenue Supermarts Ltdhas informed BSE that the meeting of the Board of D...
3,22-04-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
4,17-04-2020,Others,Compliance Certificate under Regulation 40(10) of SEBI (Listing Obligati...
5,18-03-2020,Others,Redemption of Secured Rated Unlisted Redeemable Non-Convertible Debentur...
6,13-03-2020,Others,Credit Rating Intimation
7,09-03-2020,Others,In terms of ''Code of Internal Procedures and Code of Conduct for Regula...
8,19-02-2020,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
9,10-02-2020,Others,Outcome of the meeting of Operations Committee of the Company held today...
10,05-02-2020,Others,This is to inform you that a meeting of the Operations Committee of the ...
11,31-01-2020,Others,"Schedule of Analyst/ Investor Meeting from 31st January, 2020 to 3rd Feb..."
12,27-01-2020,Others,"Schedule of Analyst/ Investor Meeting from 28th January, 2020 to 30th Ja..."
13,17-01-2020,Others,Disclosure under Regulation 39(3) of SEBI (Listing Obligations and Discl...
14,16-01-2020,Others,Presentation for Analyst/ Investor Meetings is enclosed herewith.
15,15-01-2020,Others,"Schedule of Analyst/ Investor Meeting from 16th January, 2020 to 24th Ja..."
16,13-01-2020,Others,Newspaper publication of the Standalone and Consolidated Un-audited Fina...
17,11-01-2020,Others,"Outcome of the Board Meeting held on January 11, 2020."
18,08-01-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
19,02-01-2020,Others,Avenue Supermarts Ltdhas informed BSE that the meeting of the Board of D...
20,24-12-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
21,06-12-2019,Others,In terms of 'Code of Internal Procedures and Code of Conduct for Regulat...
22,06-11-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
23,23-10-2019,Others,Disclosure of Related Party Transactions on consolidated basis pursuant ...
24,17-10-2019,Others,"Allotment of 1,000 Secured Rated Unlisted Redeemable Non-Convertible Deb..."
25,14-10-2019,Others,Newspaper publication of the Standalone and Consolidated Un-audited Fina...
26,12-10-2019,Others,"Monitoring Agency Report for the Quarter ended September 30, 2019."
27,04-10-2019,Others,Compliance Certificate as per Regulation 7(3) of SEBI (Listing Obligatio...
28,01-10-2019,Others,Avenue Supermarts Ltdhas informed BSE that the meeting of the Board of D...
29,27-09-2019,Others,"Allotment of 1,000 Secured Rated Listed Redeemable Non-Convertible Deben..."
30,18-09-2019,Others,"Allotment of 1,000 Secured Rated Unlisted Redeemable Non-Convertible Deb..."
31,17-09-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
32,14-09-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
33,09-09-2019,Others,In terms of 'Code of Internal Procedures and Code of Conduct for Regulat...
34,06-09-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
35,04-09-2019,Others,CRISIL Limited has assigned CRISIL AA+/Stable for Non-Convertible Debent...
36,30-08-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
37,21-08-2019,Others,Voting results in accordance with the Regulation 44(3) of the SEBI (List...
38,09-08-2019,Others,Completion of sale of equity shares of the Company held by the Promoter ...
39,06-08-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
40,30-07-2019,Others,"Newspaper Advertisement of Notice of Annual General Meeting, Remote E-vo..."
41,26-07-2019,Others,Disclosure under Regulation 39(3) of SEBI (Listing Obligations and Discl...
42,25-07-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
43,24-07-2019,Others,The Register of Members and Share Transfer Books of the Company will rem...
44,15-07-2019,Others,Newspaper publication of the Standalone and Consolidated Un-audited Fina...
45,13-07-2019,Others,"Monitoring Agency Report for the Quarter ended June 30, 2019"
46,05-07-2019,Others,Newspaper advertisement for Board Meeting of the Company scheduled to be...
47,28-06-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
48,12-06-2019,Others,Updates for Analyst/ Investor Meet 2019 is enclosed herewith.
49,11-06-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
50,07-06-2019,Others,Disclosure of Related Party Transactions on consolidated basis pursuant ...
51,06-06-2019,Others,Analyst/ Investor Meeting  for the year 2019 has been scheduled on Wedne...
52,04-06-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
53,29-05-2019,Others,Annual Secretarial Compliance Report  Sr. No. Particulars Details  1Peri...
54,11-05-2019,Others,Standalone Audited Financial Statements for the quarter ended 31st March...
55,30-04-2019,Others,Avenue Supermarts Ltdhas informed BSE that the meeting of the Board of D...
56,26-04-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
57,22-04-2019,Others,Format of Initial Disclosure to be made by an entity identified as a Lar...
58,15-04-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
59,10-04-2019,Others,Compliance Certificate as per Regulation 7(3) of SEBI (Listing Obligatio...
60,09-04-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
61,25-03-2019,Others,We hereby inform you that Board of Directors of the Company at its meeti...
62,19-03-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
63,12-03-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
64,11-03-2019,Others,In terms of 'Code of Internal Procedures and Code of Conduct for Regulat...
65,08-03-2019,Others,Postal Ballot Voting Results and Scrutinizers Report
66,05-03-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
67,05-02-2019,Others,Pursuant to Regulation 30 of the Securities & Exchange Board of India (L...
68,14-01-2019,Others,Newspaper publication of the Standalone Un-audited Financial Statements ...
69,12-01-2019,Others,"Monitoring Agency Report for the Quarter ended December 31, 2018"
70,10-01-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
71,09-01-2019,Others,The Board of Directors at their meeting scheduled to be held on Saturday...
72,04-01-2019,Others,Newspaper advertisement for Board Meeting of the Company scheduled to be...
73,03-01-2019,Others,Avenue Supermarts Ltdhas informed BSE that the meeting of the Board of D...
74,10-12-2018,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
75,05-12-2018,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
76,05-11-2018,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
77,29-10-2018,Others,CRISIL Limited has enhanced the limit of Commercial Paper of the Company...
78,15-10-2018,Others,Newspaper publication of the Standalone Un-audited Financial Statements ...
79,13-10-2018,Others,"Financial Results for the quarter and half year ended on September 30, 2018"
80,11-10-2018,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
81,10-10-2018,Others,Compliance Certificate under Regulation 40(10) of SEBI (Listing Obligati...
82,09-10-2018,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
