,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,07-05-2020,Others,We confirm that during the month of April 2020 no dematerialisation / re...
2,06-04-2020,Others,The Company is registered with the Securities and Exchange Board of Indi...
3,02-04-2020,Others,"Reference is made to your e-mail dated 1st April, 2020 with respect to a..."
4,27-03-2020,Others,In the context of the situation arising due to spread of COVID-19 and th...
5,23-03-2020,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
6,18-03-2020,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
7,11-03-2020,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
8,05-03-2020,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
9,04-03-2020,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
10,02-03-2020,Others,Details of the shares dematerialised by the Company during the month of ...
11,19-02-2020,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
12,18-02-2020,Others,In terms of the SEBI (Listing Obligations and Disclosure Requirements) R...
13,12-02-2020,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
14,11-02-2020,Others,"We write to advise, pursuant to Regulation 30 of the SEBI (Listing Oblig..."
15,05-02-2020,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
16,03-02-2020,Others,Details of Dematerialisation and Rematerialisation of Shares effected in...
17,31-01-2020,Others,"Further to our letter dated 31st January, 2020 forwarding the Unaudited ..."
18,30-01-2020,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
19,17-01-2020,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
20,15-01-2020,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
21,08-01-2020,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
22,06-01-2020,Others,Details of Dematerialisation and Rematerialisation of Shares effected in...
23,26-12-2019,Others,We write to advise that the Trading Window for purchasing / selling or d...
24,24-12-2019,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
25,21-12-2019,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
26,19-12-2019,Others,In terms of the SEBI (Listing Obligations and Disclosure Requirements) R...
27,06-12-2019,Others,Acquisition of shares of Delectable Technologies Private Limited  Furthe...
28,02-12-2019,Others,Details of Dematerialisation of Shares effected in  November 2019 pursua...
29,21-11-2019,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
30,14-11-2019,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
31,13-11-2019,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
32,06-11-2019,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
33,01-11-2019,Others,Details of Dematerialisation and Rematerialisation of Shares effected in...
34,30-10-2019,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
35,25-10-2019,Others,Pursuant to Regulation 39(3) of the SEBI (Listing Obligations and Disclo...
