,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,08-05-2020,Others,Sub:   Certificate  in  terms  of  regulation  74(5)  of  SEBI (Deposito...
2,06-05-2020,Others,Sub: Issue of Non-convertible Debentures by Larsen & Toubro Limited ('th...
3,28-04-2020,Others,Sub:  Issue of Non-convertible Debentures by Larsen & Toubro Limited ('t...
4,24-04-2020,Others,Intimation under Regulation 57(1) of SEBI (Listing  Obligations and Disc...
5,23-04-2020,Others,Pursuant to Regulation 7(3) of the SEBI (Listing Obligations and Disclos...
6,22-04-2020,Others,Sub:  L&T Construction Awarded (Significant*) Contracts for its Building...
7,21-04-2020,Others,Sub:  L&T Construction Awarded (Significant*) Contracts for its Various ...
8,20-04-2020,Others,Sub:  Issue of Non-convertible Debentures by Larsen & Toubro Limited ('t...
9,16-04-2020,Others,Sub: L&T Heavy Engineering Awarded (*Significant) Contracts  We send her...
10,14-04-2020,Others,Update on payment of 1st Interim Dividend for FY 2019-20
11,13-04-2020,Others,Submission of information regarding loss of share certificates and issue...
12,09-04-2020,Others,Sub: L&T Construction Awarded (Major*) Contracts  for its Power Transmis...
13,08-04-2020,Others,Sub: L&T Hydrocarbon Engineering awarded (Large*)  Contract by Indian Oi...
14,07-04-2020,Others,Sub: L&T Construction Awarded (Large*) Contract for  its Smart World & C...
15,06-04-2020,Others,LARSEN & TOUBRO LTD.has informed BSE that the meeting of the Board of Di...
16,30-03-2020,Others,We send herewith a copy of Press Release that is being issued by the Com...
17,27-03-2020,Others,Re: Cessation of Director  Pursuant to Regulation 30(2) of the SEBI(List...
18,20-03-2020,Others,Sub :  Submission of information regarding loss of share certificates an...
19,19-03-2020,Others,Sub :  Allotment of Shares  We wish to inform you that the Company has a...
20,18-03-2020,Others,Larsen & Toubro Ltd has informed BSE that the Board of Directors of the ...
21,13-03-2020,Others,LARSEN & TOUBRO LTD.has informed BSE that the meeting of the Board of Di...
22,07-03-2020,Others,Submission of information regarding loss of share certificates and issue...
23,04-03-2020,Others,Sub: L&T Construction Awarded (Significant*) Contract for its Water & Ef...
24,03-03-2020,Others,Sub: L&T Construction Awarded (Significant*) Contracts for its Power Tra...
25,28-02-2020,Others,We send herewith a copy of Press Release that is being issued by the Com...
26,27-02-2020,Others,Sub: L&T Construction Awarded (*Significant) Contracts for its Various B...
27,24-02-2020,Others,We send herewith a copy of Press Release that is being issued by the Com...
28,11-02-2020,Others,Schedule of Analyst / Institutional Investors' Meet.
29,05-02-2020,Others,We send herewith a copy of Press Release that is being issued by the Com...
30,04-02-2020,Others,L&T Construction awarded (Large*) contract for Freight Facilities Packag...
31,03-02-2020,Others,We send herewith a copy of Press Release that is being issued by the Com...
