,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,16-05-2020,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI (...
2,12-05-2020,Others,TCS iON Launches Remote Internships Product to Connect Students with Ind...
3,06-05-2020,Others,"Continental Bank Selects TCS BaNCST Cloud to Offer Richer, Digitalized C..."
4,28-04-2020,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI (...
5,23-04-2020,Others,TCS iONT Offers Free Access to Virtual Classrooms to Educators Across th...
6,21-04-2020,Others,Telangana State Council of Higher Education Partners with TCS iONT to Im...
7,20-04-2020,Others,Amway Partners with TCS for Strategic IT Operations Transformation
8,15-04-2020,Others,TCS BaNCST to Power Israel's First Fully Digital Bank
9,10-04-2020,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
10,07-04-2020,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
11,02-04-2020,Others,TCS a Leader in Cognitive and Self-Healing IT Infrastructure Management ...
12,31-03-2020,Others,TCS Positioned as a Leader in Gartner Magic Quadrant for Managed Workpla...
13,27-03-2020,Others,TCS Named a Leader in 2020 Gartner Magic Quadrant for Managed Workplace ...
14,25-03-2020,Others,TCS Recognized as Leader of the Year in Life Sciences by Everest Group
15,19-03-2020,Others,TCS Recognized as a Leader in Gartner Magic Quadrant for Managed Workpla...
16,18-03-2020,Others,TCS Launches Business Ecosystem Integration Services to Accelerate Digit...
17,13-03-2020,Others,TCS Named a Leader and Star Performer in Application and Digital Service...
18,12-03-2020,Others,Black Cat Engineering Partners with TCS to Drive its Digital Transformat...
19,11-03-2020,Others,TCS Named a Leader in the 2020 Gartner Magic Quadrant for Data and Analy...
20,09-03-2020,Others,TCS Named a Leader in Application and Digital Services in Capital Market...
21,06-03-2020,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
22,05-03-2020,Others,TCS Named Number 1 Top Employer in Europe for Second Consecutive Year
23,02-03-2020,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
24,28-02-2020,Others,TCS Recognized as a Leader in Property & Casualty Insurance Application ...
25,27-02-2020,Others,TCS Recognized as a Global Top Employer for Fifth Consecutive Year
26,26-02-2020,Others,Coders from Asia Pacific Make a Clean Sweep at TCS CodeVita
27,21-02-2020,Others,Tata Consultancy Services Ltd has submitted to BSE a copy of Press Relea...
28,19-02-2020,Others,TCS Ranked as the #1 Life Sciences Service Provider by HFS
29,13-02-2020,Others,"This is to inform you that the Board of Directors, at its meeting held t..."
30,12-02-2020,Others,TCS a Leader and a Star Performer in Enterprise Blockchain Services: Eve...
31,05-02-2020,Others,TCS a Leader and Star Performer in Supply Chain Management BPO Services:...
32,03-02-2020,Others,Walgreens Boots Alliance Advances Transformation of its Global Informati...
33,31-01-2020,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
34,30-01-2020,Others,TCS Recognized as a Leader in Multi-Process Human Resources Outsourcing ...
35,27-01-2020,Others,TCS Recognized as a Leader in the IDC MarketScape for European Managed C...
36,24-01-2020,Others,TCS Named a Leader in Talent Readiness for Next-generation IT Services b...
37,23-01-2020,Others,TCS Among Top 3 IoT Service Providers: HFS Research
38,21-01-2020,Others,TCS a Leader in Life Sciences Data and Analytics Services for Sales and ...
39,17-01-2020,Others,"We would like to inform you that at the Board Meeting held today, the Di..."
40,16-01-2020,Others,TCS Named a Leader in Healthcare Digital Services by Avasant
41,10-01-2020,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
42,08-01-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
43,07-01-2020,Others,TCS Ranked Among Top Four Providers of SAP SuccessFactors Services by HFS
44,04-01-2020,Others,"The Company has on January 3, 2020 filed an appeal before the Hon'ble Su..."
45,02-01-2020,Others,TCS Named a Leader and Star Performer in Life & Pensions Insurance BPO S...
46,01-01-2020,Others,Extreme Networks Partners with TCS to Successfully Transform and Future-...
47,24-12-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
48,19-12-2019,Others,TCS to Help VIAVI Develop Next-gen 5G Solutions
49,16-12-2019,Others,TCS Launches QuartzTM DevKit: Helps Enterprises Build Blockchain Apps 40...
50,12-12-2019,Others,Elisa Smart Factory and TCS Partner to Deliver Advanced Analytics Soluti...
51,09-12-2019,Others,TCS Positioned as a Leader in Financial Crime and Compliance Operations ...
52,06-12-2019,Others,TCS' Advanced Drug Development Suite Wins the India Pharma Award 2019
53,02-12-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
54,27-11-2019,Others,"TCS Recognized with Top CSR Honor, the U.S. Chamber of Commerce Foundati..."
55,26-11-2019,Others,SMU-TCS iCity Lab Wins the 2019 SuperNova Award for the SHINESeniors Pro...
56,21-11-2019,Others,TCS Wins the ITSMA 2019 Diamond Award for Marketing Excellence
57,20-11-2019,Others,TCS Collaborates with Qualcomm to Launch New Innovation Hub to Develop N...
58,18-11-2019,Others,TCS Launches Microsoft Business Unit to Help Enterprises Accelerate thei...
59,13-11-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
60,07-11-2019,Others,"Pursuant to Regulation 23(9) of Listing Regulations, please find enclose..."
61,01-11-2019,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
62,31-10-2019,Others,TCS' IoT Solutions Win the Emerging Digital Technologies Awards 2019
63,30-10-2019,Others,TCS iON'sT Digital Marking Hub Expands its Evaluator Ecosystem
64,23-10-2019,Others,TCS Launches Blockchain-based Multi-brand Customer Loyalty Platform on R...
65,17-10-2019,Others,Vodafone Idea Extends Strategic Partnership with TCS to Enhance Customer...
66,16-10-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
67,14-10-2019,Others,TCS Named India's Overall Most Outstanding Company in Asiamoney's 2019 Poll
68,11-10-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
69,09-10-2019,Others,Legal & General Expands Strategic Partnership with TCS to Enable Digital...
70,07-10-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
71,04-10-2019,Others,Please find enclosed the certificate under Regulation 7(3) of Securities...
72,01-10-2019,Others,Jurassic Fibre Partners with TCS to Launch Ultrafast Broadband in South ...
73,27-09-2019,Others,TCS' Connected Clinical Trials Platform Wins the European Innovations Award
74,26-09-2019,Others,Voyager Alliance Credit Union Select TCS BaNCST Cloud for Core Banking
75,25-09-2019,Others,QNB Selects the TCS BaNCST Global Securities Platform to Future-proof it...
76,24-09-2019,Others,TCS Launches SaaS Platform for Financial Institutions to Automate End-to...
77,20-09-2019,Others,Just Launched: Official App for TCS Liding?loppet 2019 Packed with Excit...
78,19-09-2019,Others,TCS a Leader in Software Product Engineering Services: Everest Group
79,16-09-2019,Others,General Motors and Tata Consultancy Services Launch New Partnership in G...
80,10-09-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
81,09-09-2019,Others,TCS Named a Leader in IDC MarketScape for Worldwide Digital Transformati...
82,05-09-2019,Others,Posten Norge Expands its Strategic Partnership with TCS to Enable Superi...
83,04-09-2019,Others,TCS' Virgin Money London Marathon App Wins Three Steviesr at the 2019 In...
84,27-08-2019,Others,TCS Colombia Wins 2019 Microsoft Partner of the Year Awards
85,26-08-2019,Others,We are sending herewith copy of the Press Release titled 'Damen Shipyard...
86,23-08-2019,Others,TCS iON IntelliGem to Help School Students Build 21st Century Skills
87,22-08-2019,Others,TCS Recognized as a Leader in Gartner Magic Quadrant for Global Retail C...
88,16-08-2019,Others,TCS Interactive Wins 2019 Red Dot: Best of the Best Award in Brands and ...
89,13-08-2019,Others,We are sending herewith copy of the Press Release titled 'ignioT Celebra...
90,09-08-2019,Others,TCS Launches Robotic Automation Solutions to Accelerate Digital Transfor...
91,07-08-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
92,06-08-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
93,02-08-2019,Others,TCS Positioned as a Leader in Application Modernization and Migration Se...
94,01-08-2019,Others,We are sending herewith copy of the Press Release titled 'TCS Launches N...
95,31-07-2019,Others,TCS a Leader in DevOps Services: Everest Group
96,30-07-2019,Others,TCS Enterprise Cloud Platform Wins the Equinix Best Innovation Award in ...
97,26-07-2019,Others,Deutsche Bank Spain Wins Celent Model Wealth Manager 2019 Award for Clie...
98,25-07-2019,Others,TCS Named a Leader in Digital Workplace Services by Everest Group
99,24-07-2019,Others,TCS Named Oracle's HCM Cloud Partner of the Year for The Netherlands
100,23-07-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
