,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,15-05-2020,Others,We would like to inform you that the Company is desirous of offering Rat...
2,14-05-2020,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
3,07-05-2020,Others,"This is in furtherance to our letter dated April 28, 2020 and May 5, 202..."
4,05-05-2020,Others,Pursuant to Regulations 40(9) & (10) of the SEBI (Listing Obligations an...
5,28-04-2020,Others,We would like to inform you that the Company is desirous of offering Rat...
6,23-04-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
7,21-04-2020,Others,Pursuant to Regulation 61(4) read with Regulation 40(9) and Regulation 4...
8,20-04-2020,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
9,18-04-2020,Others,Jaguar Land Rover Reports Fiscal 2019/20 Retail Sales impacted significa...
10,07-04-2020,Others,This is to certify that the details of securities dematerialized during ...
11,03-04-2020,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
12,27-03-2020,Others,Revised Press Release - Announcements by Tata Motors Limited  Pursuant t...
13,20-03-2020,Others,Jaguar Land Rover Confirms Temporary Suspension of Production at UK Manu...
14,19-03-2020,Others,Intimation for loss of share certificate(s) as per Regulation 39(3) of t...
15,17-03-2020,Others,Pursuant to above and based on the intimation received from the Company'...
16,13-03-2020,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
17,06-03-2020,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
18,01-03-2020,Others,Tata Motors Monthly Sales February 2020  Pursuant to Regulation 30 of SE...
19,28-02-2020,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
20,27-02-2020,Others,Intimation for loss of share certificate(s) as per Regulation 39(3) of t...
21,26-02-2020,Others,We wish to inform you that the Board approved Committee has today approv...
22,24-02-2020,Others,Intimation of outcome of Board constituted Committee Meeting held on Feb...
23,03-02-2020,Others,"As per the SEBI Circular No. CIR/CFD/CMD1/162/2019 dated December 24, 20..."
24,01-02-2020,Others,Pursuant  to  Regulation  30  of  SEBI  (Listing  Obligations  and  Disc...
25,31-01-2020,Others,Intimation of Schedule of Analyst I Institutional Investors Meetings fro...
26,30-01-2020,Others,"With further reference to our letter No. Sc- 15857 dated January 22, 202..."
27,28-01-2020,Others,Intimation for loss of share certificate(s) and issue of duplicate share...
28,23-01-2020,Others,Intimation for loss of share certificate(s) and issue of duplicate share...
29,11-01-2020,Others,Tata Motors Group global wholesales- December 2019  Pursuant to Regulati...
30,03-01-2020,Others,Certificate under Regulation 74(5) of SEBI (Depositories and Participant...
31,01-01-2020,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
32,24-12-2019,Others,Intimation for loss of share certificate(s) as per Regulation 39(3) of t...
33,23-12-2019,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
34,19-12-2019,Others,Intimation for loss of share certificate(s) as per Regulation 39(3) of t...
35,18-12-2019,Others,Intimation for issue of duplicate share certificate(s) as per Regulation...
36,10-12-2019,Others,Intimation for loss of share certificate(s) as per Regulation 39(3) of t...
