,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,15-05-2020,Others,Record Date for Commercial Paper - ISIN: INE081A14AQ1
2,06-05-2020,Others,Intimation of Schedule of Analyst / Institutional Investor Meetings unde...
3,05-05-2020,Others,Certificates under Regulation 40(9) of Securities and Exchange Board of ...
4,24-04-2020,Others,"The Board of Directors of Tata Steel Limited inter alia, approved issue ..."
5,22-04-2020,Others,Specifications related to ISINs for debt securities issued under SEBI (I...
6,17-04-2020,Others,Certificate under Regulation 61(4) of Securities and Exchange Board of I...
7,16-04-2020,Others,"Intimation of Revision in Ratings under the SEBI Listing Regulations, 2015."
8,15-04-2020,Others,Certificate under Regulation 7(3) of the Securities and Exchange Board o...
9,13-04-2020,Others,"Outcome of the Meeting of Committee of Directors- Issue of Unsecured, Re..."
10,07-04-2020,Others,TATA STEEL LTD.has informed BSE that the meeting of the Board of Directo...
11,03-04-2020,Others,Intimation of Schedule of Analyst / Institutional Investor Meetings unde...
12,01-04-2020,Others,Please find enclosed the press release titled 'COVID-19 Tata Steel Update'
13,25-03-2020,Others,Intimation of Analyst Meet enclosed herewith
14,23-03-2020,Others,Record Date for Commercial Paper of Tata Steel Limited - ISIN: INE081A14AM0
15,20-03-2020,Others,Record Date for Commercial Paper of Tata Steel Limited - ISIN: INE081A14AP3
16,19-03-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
17,18-03-2020,Others,"Interest payment of 11.80% Perpetual Hybrid Securities (PHS) of ?1,500 C..."
18,17-03-2020,Others,Record Date for Commercial Paper of Tata Steel Limited - ISIN: INE081A14AN8
19,13-03-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
20,11-03-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
21,09-03-2020,Others,"Outcome of the Meeting - Issue of Unsecured, Redeemable, Listed, Rated N..."
22,05-03-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
23,04-03-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
24,02-03-2020,Others,"Interest payment on 9.8359% Non-Convertible Debentures ?4,315 Crore - IS..."
25,27-02-2020,Others,Newspaper advertisement for the record date intimation for 11.80% Perpet...
26,25-02-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
27,19-02-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
28,18-02-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
29,17-02-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
30,14-02-2020,Others,Intimation of Schedule of Analyst/ Institutional Investor Meetings under...
31,12-02-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
32,11-02-2020,Others,Intimation of Schedule of Analyst I Institutional Investor Meetings unde...
33,10-02-2020,Others,Intimation of Schedule of Analyst I Institutional Investor Meetings unde...
34,07-02-2020,Others,Q3FY20 Financial Results and Press Release and Investor Presentation att...
35,06-02-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
36,05-02-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
37,03-02-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
38,30-01-2020,Others,TATA STEEL LTD.has informed BSE that the meeting of the Board of Directo...
39,27-01-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
40,23-01-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
41,20-01-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
42,15-01-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
43,14-01-2020,Others,Intimation of Schedule of Analyst / Institutional Investor Meeting under...
44,13-01-2020,Others,Intimation under Regulation 39(3) of SEBI (Listing Obligations and Discl...
45,10-01-2020,Others,Please find enclosed herewith a press release titled Tata Steel announce...
