,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,14-05-2020,Others,Pursuant to Regulation 30(9) of Securities and Exchange Board of India (...
2,13-05-2020,Others,Appointment of a merchant banker to undertake due diligence in accordanc...
3,12-05-2020,Others,Vedanta Limitedhas informed BSE that the meeting of the Board of Directo...
4,11-05-2020,Others,Please find enclosed a communication being issued for the shareholders o...
5,23-04-2020,Others,Pursuant to SEBI Circular SEBI/HO/DDHS/DDHS/CIR/P/2019/115 dated October...
6,17-04-2020,Others,Compliance Certificate from the Registrar & Share Transfer Agent for the...
7,07-04-2020,Others,"Update on Outcome of Board Meeting - March 27, 2020"
8,30-03-2020,Others,Intimation under Regulation 30 of Securities and Exchange Board of India...
9,27-03-2020,Others,"Please find enclosed the outcome of the Board Meeting held today, i.e. M..."
10,26-03-2020,Others,In continuation to our Letter No. VEDL/Sec./SE/19-20/136 dated February ...
11,07-03-2020,Others,Intimation under Regulation 39(3) of Securities and Exchange Board of In...
12,04-03-2020,Others,Intimation under Regulation 39(3) of Securities and Exchange Board of In...
13,27-02-2020,Others,In continuation to our Letter No. VEDL/Sec./SE/19-20/152 dated February ...
14,26-02-2020,Others,Vedanta Ltd has informed BSE that the Board of Directors of the Company ...
15,24-02-2020,Others,Vedanta Limitedhas informed BSE that the meeting of the Board of Directo...
16,18-02-2020,Others,In terms of Regulation 3(3) of the Securities and Exchange Board of Indi...
17,15-02-2020,Others,Pursuant to SEBI circular SEBI/HO/DDHS/DDHS/CIR/P/2019/115 dated October...
18,04-02-2020,Others,Vedanta Limited had pursuant to the Resolution Plan approved by Hon'ble ...
19,31-01-2020,Others,Pursuant to Regulation 30 of Securities Exchange Board of India (Listing...
20,26-01-2020,Others,"Intimation of Meeting of Committee of Directors, proposed to be held on ..."
21,24-01-2020,Others,Vedanta Limitedhas informed BSE that the meeting of the Board of Directo...
22,22-01-2020,Others,Pursuant to SEBI circular SEBI/HO/DDHS/DDHS/CIR/P/2019/115 dated October...
23,21-01-2020,Others,"Pursuant to Regulation 30(9) of Listing Regulations, we hereby inform th..."
24,08-01-2020,Others,Outcome of the Board constituted Committee of Directors Meeting held on ...
25,05-01-2020,Others,"Intimation of Meeting of Committee of Directors, proposed to be held on ..."
26,04-01-2020,Others,Intimation under Regulation 39(3) of Securities and Exchange Board of In...
27,07-12-2019,Others,Results of voting through Postal Ballot including e-voting
28,05-12-2019,Others,Intimation under Regulation 39(3) of Securities and Exchange Board of In...
29,29-11-2019,Others,"We would like to inform you that the Company proposes to offer Rated, Se..."
30,27-11-2019,Others,Intimation under Regulation 39(3) of Securities and Exchange Board of In...
31,21-11-2019,Others,Compliances under Securities and Exchange Board of India (Depositories a...
32,18-11-2019,Others,Intimation under Regulation 39(3) of Securities and Exchange Board of In...
33,14-11-2019,Others,We wish to inform you that the Board of Directors at their meeting held ...
34,06-11-2019,Others,"Pursuant to Regulation 30 of Listing Regulations, please find attached C..."
35,01-11-2019,Others,Re-appointment of Independent Director
36,22-10-2019,Others,Intimation under Regulation 39(3) of Securities and Exchange Board of In...
37,17-10-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
38,07-10-2019,Others,Press Release - Vedanta Limited wins Golden Peacock GLOBAL Award for Exc...
39,03-10-2019,Others,Intimation under Regulation 39(3) of Securities and Exchange Board of In...
40,18-09-2019,Others,Intimation under Regulation 39(3) of Securities and Exchange Board of In...
41,31-08-2019,Others,The Exchange has received the disclosure under Regulation 29(1) of SEBI ...
42,22-08-2019,Others,Intimation under Regulation 39(3) of Securities and Exchange Board of In...
43,16-08-2019,Others,"We send herewith a copy of the Investor Brief: Sixth Edition, through wh..."
44,12-08-2019,Others,Intimation under Regulation 39(3) of Securities and Exchange Board of In...
45,06-08-2019,Others,"In terms of Regulation 30(6) of the Listing Regulations, 2015, please fi..."
46,26-07-2019,Others,"The Board of Directors of the Company at their meeting held today, have ..."
47,20-07-2019,Others,The conference call to discuss the Company's results and performance is ...
48,17-07-2019,Others,Intimation under Regulation 39(3) of Securities and Exchange Board of In...
49,12-07-2019,Others,Vedanta Ltd has informed BSE regarding the details of Voting results of ...
