,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,14-05-2020,Others,Pursuant to Regulation 23(9) of SEBI (Listing Obligations and Disclosure...
2,13-05-2020,Others,Allotment of Equity Shares under ADS Restricted Stock Unit Plan 2004
3,23-04-2020,Others,Allotment of Equity Shares under ADS Restricted Stock Unit Plan 2004
4,17-04-2020,Others,Pursuant to Regulation 47 of the SEBI (Listing Obligations and Disclosur...
5,15-04-2020,Others,In continuation to our financial statements for quarter and year ended M...
6,11-04-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
7,07-04-2020,Others,Wipro Ltd has informed BSE that the meeting of the Board of Directors wi...
8,02-04-2020,Others,"Grant of 40,000 Restricted Stock Units under the Company's ADS Restricte..."
9,01-04-2020,Others,"Wipro, Azim Premji Foundation commit Rs 1125 crore to tackle COVID-19 Cr..."
10,18-03-2020,Others,"Allotment of 46,267 equity shares under ADS Restricted Stock Unit Plan 2004"
11,17-03-2020,Others,Wipro Implements Core Banking Solution for Canara Bank sponsored Regiona...
12,13-03-2020,Others,Wipro cited as a Leader and Star Performer in Everest Group's PEAK Matri...
13,11-03-2020,Others,"Allotment of 59,333 Equitv Shares under ADS Restricted Stock Unit Plan 2..."
14,05-03-2020,Others,Wipro Recognized as a Leader in Everest Group PEAK MatrixTM Healthcare P...
15,02-03-2020,Others,GRANT OF RESTRICTED STOCK UNITS
16,28-02-2020,Others,"Allotment of 115,427 equity shares under ADS Restricted Stock Unit Plan ..."
17,27-02-2020,Others,Wipro Opens New Designit Studio in Dallas to Expand Reach of Design Inno...
18,25-02-2020,Others,Wipro Recognized as 'Best Global Systems Integrator' by Looker
19,11-02-2020,Others,"Allotment of 39,733 Equity Shares under ADS Restricted Stock Unit Plan 2004"
20,08-02-2020,Others,Wipro earthian awards celebrate excellence in sustainability education
21,31-01-2020,Others,Wipro and Smart Energy Water (SEW) form global strategic alliance to acc...
22,23-01-2020,Others,Pursuant to Regulation 74(5) of SEBI (Depositories and Participants) Reg...
23,17-01-2020,Others,Pursuant to Regulation 47 of the SEBI (Listing Obligations and Disclosur...
24,16-01-2020,Others,"Allotment of 35,867 equity shares"
25,14-01-2020,Others,In continuation to our financial statements for quarter ended December 3...
26,07-01-2020,Others,WIPRO LIMITED TO ANNOUNCE RESULTS FOR THE THIRD QUARTER ENDED DECEMBER 3...
27,03-01-2020,Others,"Allotment of 38,294 equity shares under ADS Restricted Stock Unit Plan 2004"
