,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,08-05-2020,Others,YES Bank held its Q4FY20 earnings call today with analysts and investors...
2,06-05-2020,Others,"Audited Financial Results for Quarter and Year ended March 31, 2020"
3,23-04-2020,Others,Newspaper Advertisement - Notice of Postal Ballot/E-Voting to the Members
4,22-04-2020,Others,Certification under Regulation 40(9) read with Regulation 40(10) of the ...
5,31-03-2020,Others,Closure of Trading Window
6,26-03-2020,Others,Outcome of Board Meeting - Intimation under Regulation 30 of the SEBI (L...
7,24-03-2020,Others,Credit Rating by ICRA
8,20-03-2020,Others,Appointment of Directors by RBI and Nomination of Directors by State Ban...
9,19-03-2020,Others,Credit Rating - CRISIL
10,18-03-2020,Others,The Exchange has received Disclosure under Regulation 31(1) and 31(2) of...
11,17-03-2020,Others,Credit Rating update
12,15-03-2020,Others,Sub : Yes Bank Limited (YESBANK) -Change in ISINThis  is further  to our...
13,11-03-2020,Others,Announcement under Reg 30 of Listing Regulations
14,07-03-2020,Others,Update on Credit Ratings
15,06-03-2020,Others,"With reference to the above, please find attached herewith the following..."
16,05-03-2020,Others,"With reference to news flashed on Bloomberg dated March 05, 2020 quoting..."
17,25-02-2020,Others,Please find enclosed press release issued by CARE Ratings on credit rati...
18,13-02-2020,Others,Sale of shares
19,12-02-2020,Others,Submission of unaudited financial results for the quarter and nine month...
20,08-02-2020,Others,Yes Bank Ltd has informed BSE regarding the details of Voting results of...
21,30-01-2020,Others,Sale of Shares
22,23-01-2020,Others,Sale of Shares acquired upon invocation of pledge
23,21-01-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
24,17-01-2020,Others,Credit Rating updates by Moody''s
25,15-01-2020,Others,Acquisition of Equity Shares upon invocation of Pledge.
26,10-01-2020,Others,"With reference to news appeared in CNBC TV 18 dated January 10, 2020 quo..."
27,07-01-2020,Others,YES BANK LTD.has informed BSE that the meeting of the Board of Directors...
28,31-12-2019,Others,Press release on Ratings by CARE Ratings Limited
29,24-12-2019,Others,Press release on Ratings by Brickwork Ratings
30,19-12-2019,Others,Press release issued by India Ratings & Research and ICRA on credit rati...
31,17-12-2019,Others,Schedule of Analyst/Institutional Investors Meet(s)/ Call(s)
32,12-12-2019,Others,Schedule of Analyst/Institutional Investors Meet(s)
33,09-12-2019,Others,Change of name of Registrar and Transfer Agent (R&TA)
34,06-12-2019,Others,Schedule of Analyst/Institutional Investors Meet(s)
35,05-12-2019,Others,Update on Rating action by Moody''s
36,03-12-2019,Others,Disclosure under Regulation 30 of Listing Regulations
37,29-11-2019,Others,"Outcome of Board Meeting held on November 29, 2019"
38,26-11-2019,Others,YES BANK LTD.has informed BSE that the meeting of the Board of Directors...
39,22-11-2019,Others,Schedule of Analyst/Institutional Investors Meet(s)
40,20-11-2019,Others,The Exchange has received Disclosure under Regulation 31(1) and 31(2) of...
41,19-11-2019,Others,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015"
42,18-11-2019,Others,ACquisition of Shares pursuant to invocation of pledge
43,15-11-2019,Others,Schedule of Analyst/Institutional Investors Call(s)
44,14-11-2019,Others,Schedule of Analysts/Institutional Investors Meet(s)
45,08-11-2019,Others,Schedule of Analysts/Institutional Investors Meet(s)/Call(s)
46,06-11-2019,Others,PRESS RELEASE - Moody's places Yes Bank's ratings under review for downg...
47,01-11-2019,Others,Disclosure Made In Pursuance Of Circular No. CIR/IMD/DF/51/2017 Dated Ma...
48,31-10-2019,Others,YES Bank receives a binding offer of US$1.2Bn
49,25-10-2019,Others,Certificate in terms of Regulation 74(5) of SEBI (Depositories and Parti...
50,23-10-2019,Others,With reference to news appeared in www.freepressjournal.in dated October...
51,22-10-2019,Others,"The Exchange has sought clarification from Yes Bank Ltd on October 22, 2..."
52,17-10-2019,Others,The Exchange had sought clarification from Yes Bank Ltd with reference t...
53,15-10-2019,Others,Certification under Regulation 40(9) read with Regulation 40(10) of the ...
54,11-10-2019,Others,Compliance Certificate from Registrar and Share Transfer Agent under Reg...
55,07-10-2019,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
56,04-10-2019,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
57,03-10-2019,Others,Press Release from Promoter Entities
58,01-10-2019,Others,"The Exchange has sought clarification from Yes Bank Ltd on October 1, 20..."
59,30-09-2019,Others,Update on Capital Raising
60,26-09-2019,Others,Press Release/Media Release
61,25-09-2019,Others,Update on Capital Raising
