,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,20-04-2020,Others,Closure of Trading Window
2,11-04-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
3,08-04-2020,Others,"Postponement of Annual General Meeting scheduled on May 14, 2020."
4,09-03-2020,Others,Board''s approval for sale of Company''s Solar Inverter Business
5,05-03-2020,Others,Regulation 23 (9) of Listing Regulations - Half Yearly Statement - Relat...
6,26-02-2020,Others,Loss of Share Certificate / Issue of Duplicate Share Certificate.
7,12-02-2020,Others,Press release- ABB India strengthens its presence in traction business a...
8,30-01-2020,Others,Loss of Share Certificate / Issue of Duplicate Share Certificate.
9,24-01-2020,Others,Format of Initial Disclosure to be made by an entity identified as a Lar...
10,16-01-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
11,31-12-2019,Others,Updated Code of Conduct
12,20-12-2019,Others,In continuation to the Exchange Notice No. 20191212-20  dated December 1...
13,12-12-2019,Others,Sub: Trade for Trade -ABB India Limited (ABB)Pursuant to Scheme of Arran...
14,09-12-2019,Others,Allotment of shares consequent to Scheme of Arrangement (Demerger)
15,28-11-2019,Others,NCLT order sanctioning Scheme of Arrangement
16,27-11-2019,Others,"Transcript of Analyst concall held on Nov 13, 2019 post announcement of ..."
17,13-11-2019,Others,Press Release - ABB India: Steady growth in mixed markets
18,17-10-2019,Others,Closure of Trading Window
19,15-10-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
20,11-09-2019,Others,ABB India and the National Institute of Technical Teachers Training & Re...
21,22-08-2019,Others,ABB India Limited - Regulation 23 - Half yearly statement - Related Part...
22,11-08-2019,Others,ABB India Ltd has informed BSE regarding the details of Voting results o...
23,26-07-2019,Others,Financial Results for quarter ended 30 June 2019
24,12-07-2019,Others,Compliance certificate for H1 - Jan 2019 to June 2019 FY = Jan to Dec
25,10-07-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
26,06-07-2019,Others,"As per NCLT, Bengaluru Bench''s order it is proposed to convene meetings..."
27,29-06-2019,Others,NCLT order convening the meetings of Equity Shareholders and Unsecured C...
