,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,20-04-2020,Others,Amara Raja Batteries Limited has informed the Exchange regarding ''Opera...
2,31-03-2020,Others,Amara Raja Batteries Limited has informed the Exchange regarding the Tra...
3,25-03-2020,Others,Amara Raja Batteries Limited has informed the Exchange regarding '' Inti...
4,09-03-2020,Others,Amara Raja Batteries Limited has informed the Exchange that the Board of...
5,04-03-2020,Others,AMARA RAJA BATTERIES LTD.has informed BSE that the meeting of the Board ...
6,02-03-2020,Others,Intimation for loss of original share certificate by shareholder under R...
7,02-02-2020,Others,Amara Raja Batteries Limited has informed the Exchange regarding a press...
8,16-01-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
9,06-01-2020,Others,AMARA RAJA BATTERIES LTD.has informed BSE that the meeting of the Board ...
10,14-12-2019,Others,Amara Raja Batteries Limited has informed the Exchange regarding  Presen...
11,11-12-2019,Others,Amara Raja Batteries Limited has informed the Exchange regarding Analyst...
12,27-11-2019,Others,Amara Raja Batteries Limited has informed the Exchange regarding Disclos...
13,09-11-2019,Others,Amara Raja Batteries Limited has informed the Exchange regarding a revis...
14,22-10-2019,Others,Amara Raja Batteries Limited submitted to the exchange pursuant to Reg 3...
15,21-10-2019,Others,Compliance certificate under Regulation 40 (9) and (10) of SEBI (Listing...
16,14-10-2019,Others,"With reference to the earlier letter dated October 01, 2019, intimating ..."
17,11-10-2019,Others,Intimation for loss of original share certificate by shareholder under R...
18,04-10-2019,Others,The Exchange has received the Disclosures of reasons for encumbrance by ...
19,01-10-2019,Others,Intimation of closure of trading window
20,08-08-2019,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
21,30-07-2019,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
22,25-07-2019,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
23,22-07-2019,Others,Amara Raja Batteries Ltd has informed BSE regarding the details of Votin...
24,20-07-2019,Others,Amara Raja Batteries Limited has submitted to the exchange the unaudited...
25,16-07-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
26,12-07-2019,Others,The Exchange has received the revised disclosure under Regulation 29(2) ...
27,10-07-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
28,01-07-2019,Others,Pursuant to Regulation 30 and 47 of the SEBI (Listing Obligations and Di...
29,27-06-2019,Others,AMARA RAJA BATTERIES LTD.has informed BSE that the meeting of the Board ...
30,25-06-2019,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
31,19-06-2019,Others,Pursuant to Regulation 42 of SEBI (Listing Obligations and Disclosure Re...
32,15-05-2019,Others,Amara Raja Batteries Limited has informed the Exchange regarding a press...
33,11-05-2019,Others,Format of Initial Disclosure to be made by an entity identified as a Lar...
34,09-05-2019,Others,"With reference to the earlier letter dated May 06, 2019 intimating Pursu..."
35,06-05-2019,Others,AMARA RAJA BATTERIES LTD.has informed BSE that the meeting of the Board ...
36,10-04-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
37,04-04-2019,Others,Amara Raja Batteries Limited has informed the Exchange regarding a press...
38,03-04-2019,Others,Amara Raja Batteries Limited has informed the Exchange regarding the ter...
39,01-04-2019,Others,Amara Raja Batteries Limited has informed the Exchange regarding the Tra...
40,11-02-2019,Others,Amara Raja Batteries Limited has informed the Exchange regarding Appoint...
41,09-01-2019,Others,AMARA RAJA BATTERIES LTD.has informed BSE that the meeting of the Board ...
42,08-01-2019,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
43,03-01-2019,Others,Amara Raja Batteries Limited has informed the Exchange regarding the Tra...
44,13-12-2018,Others,Amara Raja Batteries Limited has informed the Exchange that Mr. S V Ragh...
45,10-11-2018,Others,Amara Raja Batteries Ltd has informed BSE that the Company has fixed Nov...
46,09-11-2018,Others,Amara Raja Batteries Limited has informed the Exchange regarding a press...
47,11-10-2018,Others,Amara Raja Batteries Limited has submitted to the Exchange the certifica...
48,10-10-2018,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
49,03-10-2018,Others,Amara Raja Batteries Limited has informed the Exchange that the Company ...
50,27-09-2018,Others,Publication of Notice in Newspapers with respect to transfer of equity s...
51,29-08-2018,Others,Amara Raja Batteries Limited has informed the Exchange regarding ''New w...
52,13-08-2018,Others,Amara Raja Batteries Limited has informed the Exchange regarding ''Setti...
53,01-08-2018,Others,Amara Raja Batteries Limited has informed the Exchange that the Company ...
54,18-07-2018,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
55,12-07-2018,Others,To consider and approve the unaudited financial results for the quarter ...
56,19-05-2018,Others,Amara Raja Batteries Limited has informed the Exchange that Mr. Trent Mo...
57,10-04-2018,Others,Amara Raja Batteries Limited has submitted to the Exchange the certifica...
58,09-04-2018,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
59,12-01-2018,Others,Amara  Raja Batteries Limited has informed the Exchange that a  meeting ...
60,20-12-2017,Others,Amara  Raja Batteries Limited has informed the Exchange regarding  a  pr...
61,09-11-2017,Others,Amara  Raja  Batteries Limited has informed the Exchange that  Mr.  Raph...
62,08-11-2017,Others,Amara  Raja Batteries Limited has informed the exchange that an  confere...
63,06-11-2017,Others,"With reference to the earlier letter dated October 10, 2017, regarding  ..."
64,03-11-2017,Others,Amara  Raja Batteries Limited has informed the Exchange that a  meeting ...
65,08-08-2017,Others,Summary  of  Proceedings of Annual General Meeting of the Company  held ...
66,19-07-2017,Others,Amara  Raja  Batteries Limited has informed the Exchange that  32nd  Ann...
