,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,21-04-2020,Others,Please find enclosed the Compliance Certificate pursuant to Regulation 7...
2,09-04-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
3,11-03-2020,Others,Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
4,30-01-2020,Others,Pursuant to Regulation 47 of SEBI (Listing Obligations and Disclosure Re...
5,24-01-2020,Others,Advance intimation under Regulation 39(3) of SEBI (Listing Obligations a...
6,21-01-2020,Others,Advance intimation under Regulation 39(3)of SEBI (Listing Obligations an...
7,02-01-2020,Others,Advance intimation under Regulation 39(3) of SEBI (Listing Obligations a...
8,09-12-2019,Others,In compliance with the Regulation 23(9) of SEBI (Listing Obligations and...
9,12-11-2019,Others,Pursuant to Regulation 47 of SEBI (Listing Obligations and Disclosure Re...
10,31-10-2019,Others,Pursuant to Regulation 47 of SEBI (Listing Obligations and Disclosure Re...
11,30-10-2019,Others,BOMBAY DYEING & MFG.CO.LTD.has informed BSE that the meeting of the Boar...
12,23-10-2019,Others,"Pursuant to Regulation 40(9) of SEBI (LODR) Regulations, 2015, please fi..."
13,17-10-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
14,16-10-2019,Others,Advance intimation under Regulation 39(3) of SEBI (Listing Obligations a...
15,27-09-2019,Others,This is to inform that the Trading Window in respect of the Company''s S...
16,13-09-2019,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
17,26-08-2019,Others,Advance intimation under Regulation 39(3) of SEBI (Listing Obligations a...
18,08-08-2019,Others,"With reference to the captioned matter, this is to inform that in the ad..."
19,07-08-2019,Others,This is to inform you that 139th Annual General Meeting of the Company w...
20,06-08-2019,Others,Pursuant to the Regulation 30 of the SEBI (Listing Obligations and Discl...
21,05-08-2019,Others,"Dear Sir / Madam,  The Board at its meeting held om August 5, 2019 appro..."
22,02-08-2019,Others,Pursuant to Regulation 39 and other applicable regulations of SEBI (List...
23,26-07-2019,Others,This is to inform that Company has received the credit confirmation lett...
24,23-07-2019,Others,Pursuant to Regulation 47 of SEBI (Listing Obligations and Disclosure Re...
25,22-07-2019,Others,BOMBAY DYEING & MFG.CO.LTD.has informed BSE that the meeting of the Boar...
26,18-07-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
27,11-07-2019,Others,Pursuant to the Regulations 30 and 47 of SEBI (Listing Obligations and D...
