,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,15-05-2020,Others,"Annual Secretarial Compliance Report for the year ended March 31, 2020 a..."
2,13-05-2020,Others,Infosys Selected as the Digital Transformation Partner for GLOBALFOUNDRI...
3,21-04-2020,Others,Please find enclosed copies of the advertisement of financial results th...
4,20-04-2020,Others,The Board in their meeting held today recommended a final dividend of ? ...
5,16-04-2020,Others,"Infosys to Announce Fourth Quarter and Annual Results on April 20, 2020"
6,09-04-2020,Others,Compliance Certificate pursuant to Regulation 7 (3) of the SEBI (Listing...
7,07-04-2020,Others,"Please find attached, copies of the newspaper advertisement pertaining t..."
8,01-04-2020,Others,Infosys Foundation Partners With Narayana Health City To Open 100-Bed Qu...
9,24-03-2020,Others,"This is to inform that the Company has allotted 1,07,129 equity shares u..."
10,13-03-2020,Others,This is to inform that the Company will close the trading window for dea...
11,11-03-2020,Others,Infosys Ranked as a Leader in NelsonHall's NEAT Vendor Evaluation for Ag...
12,09-03-2020,Others,"'Community Bank, Bangladesh Goes Live on Infosys Finacle Banking Platfor..."
13,02-03-2020,Others,Infosys and IBM Collaborate to Help Businesses Accelerate Digital Transf...
14,27-02-2020,Others,"This is to inform that the Company has allotted 2,23,297 equity shares u..."
15,26-02-2020,Others,Stock incentives grant to eligible employees
16,25-02-2020,Others,Digital Technology is Driving Tennis Experience Beyond the 'Golden Era'
17,19-02-2020,Others,aafaq Islamic Finance is Now Powered by Infosys Finacle Digital Banking ...
18,10-02-2020,Others,Investor conferences
19,03-02-2020,Others,Retirement of Independent Director   This is to inform you that Ms. Roop...
20,31-01-2020,Others,Australian Open and Infosys Take Tennis to New Heights
21,30-01-2020,Others,Non-Deal roadshows
22,28-01-2020,Others,Sub: Company Statement  With regard to the minority investment made by t...
23,24-01-2020,Others,"As disclosed previously, the Company had received letters from regulator..."
24,14-01-2020,Others,Transcripts of the press conference and earnings call conducted after th...
25,13-01-2020,Others,Report of auditors on financial statements for the quarter ended Decembe...
26,10-01-2020,Others,In continuation to our letter submitted earlier today on the above subje...
27,08-01-2020,Others,"'Infosys to Announce Third Quarter Results on January 10, 2020'"
28,07-01-2020,Others,Infosys Prize 2019 Given to Six Leading Achievers
29,23-12-2019,Others,"This is to inform that the Company has allotted 88,276 equity shares und..."
30,18-12-2019,Others,Company Statement
31,16-12-2019,Others,"This is to inform that the Company has allotted 91,322 equity shares und..."
32,13-12-2019,Others,Company Statement
33,06-12-2019,Others,"G Bank, Myanmar Selects Infosys Finacle to Power its Growth"
34,29-11-2019,Others,Please find attached the press release titled 'Services Australia select...
35,21-11-2019,Others,WM Promus Partners with EdgeVerve to Drive Automation for its Customers
