,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,12-05-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
2,06-05-2020,Others,Intimation under Regulation 30 of the SEBI (Listing Obligations and Disc...
3,24-04-2020,Others,Please find enclosed Press Release titled 'COVID 19 Pandemic - MRF commi...
4,15-04-2020,Others,Certificate under Regulation 74[5] of SEBI [Depositories and Participant...
5,25-03-2020,Others,In view of the nationwide lockdown for a period of 21 days from 25.3.202...
6,13-03-2020,Others,Loss of share certificate intimation
7,05-03-2020,Others,The Exchange has received Disclosure under Regulation 31(1) and 31(2) of...
8,24-01-2020,Others,MRF LTD.has informed BSE that the meeting of the Board of Directors of t...
9,06-12-2019,Others,Details of Related Party Transactions for the half year ended 30th Septe...
10,06-11-2019,Others,Loss of Share Certificate Intimation
11,30-10-2019,Others,MRF Ltd has informed BSE that the meeting of the Board of Directors of t...
12,25-10-2019,Others,Half Yearly Certificate Under Regulation 40(9) Of The SEBI (Listing Obli...
13,14-10-2019,Others,Regulation 74 (5) of the Securities and Exchange Board of India (Deposit...
14,09-10-2019,Others,Loss of Share certificates -Intimation
15,14-08-2019,Others,Loss of share certificates
16,11-08-2019,Others,"MRF Ltd has informed BSE regarding the details of Voting results of AGM,..."
17,09-08-2019,Others,"Proceedings of the 58th Annual General Meeting held on 9th August,2019"
18,29-07-2019,Others,MRF LTD.has informed BSE that the meeting of the Board of Directors of t...
19,19-07-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
20,10-07-2019,Others,Details of Duplicate Issue
21,04-06-2019,Others,Loss of share certificates
22,09-05-2019,Others,Loss of Share Certificates
23,29-04-2019,Others,Format of Initial Disclosure to be made by an entity identified as a Lar...
24,26-04-2019,Others,Half Yearly Certificate Under Regulation 40(9) Of The SEBI (Listing Obli...
25,17-04-2019,Others,MRF LTD.has informed BSE that the meeting of the Board of Directors of t...
26,12-04-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
27,05-04-2019,Others,"Further to our letter dated 1st April,2019, please find enclosed Code of..."
28,01-04-2019,Others,In compliance of Regulation 8 (2) of the SEBI (Prohibition of Insider Tr...
29,19-03-2019,Others,Details of Loss share certificates
30,26-02-2019,Others,"Update on Strike at manufacturing plant at Tiruvottiyur, Chennai"
31,21-02-2019,Others,MRF Ltd has informed BSE regarding Loss of Share Certificate / Issue of ...
32,19-02-2019,Others,News clarification
33,13-02-2019,Others,MRF Ltd has informed BSE regarding Loss of Share Certificate / Issue of ...
34,06-02-2019,Others,"Please refer our letter dated 7th January,2019.   We would like to infor..."
35,08-01-2019,Others,MRF Ltd has informed BSE regarding the details of Voting results of Post...
36,10-12-2018,Others,Newspaper Advertisement - Notice of Postal Ballot
37,06-12-2018,Others,In compliance with Regulation 30 of the SEBI (Listing Obligations and Di...
38,10-11-2018,Others,"MRF Ltd has informed BSE that the Company has fixed November 20, 2018 as..."
39,08-11-2018,Others,MRF Ltd has informed BSE that the Board of Directors of the Company at i...
40,25-10-2018,Others,Half Yearly Certificate Under Regulation 40(9) Of The SEBI (Listing Obli...
41,22-10-2018,Others,Trading Window Closure
42,10-10-2018,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
43,13-08-2018,Others,"MRF Ltd has informed BSE regarding the details of Voting results of AGM,..."
44,11-08-2018,Others,Update on Submission of AGM Voting Results
45,09-08-2018,Others,"Proceedings of the 57th Annual General Meeting held on 9th August,2018"
46,30-07-2018,Others,MRF LTD.has informed BSE that the meeting of the Board of Directors of t...
47,24-07-2018,Others,Trading Window Closure
48,19-07-2018,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
49,17-07-2018,Others,Annual General Meeting - Notice & Remote e-voting cut off date
50,07-05-2018,Others,The Exchange has now received the revised disclosure under Regulation 31...
51,04-05-2018,Others,MRF Ltd has informed BSE that the Register of Members & Share Transfer B...
52,03-05-2018,Others,Audited financial results (standalone and consolidated) for the year end...
53,27-04-2018,Others,Half Yearly Certificate Under Regulation 40(9) Of The SEBI (Listing Obli...
54,24-04-2018,Others,MRF Ltd has informed BSE that the meeting of Board of Directors of our C...
55,20-04-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
56,18-04-2018,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
57,01-02-2018,Others,We  wish  to  inform you that the Board of Directors at  its  meeting  h...
58,23-01-2018,Others,MRF  Ltd  has informed BSE that the meeting of Board of  Directors  of  ...
59,13-11-2017,Others,"MRF  Ltd has informed BSE that the Company has fixed November 22,  2017 ..."
60,10-11-2017,Others,"Board of Directors at its meeting held today, declared an Interim  Divid..."
61,31-10-2017,Others,"Board Meeting on 10th November,2017"
62,07-08-2017,Others,"Proceedings of the 56th Annual General Meeting held on 4th August,2017"
63,24-07-2017,Others,"Board Meeting on 4th August,2017"
64,18-07-2017,Others,Newspaper Advertisement - Annual General Meeting & Remote e-voting
65,08-05-2017,Others,MRF Ltd has informed BSE that the Board of Directors of the Company at  ...
66,20-04-2017,Others,"BOARD MEETING ON 4TH MAY,2017"
67,06-02-2017,Others,"MRF  Ltd has informed BSE that the Company has fixed February 15,  2017 ..."
68,03-02-2017,Others,MRF Ltd has informed BSE that the Board of Directors at its Meeting held...
69,20-01-2017,Others,MRF  Ltd  has  informed  BSE  regarding  Quarterly  Statement  on  Inves...
70,07-11-2016,Others,MRF Ltd has submitted to BSE a copy of Brief Profile of Compliance Officer.
71,27-10-2016,Others,MRF Ltd has informed BSE that the Board of Directors of the Company at  ...
72,17-08-2016,Others,MRF  Ltd  has  submitted to BSE a copy of proceedings of  the  55th  Ann...
73,16-08-2016,Others,MRF  Ltd  has  submitted to BSE a copy of proceedings of  the  55th  Ann...
74,20-04-2016,Others,MRF  Ltd has informed BSE that a meeting of the Board of Directors  of  ...
75,13-04-2016,Others,MRF  Ltd  has  informed  BSE  regarding  Quarterly  Statement  on  Inves...
76,19-01-2016,Others,MRF  Ltd has informed BSE that a meeting of the Board of Directors  of  ...
77,14-01-2016,Others,MRF  Ltd  has  informed  BSE  regarding  Quarterly  Statement  on  Inves...
78,13-01-2016,Others,MRF Ltd has informed BSE regarding Authorised Key Managerial Personnel  ...
79,29-10-2015,Others,MRF Ltd has informed BSE that the Board of Directors of the Company at  ...
80,12-10-2015,Others,MRF  Ltd has informed BSE that a meeting of the Board of Directors  of  ...
81,10-09-2015,Others,"Further  to the letter dated March 23, 2015, MRF Ltd has now  informed  ..."
82,27-07-2015,Others,MRF Ltd has informed BSE that the Board of Directors of the Company at  ...
83,14-07-2015,Others,MRF  Ltd has informed BSE that a meeting of the Board of Directors  of  ...
84,22-05-2015,Others,MRF Ltd has informed BSE about formulation and adoption of Codes under S...
85,24-04-2015,Others,MRF Ltd has informed BSE that the Board of Directors of the Company at  ...
86,23-03-2015,Others,MRF  Ltd has informed BSE that the Company as part of its  expansion  pl...
87,05-03-2015,Others,MRF  Ltd  has  submitted to BSE a copy of gist of proceeding  of  the  5...
88,18-02-2015,Others,MRF  Ltd has informed BSE that the 54th Annual General Meeting   (AGM)  ...
89,13-02-2015,Others,MRF  Ltd  has informed BSE regarding the details of Voting results  at  ...
90,05-02-2015,Others,"With  reference to the earlier letter dated January 07,  2015, MRF Ltd  ..."
91,27-01-2015,Others,MRF  Ltd has informed BSE that a meeting of the Board of Directors  of  ...
92,22-01-2015,Others,MRF  Ltd has informed BSE that the 54th Annual General Meeting   (AGM)  ...
93,20-01-2015,Others,With  reference to the news item appearing in the news paper dated  Janu...
94,05-01-2015,Others,"With  reference to the earlier letter dated November 26,  2014,   inform..."
95,26-11-2014,Others,MRF Ltd has informed BSE that the Board of Directors of the Company at  ...
96,11-11-2014,Others,MRF  Ltd has informed BSE that a meeting of the Board of Directors  of  ...
97,16-10-2014,Others,MRF  Ltd has informed BSE that a meeting of the Board of Directors  of  ...
98,07-10-2014,Others,MRF  Ltd  has informed BSE regarding the details of allotment of  shares...
99,30-09-2014,Others,MRF Ltd has informed BSE regarding the details of Voting results of  Pos...
100,01-09-2014,Others,MRF  Ltd has informed BSE that the members of the Company will consider ...
101,09-07-2014,Others,MRF  Ltd has informed BSE that a meeting of the Board of Directors  of  ...
102,07-07-2014,Others,MRF  Ltd has informed BSE regarding details of allotment of shares /  gr...
103,30-06-2014,Others,MRF  Ltd has informed BSE that the members of the Company have  passed  ...
104,26-05-2014,Others,MRF  Ltd has informed BSE that the members of the Company will consider ...
105,09-04-2014,Others,MRF  Ltd has informed BSE regarding details of allotment of shares /  gr...
106,07-04-2014,Others,MRF  Ltd has informed BSE that a meeting of the Board of Directors  of  ...
107,25-02-2014,Others,MRF  Ltd has submitted to BSE a copy of the proceedings of the 53rd  Ann...
108,10-02-2014,Others,MRF Ltd has informed BSE that the 53rd Annual General Meeting  (AGM) of ...
109,22-01-2014,Others,MRF  Ltd has informed BSE that a meeting of the Board of Directors  of  ...
110,17-01-2014,Others,MRF Ltd has informed BSE that the 53rd Annual General Meeting  (AGM) of ...
111,09-01-2014,Others,MRF  Ltd  has informed BSE regarding the details of allotment of  shares...
112,20-11-2013,Others,MRF  Ltd  has informed BSE regarding the details of allotment of  shares...
113,30-09-2013,Others,
114,25-02-2013,Others,MRF  Ltd  has  submitted to BSE a copy of proceedings of  the  52nd  Ann...
115,13-02-2013,Others,MRF  Ltd  has informed BSE regarding the details of Voting results  at  ...
116,21-01-2013,Others,MRF  Ltd has informed BSE that the 52nd Annual General Meeting   (AGM)  ...
117,12-03-2012,Others,MRF  Ltd has informed BSE that the 51st Annual General Meeting   (AGM)  ...
118,11-01-2012,Others,C  P Mammen has submitted the disclosure under Regulation 31(1)  and  31...
