,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,29-04-2020,Others,"Motherson Sumi Systems Limited issued a Press Release dated April 29, 20..."
2,21-04-2020,Others,Motherson Sumi Systems Limited informed that the Committee of Directors ...
3,16-04-2020,Others,Motherson Sumi Systems Limited informed that the Committee of Directors ...
4,13-04-2020,Others,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
5,10-04-2020,Others,Motherson Sumi Systems Limited has informed the Exchange regarding Credi...
6,31-03-2020,Others,Motherson Sumi Systems Limited informed the Exchange regarding closure o...
7,24-03-2020,Others,The Exchange has received Disclosure under Regulation 31(1) and 31(2) of...
8,22-03-2020,Others,Temporary closure of manufacturing facilities and/or offices in the wake...
9,18-03-2020,Others,Motherson Sumi Systems Limited informed the Exchange regarding uploading...
10,16-03-2020,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
11,13-03-2020,Others,The Exchange has received Disclosure under Regulation 31(1) and 31(2) of...
12,03-03-2020,Others,The Exchange has received Disclosure under Regulation 31(1) and 31(2) of...
13,29-02-2020,Others,Motherson Sumi Systems Limited informed the Exchange regarding newspaper...
14,27-02-2020,Others,Motherson Sumi Systems Limited informed that Standard & Poor''s ('S&P') ...
15,22-02-2020,Others,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
16,12-02-2020,Others,Motherson Sumi Systems Limited informed the Exchange regarding newspaper...
17,10-02-2020,Others,Motherson Sumi Systems Limited informed the Exchange regarding appointme...
18,31-01-2020,Others,Motherson Sumi Systems Limited has informed the Exchange regarding uploa...
19,30-01-2020,Others,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015."
20,03-01-2020,Others,Motherson Sumi Systems Limited informed the Exchange regarding loss of s...
21,02-01-2020,Others,Motherson Sumi Systems Limited informed the Exchange regarding notice pu...
22,09-12-2019,Others,Disclosure of related party transactions on consolidated basis and balan...
23,03-12-2019,Others,Motherson Sumi Systems Limited informed the Exchange regarding presentat...
24,02-12-2019,Others,The Exchange has received the disclosure under Regulation 29(1) of SEBI ...
25,30-11-2019,Others,Motherson Sumi Systems Limited informed the Exchange regarding particula...
26,14-11-2019,Others,Motherson Sumi Systems Limited submitted to the Exchange copy of newspap...
27,11-11-2019,Others,Copy of the Press Release issued by Motherson Sumi Systems Limited.
28,21-10-2019,Others,Motherson Sumi Systems Limited submitted the certificate dated October 2...
29,01-10-2019,Others,Motherson Sumi Systems Limited informed the Exchanges regarding notice p...
30,30-09-2019,Others,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
31,06-09-2019,Others,Motherson Sumi Systems Limited informed the Exchange regarding newspaper...
32,16-08-2019,Others,Motherson Sumi Systems Ltd has informed BSE regarding the details of Vot...
33,14-08-2019,Others,Motherson Sumi Systems Limited informed the Exchange regarding the proce...
34,13-08-2019,Others,Motherson Sumi Systems Limited has informed the Exchange regarding outco...
35,12-08-2019,Others,Motherson Sumi Systems Limited issued the Press Release on the financial...
36,07-08-2019,Others,Motherson Sumi Systems Limited informed the Exchange regarding the notic...
37,05-08-2019,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
38,24-07-2019,Others,Motherson Sumi Systems Limited informed the Exchange regarding the closu...
39,23-07-2019,Others,Motherson Sumi Systems Limited has submitted a copy of the Notice of 32n...
40,19-07-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
41,12-07-2019,Others,Motherson Sumi Systems Limited informed the Exchange regarding the chang...
42,29-06-2019,Others,Motherson Sumi Systems Limited informed the Exchange about the notice pu...
43,25-06-2019,Others,Disclosure of related party transactions on consolidated basis and balan...
44,24-06-2019,Others,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
45,03-06-2019,Others,Motherson Sumi Systems Limited has informed the Exchange regarding Roads...
46,30-05-2019,Others,Annual Secretarial Compliance Report  Sr. No. Particulars Details  1Peri...
47,27-05-2019,Others,Motherson Sumi Systems Limited informed the Exchange about the particula...
48,22-05-2019,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
49,14-05-2019,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
50,30-04-2019,Others,Format of Initial Disclosure to be made by an entity identified as a Lar...
51,25-04-2019,Others,"Certificate dated April 24, 2019 received from Practicing Company Secret..."
52,18-04-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
53,13-04-2019,Others,Disclosure under Regulation 47 of SEBI (Listing Obligations and Disclosu...
54,08-04-2019,Others,Disclosure under Regulation 47 of SEBI (Listing Obligations and Disclosu...
55,03-04-2019,Others,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
56,01-04-2019,Others,The Board of Directors of Motherson Sumi Systems Limited has approved fo...
57,25-03-2019,Others,Motherson Sumi Systems Limited has informed the Exchange regarding Confe...
58,18-03-2019,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
59,05-03-2019,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
60,28-02-2019,Others,"Press Release dated February 28, 2019"
61,25-02-2019,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
62,11-02-2019,Others,Audio of the conference call related to the financial results of Mothers...
63,02-02-2019,Others,Motherson Sumi Systems Ltd has informed BSE regarding Loss of Share Cert...
64,31-01-2019,Others,Motherson Sumi Systems Limited informed that the trading window for deal...
65,19-01-2019,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
66,18-01-2019,Others,Motherson Sumi Systems Limited informed the Exchange regarding newspaper...
67,16-01-2019,Others,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
68,03-01-2019,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
69,02-01-2019,Others,MOTHERSON SUMI SYSTEMS LIMITED INFORMED THE EXCHANGE REGARDING REVISION ...
70,26-12-2018,Others,Motherson Sumi Systems Limited informed the Exchange regarding the detai...
71,22-12-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
72,11-12-2018,Others,Motherson Sumi Systems Limited informed the Exchange regarding Non Deal ...
73,07-12-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
74,26-11-2018,Others,Motherson Sumi Systems Limited informed the Exchange about the conferenc...
75,19-11-2018,Others,Motherson Sumi Systems Limited has informed the Exchange regarding Confe...
76,17-11-2018,Others,The Exchange has received the revised disclosure under Regulation 31(1) ...
77,15-11-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
78,14-11-2018,Others,Audio of the conference call has been uploaded at the Company's website ...
79,05-11-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
80,03-11-2018,Others,Motherson Sumi Systems Limited has informed the Exchange regarding the T...
81,31-10-2018,Others,Motherson Sumi Systems Limited has informed the Exchange regarding Credi...
82,23-10-2018,Others,Motherson Sumi Systems Limited has informed the Exchange regarding Credi...
83,22-10-2018,Others,Motherson Sumi Systems Limited has informed the Exchange regarding decla...
84,20-10-2018,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
85,15-10-2018,Others,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
86,29-09-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
87,19-09-2018,Others,Motherson Sumi Systems Limited informed about the notice published in Na...
88,18-09-2018,Others,Motherson Sumi Systems Limited informed that the Postal Ballot Notice ha...
89,13-09-2018,Others,Motherson Sumi Systems Limited informed about the particulars of the Inv...
90,07-09-2018,Others,Motherson Sumi Systems Limited disclosed the additional details regardin...
91,05-09-2018,Others,Motherson Sumi Systems Limited informed about the particulars of the Non...
92,28-08-2018,Others,Meeting with the Investors / Analysts
93,27-08-2018,Others,In terms of Regulation 30(6) of the SEBI (Listing obligations and Disclo...
94,18-08-2018,Others,In terms of Regulation 30(6) of the SEBI (Listing obligations and Disclo...
95,17-08-2018,Others,"Press Release dated August 17, 2018 of Motherson Sumi Systems Limited on..."
96,14-08-2018,Others,Motherson Sumi Systems Ltd has informed BSE regarding the details of Vot...
97,13-08-2018,Others,Voting Results and Scrutinizer''s Results in relation to 31st Annual Gen...
98,07-08-2018,Others,Motherson Sumi Systems Limited informed that Audio of the conference cal...
99,03-08-2018,Others,Press Release for the acquisition of Reydel Automotive Holdings B.V. and...
100,24-07-2018,Others,Pursuant to Regulation 30 read with Schedule III (Part A) to the SEBI (L...
101,23-07-2018,Others,The Company informs that 31st Annual General Meeting (AGM) will be conve...
102,20-07-2018,Others,A meeting of the Board of Directors of the Company is scheduled to be he...
103,10-07-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
104,03-07-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
105,07-06-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
106,04-06-2018,Others,Clarification Letter on disclosure of relationship of Appointee Director...
107,30-05-2018,Others,Motherson Sumi Systems Limited informed that the Management of the Compa...
108,23-05-2018,Others,Motherson Sumi Systems Limited informed that  conference call with the I...
109,11-05-2018,Others,Motherson Sumi Systems Limited informed that that in view of the Board m...
110,09-05-2018,Others,Motherson Sumi Systems (the Company) Limited informed that Samvardhana M...
111,28-04-2018,Others,Motherson Sumi Systems Limited informed that the Certificate has been re...
112,26-04-2018,Others,MOtherson Sumi Systems Limited has informed that the notice of the Board...
113,20-04-2018,Others,MOTHERSON SUMI SYSTEMS LIMITED SUBMITTED DISCLOSURE IN PURSUANCE OF REGU...
114,09-04-2018,Others,Motherson Sumi Systems Limited informed that with reference to its previ...
115,06-04-2018,Others,Motherson Sumi Systems Limited informed that the Management of the Compa...
116,02-04-2018,Others,The Board of Directors of Motherson Sumi Systems Limited in their meetin...
117,22-03-2018,Others,Motherson Sumi Systems Limited informed that the management of the Compa...
118,24-02-2018,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
119,21-02-2018,Others,Motheron Sumi Systems Limited informed that in respect of attending the ...
120,15-02-2018,Others,Motherson Sumi Systems Limited informed that audio of the conference cal...
121,13-02-2018,Others,Investor Conference.
122,23-01-2018,Others,Meeting of the Board of Directors of Motherson Sumi Systems Limited will...
123,10-01-2018,Others,Motherson  Sumi  Systems  Limited issued a Press Release  with  respect ...
124,08-12-2017,Others,Update on Credit Ratings.
125,12-10-2017,Others,Motherson  Sumi  Systems Limited informed that a meeting of  the  Board ...
126,09-10-2017,Others,Updates
127,06-09-2017,Others,Updates
128,05-09-2017,Others,This  is to inform that the Management of the Company is  attending  Ann...
129,30-08-2017,Others,The  Exchange has received the disclosure under Regulation 31(1) and  31...
