,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,08-05-2020,Others,"Submission under Regulation 47 of SEBI (LODR) Regulations, 2015 and Regu..."
2,29-04-2020,Others,Disclosure under Regulation 30 of SEBI (LODR) Regulations 2015: General ...
3,15-04-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
4,09-04-2020,Others,Disclosure under SEBI (LODR) Regulations 2015: Conference Call with Inve...
5,07-04-2020,Others,Disclosure under Regulation 7(3) of SEBI (LODR) Regulations 2015
6,27-03-2020,Others,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015"
7,19-03-2020,Others,STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Dir...
8,17-03-2020,Others,Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disc...
9,11-03-2020,Others,Disclosure under Regulation 30 of SEBI (LODR) Regulations 2015: Analysts...
10,09-03-2020,Others,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015"
11,06-03-2020,Others,Disclosure under Regulation 30 of SEBI (LODR) Regulations 2015: Filing o...
12,05-03-2020,Others,"With reference to news flashed on Bloomberg dated March 05, 2020 quoting..."
13,27-02-2020,Others,Disclosure under Regulation 30 of SEBI (LODR) Regulations 2015
14,24-02-2020,Others,Disclosure in respect of proposed IPO of SBI Cards
15,13-02-2020,Others,Disclosure under Regulation 39(3) of SEBI (LODR) Regulations 2015
16,12-02-2020,Others,Disclosure under Regulation 30 of SEBI (LODR) Regulations 2015:Schedule ...
17,06-02-2020,Others,"Disclosure under Regulation 39(3) of SEBI (LODR) Regulations, 2015"
18,04-02-2020,Others,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015 - Schedu..."
19,31-01-2020,Others,Disclosure under Regulation 39(3) of SEBI (LODR) Regulations 2015
20,25-01-2020,Others,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015 - Board ..."
21,24-01-2020,Others,Disclosure under Regulation 30(4) of SEBI (LODR) Regulations 2015: Bank ...
22,21-01-2020,Others,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015 - Board ..."
23,17-01-2020,Others,Disclosure under Regulation 39(3) of SEBI (LODR) Regulations 2015
24,15-01-2020,Others,Disclosure under Regulation 30 of SEBI (LODR) Regulations 2015
25,13-01-2020,Others,STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Dir...
26,10-01-2020,Others,Disclosure under Regulation 39(3) of SEBI (LODR)Regulations 2015
27,07-01-2020,Others,Disclosure under Regulation 39(3) of SEBI (LODR) Regulations 2015
