,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,14-05-2020,Others,Compliance under Regulation 40(9) and 40(10) of SEBI (LODR) Regulations ...
2,08-05-2020,Others,"Submission under Regulation 47 of SEBI (LODR) Regulations, 2015 and Regu..."
3,29-04-2020,Others,Disclosure under Regulation 30 of SEBI (LODR) Regulations 2015: General ...
4,15-04-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
5,09-04-2020,Others,Disclosure under SEBI (LODR) Regulations 2015: Conference Call with Inve...
6,07-04-2020,Others,Disclosure under Regulation 7(3) of SEBI (LODR) Regulations 2015
7,27-03-2020,Others,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015"
8,19-03-2020,Others,STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Dir...
9,17-03-2020,Others,Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disc...
10,11-03-2020,Others,Disclosure under Regulation 30 of SEBI (LODR) Regulations 2015: Analysts...
11,09-03-2020,Others,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015"
12,06-03-2020,Others,Disclosure under Regulation 30 of SEBI (LODR) Regulations 2015: Filing o...
13,05-03-2020,Others,"With reference to news flashed on Bloomberg dated March 05, 2020 quoting..."
14,27-02-2020,Others,Disclosure under Regulation 30 of SEBI (LODR) Regulations 2015
15,24-02-2020,Others,Disclosure in respect of proposed IPO of SBI Cards
16,13-02-2020,Others,Disclosure under Regulation 39(3) of SEBI (LODR) Regulations 2015
17,12-02-2020,Others,Disclosure under Regulation 30 of SEBI (LODR) Regulations 2015:Schedule ...
18,06-02-2020,Others,"Disclosure under Regulation 39(3) of SEBI (LODR) Regulations, 2015"
19,04-02-2020,Others,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015 - Schedu..."
20,31-01-2020,Others,Disclosure under Regulation 39(3) of SEBI (LODR) Regulations 2015
21,25-01-2020,Others,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015 - Board ..."
22,24-01-2020,Others,Disclosure under Regulation 30(4) of SEBI (LODR) Regulations 2015: Bank ...
23,21-01-2020,Others,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015 - Board ..."
24,17-01-2020,Others,Disclosure under Regulation 39(3) of SEBI (LODR) Regulations 2015
25,15-01-2020,Others,Disclosure under Regulation 30 of SEBI (LODR) Regulations 2015
26,13-01-2020,Others,STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Dir...
27,10-01-2020,Others,Disclosure under Regulation 39(3) of SEBI (LODR)Regulations 2015
