,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,31-03-2020,Others,Closure of Trading Window
2,26-03-2020,Others,Outcome of Board Meeting - Intimation under Regulation 30 of the SEBI (L...
3,24-03-2020,Others,Credit Rating by ICRA
4,20-03-2020,Others,Appointment of Directors by RBI and Nomination of Directors by State Ban...
5,19-03-2020,Others,Credit Rating - CRISIL
6,18-03-2020,Others,The Exchange has received Disclosure under Regulation 31(1) and 31(2) of...
7,17-03-2020,Others,Credit Rating update
8,15-03-2020,Others,Sub : Yes Bank Limited (YESBANK) -Change in ISINThis  is further  to our...
9,11-03-2020,Others,Announcement under Reg 30 of Listing Regulations
10,07-03-2020,Others,Update on Credit Ratings
11,06-03-2020,Others,"With reference to the above, please find attached herewith the following..."
12,05-03-2020,Others,"With reference to news flashed on Bloomberg dated March 05, 2020 quoting..."
13,25-02-2020,Others,Please find enclosed press release issued by CARE Ratings on credit rati...
14,13-02-2020,Others,Sale of shares
15,12-02-2020,Others,Submission of unaudited financial results for the quarter and nine month...
16,08-02-2020,Others,Yes Bank Ltd has informed BSE regarding the details of Voting results of...
17,30-01-2020,Others,Sale of Shares
18,23-01-2020,Others,Sale of Shares acquired upon invocation of pledge
19,21-01-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
20,17-01-2020,Others,Credit Rating updates by Moody''s
21,15-01-2020,Others,Acquisition of Equity Shares upon invocation of Pledge.
22,10-01-2020,Others,"With reference to news appeared in CNBC TV 18 dated January 10, 2020 quo..."
23,07-01-2020,Others,YES BANK LTD.has informed BSE that the meeting of the Board of Directors...
24,31-12-2019,Others,Press release on Ratings by CARE Ratings Limited
25,24-12-2019,Others,Press release on Ratings by Brickwork Ratings
26,19-12-2019,Others,Press release issued by India Ratings & Research and ICRA on credit rati...
27,17-12-2019,Others,Schedule of Analyst/Institutional Investors Meet(s)/ Call(s)
28,12-12-2019,Others,Schedule of Analyst/Institutional Investors Meet(s)
29,09-12-2019,Others,Change of name of Registrar and Transfer Agent (R&TA)
30,06-12-2019,Others,Schedule of Analyst/Institutional Investors Meet(s)
31,05-12-2019,Others,Update on Rating action by Moody''s
32,03-12-2019,Others,Disclosure under Regulation 30 of Listing Regulations
33,29-11-2019,Others,"Outcome of Board Meeting held on November 29, 2019"
34,26-11-2019,Others,YES BANK LTD.has informed BSE that the meeting of the Board of Directors...
35,22-11-2019,Others,Schedule of Analyst/Institutional Investors Meet(s)
36,20-11-2019,Others,The Exchange has received Disclosure under Regulation 31(1) and 31(2) of...
37,19-11-2019,Others,"Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015"
38,18-11-2019,Others,ACquisition of Shares pursuant to invocation of pledge
39,15-11-2019,Others,Schedule of Analyst/Institutional Investors Call(s)
40,14-11-2019,Others,Schedule of Analysts/Institutional Investors Meet(s)
41,08-11-2019,Others,Schedule of Analysts/Institutional Investors Meet(s)/Call(s)
42,06-11-2019,Others,PRESS RELEASE - Moody's places Yes Bank's ratings under review for downg...
43,01-11-2019,Others,Disclosure Made In Pursuance Of Circular No. CIR/IMD/DF/51/2017 Dated Ma...
44,31-10-2019,Others,YES Bank receives a binding offer of US$1.2Bn
45,25-10-2019,Others,Certificate in terms of Regulation 74(5) of SEBI (Depositories and Parti...
46,23-10-2019,Others,With reference to news appeared in www.freepressjournal.in dated October...
47,22-10-2019,Others,"The Exchange has sought clarification from Yes Bank Ltd on October 22, 2..."
48,17-10-2019,Others,The Exchange had sought clarification from Yes Bank Ltd with reference t...
49,15-10-2019,Others,Certification under Regulation 40(9) read with Regulation 40(10) of the ...
50,11-10-2019,Others,Compliance Certificate from Registrar and Share Transfer Agent under Reg...
51,07-10-2019,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
52,04-10-2019,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
53,03-10-2019,Others,Press Release from Promoter Entities
54,01-10-2019,Others,"The Exchange has sought clarification from Yes Bank Ltd on October 1, 20..."
55,30-09-2019,Others,Update on Capital Raising
56,26-09-2019,Others,Press Release/Media Release
57,25-09-2019,Others,Update on Capital Raising
58,24-09-2019,Others,Press Release/Media Release
59,23-09-2019,Others,"Clarification on news article on YES Bank that appeared on September 21,..."
60,21-09-2019,Others,The Exchange has received the disclosure under Regulation 31(1) and 31(2...
61,20-09-2019,Others,Sale of Shares by one of the Promoters Group Entity
62,18-09-2019,Others,Schedule of Analyst/Institutional Investors Meet(s)
63,16-09-2019,Others,Intimation of allotment of Shares pursuant to exercise of options
64,10-09-2019,Others,As per attachment
65,06-09-2019,Others,Schedule of Analyst/Institutional Investors Meet(s)
66,05-09-2019,Others,Schedule of Analyst/Institutional Investors Meet(s)
67,03-09-2019,Others,Schedule of Analyst/Institutional Investors Meet(s)
68,31-08-2019,Others,PRESS RELEASE - YES BANK's Ratings downgraded by India Ratings; Outlook ...
69,29-08-2019,Others,With reference to news appeared in economictimes.indiatimes.com dated Au...
