,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,18-03-2020,Others,S Sripriya has now submitted the disclosures under Reg.13(4) of SEBI (Pr...
2,13-03-2020,Others,S Sripriya has now submitted the disclosure under Regulation 13(4) of th...
3,12-03-2019,Others,The Exchange has sought clarification from Zylog Systems Ltd with respec...
4,06-02-2019,Others,ZYLOG SYSTEMS LTD.has informed BSE that the meeting of the Board of Dire...
5,31-10-2018,Others,The board approved the financials of Quarter & half yearly ended 30.09.2018
6,23-10-2018,Others,ZYLOG SYSTEMS LTD.has informed BSE that the meeting of the Board of Dire...
7,13-08-2018,Others,Outcome of the Board Meeting held on 13.08.2018 for quarter ended 30th J...
8,06-08-2018,Others,ZYLOG SYSTEMS LTD.has informed BSE that the meeting of the Board of Dire...
9,11-06-2018,Others,Results- Financial for Quarter & year ended 31.03.2018
10,31-05-2018,Others,"The Meeting of Board of Directors has been adjourned to 11th June, 2018."
11,21-05-2018,Others,To approve Audited Standalone and consolidated Financial Statement for q...
12,12-02-2018,Others,Outcome of the Meeting of Board of Directors held on 07.02.2018.
13,07-11-2017,Others,Intimation  of the Meeting of the Board of Directors of ZSL to be  held ...
14,11-08-2017,Others,Outcome  of  the Meeting of the Board of directors of the company  held ...
15,03-08-2017,Others,To  approve  the  Unaudited Standalone &  Consolidated  Financial  for  ...
16,11-05-2017,Others,The Board Meeting of the Board of Directors of the Company will be held ...
17,03-02-2017,Others,Zylog  Systems  Ltd  has  informed BSE that the Meeting  of  the  Board ...
18,23-11-2016,Others,Zylog Systems Ltd has informed BSE regarding the details of Voting  resu...
19,21-11-2016,Others,"With  reference  to the earlier letter dated November  17,  2016  regard..."
20,21-10-2016,Others,Zylog  Systems Ltd has informed BSE that the Board Meeting of the Board ...
21,20-10-2016,Others,Zylog  Systems Ltd has informed BSE that the Board Meeting of the Board ...
22,17-08-2016,Others,Zylog Systems Ltd has informed BSE about : 1. Standalone Financial  Resu...
23,21-06-2016,Others,Zylog  Systems Ltd has informed BSE that the Board Meeting of the Board ...
24,30-05-2016,Others,Zylog  Systems  Ltd  has informed BSE about  updates  on  conducting  bo...
25,06-05-2016,Others,"Zylog  Systems Ltd has informed BSE regarding Zylog Systems FZ LLC.,  Wi..."
26,08-04-2016,Others,Zylog  Systems  Ltd has informed BSE that the 20th Annual  General  Meet...
27,01-04-2016,Others,Zylog Systems Ltd has submitted to BSE a copy of Scrutinizer Report.
28,09-03-2016,Others,Zylog Systems Ltd has informed BSE that the Extra Ordinary General  Meet...
29,15-02-2016,Others,"With  reference  to  the  earlier letter dated February  04,  2016  on  ..."
30,21-12-2015,Others,"With  reference  to  the  earlier announcement  dated  December  19,  20..."
31,17-12-2015,Others,"With reference to the earlier letter dated December 07, 2015 on  Q2/2015..."
32,08-12-2015,Others,"With  reference to earlier announcement dated December 01,  2015  regard..."
33,01-12-2015,Others,Zylog Systems Ltd has informed BSE regarding Outcome of Board Meeting.
34,26-11-2015,Others,Zylog  Systems  Ltd  has informed BSE regarding the  Outcome  of  Emerge...
35,15-09-2015,Others,Zylog  Systems  Ltd  has informed BSE that the Board of  Directors  of  ...
36,17-08-2015,Others,Zylog  Systems  Ltd  has informed BSE that the Board of  Directors  of  ...
37,06-08-2015,Others,The  Exchange had sought clarification from Zylog Systems Ltd with  resp...
38,04-08-2015,Others,"With reference to Increase in Price, Zylog Systems Ltd has Clarified to ..."
39,16-03-2015,Others,Zylog  Systems  Ltd  has  informed  BSE  regarding  update  on  Provisio...
40,24-12-2014,Others,Zylog  Systems  Ltd has submitted to BSE a copy of the results  of  the ...
41,19-12-2014,Others,Zylog  Systems  Ltd has informed BSE that the 19th Annual  General  Meet...
42,11-12-2014,Others,Zylog  Systems Ltd has informed BSE that the Adjourned 19th Annual  Gene...
43,21-11-2014,Others,Zylog  Systems  Ltd  has informed BSE that the Board of  Directors  of  ...
44,20-11-2014,Others,Zylog  Systems  Ltd has informed BSE that the 19th Annual  General  Meet...
45,17-11-2014,Others,"Ministry  of  Corporate  Affairs, Office of  the  Official  Liquidator  ..."
46,11-11-2014,Others,Zylog  Systems  Ltd has informed BSE that the 19th Annual  General  Meet...
47,29-04-2014,Others,Zylog  Systems  Ltd  has informed BSE about  Outcome  of  Adjourned  Ann...
48,13-03-2014,Others,Zylog Systems Ltd has informed BSE that the date of the Annual General B...
49,05-02-2014,Others,Zylog Systems Ltd has informed BSE that the Extra-Ordinary General  Meet...
50,20-12-2013,Others,Zylog Systems Ltd has Informed BSE that in view of the Approval granted ...
51,19-12-2013,Others,Zylog  Systems  Ltd has informed BSE that the Company has been  granted ...
52,03-06-2013,Others,Zylog Systems Ltd has submitted to BSE a copy of Results Press Release  ...
53,30-05-2013,Others,Zylog Systems Ltd has informed BSE that the GDR Committee of the Company...
54,26-04-2013,Others,Zylog Systems Ltd has informed BSE that the GDR Committee of the Company...
55,22-04-2013,Others,Zylog  Systems Ltd has informed BSE that The GDR Committee of the  Compa...
56,11-12-2012,Others,Zylog  Systems  Ltd  has informed BSE that the Board of  Directors  of  ...
57,19-10-2012,Others,Zylog  Systems  Ltd has clarified to BSE that other than those reported ...
58,25-09-2012,Others,Zylog  Systems  Ltd has informed BSE that the 17th Annual  General  Meet...
59,14-08-2012,Others,Market  Zylog Systems Ltd has informed BSE regarding a Press Release  da...
60,21-06-2012,Others,Zylog Systems Ltd has informed BSE that the Extra Ordinary General  Meet...
61,06-06-2012,Others,Zylog Systems Ltd has informed BSE that the Extra Ordinary General  Meet...
62,30-09-2011,Others,Zylog Systems Ltd has informed BSE that the members at the 16th Annual G...
63,20-09-2011,Others,Zylog Systems Ltd has informed BSE regarding a Press Release dated Septe...
64,25-08-2011,Others,Zylog Systems Ltd has informed BSE regarding a Press Release dated Augus...
65,07-07-2011,Others,Zylog Systems Ltd has informed BSE regarding a Press Release dated July ...
66,28-04-2011,Others,Zylog Systems Ltd has submitted to BSE a copy of a certificate from the ...
67,24-03-2011,Others,"With reference to earlier announcement dated March 22, 2011 where in JM ..."
