,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT ,PURPOSE,REMARKS
1,21-02-2020,Others,Tata Consultancy Services Ltd has submitted to BSE a copy of Press Relea...
2,19-02-2020,Others,TCS Ranked as the #1 Life Sciences Service Provider by HFS
3,13-02-2020,Others,"This is to inform you that the Board of Directors, at its meeting held t..."
4,12-02-2020,Others,TCS a Leader and a Star Performer in Enterprise Blockchain Services: Eve...
5,05-02-2020,Others,TCS a Leader and Star Performer in Supply Chain Management BPO Services:...
6,03-02-2020,Others,Walgreens Boots Alliance Advances Transformation of its Global Informati...
7,31-01-2020,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
8,30-01-2020,Others,TCS Recognized as a Leader in Multi-Process Human Resources Outsourcing ...
9,27-01-2020,Others,TCS Recognized as a Leader in the IDC MarketScape for European Managed C...
10,24-01-2020,Others,TCS Named a Leader in Talent Readiness for Next-generation IT Services b...
11,23-01-2020,Others,TCS Among Top 3 IoT Service Providers: HFS Research
12,21-01-2020,Others,TCS a Leader in Life Sciences Data and Analytics Services for Sales and ...
13,17-01-2020,Others,"We would like to inform you that at the Board Meeting held today, the Di..."
14,16-01-2020,Others,TCS Named a Leader in Healthcare Digital Services by Avasant
15,10-01-2020,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
16,08-01-2020,Others,No.of Investor complaints pending at the beginning of the quarter  No.of...
17,07-01-2020,Others,TCS Ranked Among Top Four Providers of SAP SuccessFactors Services by HFS
18,04-01-2020,Others,"The Company has on January 3, 2020 filed an appeal before the Hon'ble Su..."
19,02-01-2020,Others,TCS Named a Leader and Star Performer in Life & Pensions Insurance BPO S...
20,01-01-2020,Others,Extreme Networks Partners with TCS to Successfully Transform and Future-...
21,24-12-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
22,19-12-2019,Others,TCS to Help VIAVI Develop Next-gen 5G Solutions
23,16-12-2019,Others,TCS Launches QuartzTM DevKit: Helps Enterprises Build Blockchain Apps 40...
24,12-12-2019,Others,Elisa Smart Factory and TCS Partner to Deliver Advanced Analytics Soluti...
25,09-12-2019,Others,TCS Positioned as a Leader in Financial Crime and Compliance Operations ...
26,06-12-2019,Others,TCS' Advanced Drug Development Suite Wins the India Pharma Award 2019
27,02-12-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
28,27-11-2019,Others,"TCS Recognized with Top CSR Honor, the U.S. Chamber of Commerce Foundati..."
29,26-11-2019,Others,SMU-TCS iCity Lab Wins the 2019 SuperNova Award for the SHINESeniors Pro...
30,21-11-2019,Others,TCS Wins the ITSMA 2019 Diamond Award for Marketing Excellence
31,20-11-2019,Others,TCS Collaborates with Qualcomm to Launch New Innovation Hub to Develop N...
32,18-11-2019,Others,TCS Launches Microsoft Business Unit to Help Enterprises Accelerate thei...
33,13-11-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
34,07-11-2019,Others,"Pursuant to Regulation 23(9) of Listing Regulations, please find enclose..."
35,01-11-2019,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
36,31-10-2019,Others,TCS' IoT Solutions Win the Emerging Digital Technologies Awards 2019
37,30-10-2019,Others,TCS iON'sT Digital Marking Hub Expands its Evaluator Ecosystem
38,23-10-2019,Others,TCS Launches Blockchain-based Multi-brand Customer Loyalty Platform on R...
39,17-10-2019,Others,Vodafone Idea Extends Strategic Partnership with TCS to Enhance Customer...
40,16-10-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
41,14-10-2019,Others,TCS Named India's Overall Most Outstanding Company in Asiamoney's 2019 Poll
42,11-10-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
43,09-10-2019,Others,Legal & General Expands Strategic Partnership with TCS to Enable Digital...
44,07-10-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
45,04-10-2019,Others,Please find enclosed the certificate under Regulation 7(3) of Securities...
46,01-10-2019,Others,Jurassic Fibre Partners with TCS to Launch Ultrafast Broadband in South ...
47,27-09-2019,Others,TCS' Connected Clinical Trials Platform Wins the European Innovations Award
48,26-09-2019,Others,Voyager Alliance Credit Union Select TCS BaNCST Cloud for Core Banking
49,25-09-2019,Others,QNB Selects the TCS BaNCST Global Securities Platform to Future-proof it...
50,24-09-2019,Others,TCS Launches SaaS Platform for Financial Institutions to Automate End-to...
51,20-09-2019,Others,Just Launched: Official App for TCS Liding?loppet 2019 Packed with Excit...
52,19-09-2019,Others,TCS a Leader in Software Product Engineering Services: Everest Group
53,16-09-2019,Others,General Motors and Tata Consultancy Services Launch New Partnership in G...
54,10-09-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
55,09-09-2019,Others,TCS Named a Leader in IDC MarketScape for Worldwide Digital Transformati...
56,05-09-2019,Others,Posten Norge Expands its Strategic Partnership with TCS to Enable Superi...
57,04-09-2019,Others,TCS' Virgin Money London Marathon App Wins Three Steviesr at the 2019 In...
58,27-08-2019,Others,TCS Colombia Wins 2019 Microsoft Partner of the Year Awards
59,26-08-2019,Others,We are sending herewith copy of the Press Release titled 'Damen Shipyard...
60,23-08-2019,Others,TCS iON IntelliGem to Help School Students Build 21st Century Skills
61,22-08-2019,Others,TCS Recognized as a Leader in Gartner Magic Quadrant for Global Retail C...
62,16-08-2019,Others,TCS Interactive Wins 2019 Red Dot: Best of the Best Award in Brands and ...
63,13-08-2019,Others,We are sending herewith copy of the Press Release titled 'ignioT Celebra...
64,09-08-2019,Others,TCS Launches Robotic Automation Solutions to Accelerate Digital Transfor...
65,07-08-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
66,06-08-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
67,02-08-2019,Others,TCS Positioned as a Leader in Application Modernization and Migration Se...
68,01-08-2019,Others,We are sending herewith copy of the Press Release titled 'TCS Launches N...
69,31-07-2019,Others,TCS a Leader in DevOps Services: Everest Group
70,30-07-2019,Others,TCS Enterprise Cloud Platform Wins the Equinix Best Innovation Award in ...
71,26-07-2019,Others,Deutsche Bank Spain Wins Celent Model Wealth Manager 2019 Award for Clie...
72,25-07-2019,Others,TCS Named a Leader in Digital Workplace Services by Everest Group
73,24-07-2019,Others,TCS Named Oracle's HCM Cloud Partner of the Year for The Netherlands
74,23-07-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
75,19-07-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
76,16-07-2019,Others,TCS Recognized as a Leader in Gartner's 2019 Magic Quadrant for Data Cen...
77,15-07-2019,Others,NXP Partners with TCS to Transform its Enterprise Supply Chain IT Operat...
78,11-07-2019,Others,TCS Launches JileT 3.0 to Help Companies Achieve Agile Transformation
79,10-07-2019,Others,TCS Recognized with an Overall Positive Vendor Rating by Gartner Inc
80,08-07-2019,Others,We are sending herewith copy of the Press Release titled 'TCS a Leader i...
81,04-07-2019,Others,Digitate Named the Best Overall AI Company of the Year by AI Breakthrough
82,01-07-2019,Others,Tata Consultancy Services Ltd has informed BSE that the Company has fixe...
83,28-06-2019,Others,Pursuant to Regulation 29(1) of SEBI (Listing Obligations and Disclosure...
84,25-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
85,21-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
86,20-06-2019,Others,TCS Wins 2019 Pega Partner Award for Excellence in Digital Transformation
87,19-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
88,18-06-2019,Others,TCS Named a Leader in Next-Gen Testing Services by NelsonHall
89,17-06-2019,Others,TCS Teams Up with SAP to Transform Surgical Kit Handling with an IoT and...
90,14-06-2019,Others,Tata Consultancy Services Ltd has informed BSE regarding the details of ...
91,13-06-2019,Others,TCS Program Gives European Graduates a Head Start in Tech Careers
92,11-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
93,10-06-2019,Others,TCS Positioned as a Leader and Star Performer in Property & Casualty Ins...
94,07-06-2019,Others,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclose..."
95,05-06-2019,Others,TCS and Star Alliance Celebrate 15 years of Partnership with New Digital...
96,04-06-2019,Others,TCS New York City Marathon App Wins MediaPost's APPY Award
97,03-06-2019,Others,TCS Launches MasterCraftT TransformPlus v4.0 with New Cognitive Features...
98,31-05-2019,Others,Pursuant to Regulation 8(2) of the Securities and Exchange Board of Indi...
99,30-05-2019,Others,The Company''s Registrars and Transfer Agents - TSR Darashaw Limited (''...
100,21-05-2019,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI L...
