,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,27-04-2020,Board Meeting,ADANI POWER LTD.has informed BSE that the meeting of the Board of Direct...
2,06-02-2020,Board Meeting,ADANI POWER LTD.has informed BSE that the meeting of the Board of Direct...
3,13-11-2019,Board Meeting,ADANI POWER LTD.has informed BSE that the meeting of the Board of Direct...
4,07-08-2019,Board Meeting,ADANI POWER LTD.has informed BSE that the meeting of the Board of Direct...
5,29-05-2019,Board Meeting,ADANI POWER LTD.has informed BSE that the meeting of the Board of Direct...
6,23-02-2019,Board Meeting,ADANI POWER LTD.has informed BSE that the meeting of the Board of Direct...
7,06-02-2019,Board Meeting,ADANI POWER LTD.has informed BSE that the meeting of the Board of Direct...
8,31-10-2018,Board Meeting,ADANI POWER LTD.has informed BSE that the meeting of the Board of Direct...
9,06-08-2018,Board Meeting,Quarterly Results
10,03-05-2018,Board Meeting,Audited Results
11,17-01-2018,Board Meeting,Intimation under Regulation 29 of the SEBI (Listing Obligations and Disc...
12,11-11-2017,Board Meeting,Intimation under Regulation 29 of the SEBI (Listing Obligations and Disc...
13,10-08-2017,Board Meeting,Intimation under Regulation 29 of the SEBI (Listing Obligations and Disc...
14,06-06-2017,Board Meeting,The Slump Sale of its Mundra Power Generating Business Undertaking to it...
15,27-05-2017,Board Meeting,Audited Results
16,20-01-2017,Board Meeting,Adani Power Ltd has informed BSE that the Meeting of the Board of Direct...
17,24-10-2016,Board Meeting,Adani Power Ltd has informed BSE that a meeting of the Board of Director...
18,09-08-2016,Board Meeting,Adani Power Ltd has informed BSE that the Meeting of the Board of Direct...
19,03-05-2016,Board Meeting,Adani Power Ltd has informed BSE that a meeting of the Board of Director...
20,06-04-2016,Board Meeting,Adani Power Ltd has informed BSE that a meeting of the Board of Director...
21,13-02-2016,Board Meeting,Quarterly ResultsAdani Power Ltd has informed BSE that a meeting of the ...
22,12-02-2016,Board Meeting,Quarterly ResultsAdani Power Ltd has informed BSE that a meeting of the ...
23,03-11-2015,Board Meeting,Quarterly ResultsAdani Power Ltd has informed BSE that a meeting of the ...
24,10-08-2015,Board Meeting,Quarterly ResultsAdani Power Ltd has informed BSE that a meeting of the ...
25,11-05-2015,Board Meeting,Adani Power Ltd has informed BSE that a Meeting of the Board of Director...
26,28-01-2015,Board Meeting,Quarterly ResultsAdani Power Ltd has informed BSE that a meeting of the ...
27,10-11-2014,Board Meeting,Adani Power Ltd has informed BSE that a meeting of the Board of Director...
28,06-08-2014,Board Meeting,Adani Power Ltd has informed BSE that a Meeting of the Board of Director...
29,15-05-2014,Board Meeting,Adani Power Ltd has informed BSE that a meeting of the Board of Director...
30,27-01-2014,Board Meeting,Adani Power Ltd has informed BSE that a meeting of the Board of Director...
31,25-10-2013,Board Meeting,Quarterly ResultsAdani Power Ltd has informed BSE that a meeting of the ...
32,01-08-2013,Board Meeting,Adani Power Ltd has informed BSE that a meeting of the Board of Director...
33,06-05-2013,Board Meeting,Adani Power Ltd has informed BSE that a meeting of the Board of Director...
34,28-01-2013,Board Meeting,Adani Power Ltd has informed BSE that a meeting of the Board of Director...
