,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,25-02-2020,Board Meeting,ASIAN PAINTS LTD.has informed BSE that the meeting of the Board of Direc...
2,22-01-2020,Board Meeting,ASIAN PAINTS LTD.has informed BSE that the meeting of the Board of Direc...
3,22-10-2019,Board Meeting,ASIAN PAINTS LTD.has informed BSE that the meeting of the Board of Direc...
4,24-07-2019,Board Meeting,ASIAN PAINTS LTD.has informed BSE that the meeting of the Board of Direc...
5,09-05-2019,Board Meeting,ASIAN PAINTS LTD.has informed BSE that the meeting of the Board of Direc...
6,22-01-2019,Board Meeting,ASIAN PAINTS LTD.has informed BSE that the meeting of the Board of Direc...
7,22-10-2018,Board Meeting,Asian Paints Ltd has informed BSE that a meeting of the Board of Directo...
8,24-07-2018,Board Meeting,This is to inform you that a meeting of the Board of Directors of the Co...
9,10-05-2018,Board Meeting,Audited Results & Final Dividend
10,22-01-2018,Board Meeting,This is to inform you that a meeting of the Board of Directors of the Co...
11,24-10-2017,Board Meeting,Asian Paints Ltd has informed BSE that a meeting of the Board of Directo...
12,25-07-2017,Board Meeting,Quarterly Results
13,11-05-2017,Board Meeting,This is to inform you that a meeting of the Board of Directors of the Co...
14,23-01-2017,Board Meeting,Asian Paints Ltd has informed BSE that a meeting of the Board of Directo...
15,25-10-2016,Board Meeting,Asian Paints Ltd has informed BSE that a meeting of the Board of Directo...
16,27-07-2016,Board Meeting,Asian Paints Ltd has informed BSE that a meeting of the Board of Directo...
17,11-05-2016,Board Meeting,Final Dividend & Audited ResultsAsian Paints Ltd has informed BSE that a...
18,18-01-2016,Board Meeting,Quarterly ResultsAsian Paints Ltd has informed BSE that a meeting of the...
19,23-10-2015,Board Meeting,Interim Dividend & Quarterly Results
20,21-07-2015,Board Meeting,Asian Paints Ltd has informed BSE that a meeting of the Board of Directo...
21,18-05-2015,Board Meeting,Final Dividend & Audited ResultsAsian Paints Ltd has informed BSE that a...
22,29-01-2015,Board Meeting,Quarterly ResultsAsian Paints Ltd has informed BSE that a meeting of the...
23,22-10-2014,Board Meeting,Quarterly ResultsAsian Paints Ltd has informed BSE that a meeting of the...
24,17-09-2014,Board Meeting,Interim Dividend
25,22-07-2014,Board Meeting,Asian Paints Ltd. will hold a meeting of the Board of Directors of the C...
26,14-05-2014,Board Meeting,Asian Paints Ltd has informed BSE that a meeting of the Board of Directo...
27,20-01-2014,Board Meeting,Asian Paints Ltd has informed BSE that a meeting of the Board of Directo...
28,21-10-2013,Board Meeting,Asian Paints Ltd has informed BSE that a meeting of the Board of Directo...
29,22-07-2013,Board Meeting,Asian Paints Ltd has informed BSE that a meeting of the Board of Directo...
30,09-05-2013,Board Meeting,Asian Paints Ltd has informed BSE that a meeting of the Board of Directo...
31,21-01-2013,Board Meeting,Asian Paints Ltd has informed BSE that a meeting of the Board of Directo...
