,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,23-05-2020,Board Meeting,Avenue Supermarts Ltdhas informed BSE that the meeting of the Board of D...
2,11-01-2020,Board Meeting,Avenue Supermarts Ltdhas informed BSE that the meeting of the Board of D...
3,12-10-2019,Board Meeting,Avenue Supermarts Ltdhas informed BSE that the meeting of the Board of D...
4,13-07-2019,Board Meeting,Avenue Supermarts Ltdhas informed BSE that the meeting of the Board of D...
5,11-05-2019,Board Meeting,Avenue Supermarts Ltdhas informed BSE that the meeting of the Board of D...
6,12-01-2019,Board Meeting,Avenue Supermarts Ltdhas informed BSE that the meeting of the Board of D...
7,13-10-2018,Board Meeting,AVENUE SUPERMARTS LTDhas informed BSE that the meeting of the Board of D...
8,05-05-2018,Board Meeting,Audited Results & Issue of non-convertible debentures on private placeme...
9,22-07-2017,Board Meeting,"Notice of the Board Meeting scheduled to be held on Saturday, July 22, 2017"
10,06-05-2017,Board Meeting,"Notice of the Board Meeting scheduled to be held on Saturday, May 6, 2017"
