,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,31-01-2020,Board Meeting,ITC LTD.has informed BSE that the meeting of the Board of Directors of t...
2,24-10-2019,Board Meeting,Quarterly Results
3,02-08-2019,Board Meeting,ITC LTD.has informed BSE that the meeting of the Board of Directors of t...
4,13-05-2019,Board Meeting,ITC LTD.has informed BSE that the meeting of the Board of Directors of t...
5,23-01-2019,Board Meeting,ITC LTD.has informed BSE that the meeting of the Board of Directors of t...
6,26-10-2018,Board Meeting,ITC LTD.has informed BSE that the meeting of the Board of Directors of t...
7,26-07-2018,Board Meeting,"Dear Sirs,In terms of Regulation 29 of the SEBI (Listing Obligations and..."
8,16-05-2018,Board Meeting,ITC Ltd has informed BSE that a Meeting of the Board of Directors of the...
9,19-01-2018,Board Meeting,Quarterly ResultsIn terms of Regulation 29 of the SEBI (Listing Obligati...
10,27-10-2017,Board Meeting,In terms of Regulation 29 of the SEBI (Listing Obligations and Disclosur...
11,27-07-2017,Board Meeting,In terms of Regulation 29 of the SEBI (Listing Obligations and Disclosur...
12,26-05-2017,Board Meeting,In terms of Regulation 29 of the SEBI (Listing Obligations and Disclosur...
13,27-01-2017,Board Meeting,ITC Ltd has informed BSE that a Meeting of the Board of Directors of the...
14,26-10-2016,Board Meeting,ITC Ltd has informed BSE that a meeting of the Board of Directors of the...
15,21-07-2016,Board Meeting,ITC Ltd has informed BSE that a meeting of the Board of Directors of the...
16,20-05-2016,Board Meeting,ITC Ltd has informed BSE that a Meeting of the Board of Directors of the...
17,22-01-2016,Board Meeting,Quarterly ResultsITC Ltd has informed BSE that a Meeting of the Board of...
18,30-10-2015,Board Meeting,ITC Ltd has informed BSE that a meeting of the Board of Directors of the...
19,30-07-2015,Board Meeting,ITC Ltd has informed BSE that a Meeting of the Board of Directors of the...
20,22-05-2015,Board Meeting,ITC Ltd has informed BSE that a meeting of the Board of Directors of the...
21,21-01-2015,Board Meeting,Quarterly ResultsITC Ltd has informed BSE that a meeting of the Board of...
22,31-10-2014,Board Meeting,ITC Ltd has informed BSE that a Meeting of the Board of Directors of the...
23,29-07-2014,Board Meeting,Quarterly ResultsITC Ltd has informed BSE that a meeting of the Board of...
24,23-05-2014,Board Meeting,Dividend &  Audited Results
25,17-01-2014,Board Meeting,ITC Ltd has informed BSE that a meeting of the Board of Directors of the...
26,25-10-2013,Board Meeting,ITC Ltd has informed BSE that a meeting of the Board of Directors of the...
27,28-08-2013,Board Meeting,ITC Ltd has informed BSE that a meeting of the Board of Directors of the...
28,25-07-2013,Board Meeting,Quarterly ResultsITC Ltd has informed BSE that a meeting of the Board of...
29,17-05-2013,Board Meeting,ITC Ltd has informed BSE that a meeting of the Board of Directors of the...
30,18-01-2013,Board Meeting,ITC Ltd has informed BSE that a meeting of the Board of Directors of the...
