,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,09-04-2020,Board Meeting,LARSEN & TOUBRO LTD.has informed BSE that the meeting of the Board of Di...
2,18-03-2020,Board Meeting,LARSEN & TOUBRO LTD.has informed BSE that the meeting of the Board of Di...
3,22-01-2020,Board Meeting,LARSEN & TOUBRO LTD.has informed BSE that the meeting of the Board of Di...
4,23-10-2019,Board Meeting,LARSEN & TOUBRO LTD.has informed BSE that the meeting of the Board of Di...
5,23-07-2019,Board Meeting,LARSEN & TOUBRO LTD.has informed BSE that the meeting of the Board of Di...
6,10-05-2019,Board Meeting,LARSEN & TOUBRO LTD.has informed BSE that the meeting of the Board of Di...
7,25-01-2019,Board Meeting,LARSEN & TOUBRO LTD.has informed BSE that the meeting of the Board of Di...
8,31-10-2018,Board Meeting,LARSEN has informed BSE that the meeting of the Board of Directors of th...
9,23-08-2018,Board Meeting,LARSEN has informed BSE that the meeting of the Board of Directors of th...
10,25-07-2018,Board Meeting,Pursuant to Regulation 29(1) (a) of the SEBI (Listing Obligations and Di...
11,28-05-2018,Board Meeting,Larsen & Toubro Ltd has informed BSE that a Meeting of the Board of Dire...
12,31-01-2018,Board Meeting,Quarterly ResultsPursuant to Regulation 29(1) (a) of the SEBI (Listing O...
13,24-01-2018,Board Meeting,Quarterly Results
14,11-11-2017,Board Meeting,Pursuant to Regulation 29(1) (a) of the SEBI (Listing Obligations and Di...
15,28-07-2017,Board Meeting,Pursuant to Regulation 29(1) (a) of the SEBI (Listing Obligations and Di...
16,29-05-2017,Board Meeting,Larsen & Toubro Ltd has informed BSE that a Meeting of the Board of Dire...
17,28-01-2017,Board Meeting,Larsen & Toubro Ltd has informed BSE that a Meeting of the Board of Dire...
18,22-11-2016,Board Meeting,Larsen & Toubro Ltd has informed BSE that a Meeting of the Board of Dire...
19,29-07-2016,Board Meeting,Larsen & Toubro Ltd has informed BSE that a meeting of the Board of Dire...
20,25-05-2016,Board Meeting,Larsen & Toubro Ltd has informed BSE that a meeting of the Board of Dire...
21,29-01-2016,Board Meeting,Larsen & Toubro Ltd has informed BSE that a meeting of the Board of Dire...
22,30-10-2015,Board Meeting,Quarterly Results
23,31-07-2015,Board Meeting,Quarterly ResultsLarsen & Toubro Ltd has informed BSE that a meeting of ...
24,30-05-2015,Board Meeting,Larsen & Toubro Ltd has informed BSE that a meeting of the Board of Dire...
25,09-02-2015,Board Meeting,Larsen & Toubro Ltd has informed BSE that a meeting of the Board of Dire...
26,07-11-2014,Board Meeting,Larsen & Toubro Ltd has informed BSE that a Meeting of the Board of Dire...
27,28-07-2014,Board Meeting,Larsen & Toubro Ltd has informed BSE that a meeting of the Board of Dire...
28,30-05-2014,Board Meeting,Dividend & Audited Results
29,22-01-2014,Board Meeting,Larsen & Toubro Ltd has informed BSE that a meeting of the Board of Dire...
30,18-10-2013,Board Meeting,Larsen & Toubro Ltd has informed BSE that a meeting of the Board of Dire...
31,22-07-2013,Board Meeting,Larsen & Toubro Ltd has informed BSE that a meeting of the Board of Dire...
32,22-05-2013,Board Meeting,Dividend & Audited Results
33,24-01-2013,Board Meeting,Larsen & Toubro Ltd has informed BSE that a meeting of the Board of Dire...
