,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,10-02-2020,Board Meeting,MRF LTD.has informed BSE that the meeting of the Board of Directors of t...
2,08-11-2019,Board Meeting,MRF LTD.has informed BSE that the meeting of the Board of Directors of t...
3,09-08-2019,Board Meeting,MRF LTD.has informed BSE that the meeting of the Board of Directors of t...
4,02-05-2019,Board Meeting,MRF LTD.has informed BSE that the meeting of the Board of Directors of t...
5,07-02-2019,Board Meeting,MRF LTD.has informed BSE that the meeting of the Board of Directors of t...
6,08-11-2018,Board Meeting,MRF LTD.has informed BSE that the meeting of the Board of Directors of t...
7,09-08-2018,Board Meeting,Quarterly Results
8,03-05-2018,Board Meeting,MRF Ltd has informed BSE that the meeting of Board of Directors of our C...
9,01-02-2018,Board Meeting,MRF Ltd has informed BSE that the meeting of Board of Directors of the C...
10,10-11-2017,Board Meeting,MRF Ltd has informed BSE that the meeting of Board of Directors of the C...
11,04-08-2017,Board Meeting,"Board Meeting on 4th August,2017"
12,04-05-2017,Board Meeting,"BOARD MEETING ON 4TH MAY,2017"
13,03-02-2017,Board Meeting,MRF Ltd has informed BSE that the meeting of Board of Directors of the C...
14,27-10-2016,Board Meeting,MRF Ltd has informed BSE that the meeting of Board of Directors of the C...
15,11-08-2016,Board Meeting,Quarterly ResultsMRF Ltd has informed BSE that the meeting of Board of D...
16,03-05-2016,Board Meeting,Final Dividend & Audited ResultsMRF Ltd has informed BSE that a meeting ...
17,25-01-2016,Board Meeting,MRF Ltd has informed BSE that a meeting of the Board of Directors of the...
18,29-10-2015,Board Meeting,MRF Ltd has informed BSE that a meeting of the Board of Directors of the...
19,27-07-2015,Board Meeting,Quarterly Results & Interim DividendMRF Ltd has informed BSE that a meet...
20,23-04-2015,Board Meeting,Quarterly Results
21,12-02-2015,Board Meeting,MRF Ltd has informed BSE that a meeting of the Board of Directors of the...
22,26-11-2014,Board Meeting,MRF Ltd has informed BSE that a meeting of the Board of Directors of the...
23,30-10-2014,Board Meeting,Second Interim DividendMRF Ltd has informed BSE that a meeting of the Bo...
24,23-07-2014,Board Meeting,Interim Dividend & Quarterly Results
25,22-04-2014,Board Meeting,MRF Ltd has informed BSE that a meeting of the Board of Directors of the...
26,06-02-2014,Board Meeting,MRF Ltd has informed BSE that a meeting of the Board of Directors of the...
27,28-11-2013,Board Meeting,MRF Ltd has informed BSE that a meeting of the Board of Directors of the...
28,24-10-2013,Board Meeting,Second Interim DividendMRF Ltd has informed BSE that a meeting of the Bo...
29,25-07-2013,Board Meeting,MRF Ltd has informed BSE that a meeting the Board of Directors of the Co...
30,18-04-2013,Board Meeting,MRF Ltd has informed BSE that a meeting of the Board of Directors of the...
31,07-02-2013,Board Meeting,MRF Ltd has informed BSE that a meeting of the Board of Directors of the...
