,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,30-01-2020,Board Meeting,TATA MOTORS LTD.has informed BSE that the meeting of the Board of Direct...
2,25-10-2019,Board Meeting,"Quarterly Results Inter alia, will also consider the proposal for raisin..."
3,25-07-2019,Board Meeting,TATA MOTORS LTD.has informed BSE that the meeting of the Board of Direct...
4,20-05-2019,Board Meeting,TATA MOTORS LTD.has informed BSE that the meeting of the Board of Direct...
5,07-02-2019,Board Meeting,TATA MOTORS LTD.has informed BSE that the meeting of the Board of Direct...
6,31-10-2018,Board Meeting,TATA MOTORS LTD.has informed BSE that the meeting of the Board of Direct...
7,31-07-2018,Board Meeting,Quarterly Resultsa. Pursuant to Regulation 29(1)(a) of the SEBI (Listing...
8,23-05-2018,Board Meeting,Audited Results
9,05-02-2018,Board Meeting,Quarterly Resultsa. Pursuant to Regulation 29(1)(a) of the SEBI (Listing...
10,09-11-2017,Board Meeting,a.  Pursuant to Regulation 29(1)(a) of the SEBI (Listing Obligations and...
11,23-05-2017,Board Meeting,Audited Results
12,18-01-2016,Board Meeting,Tata Motors Ltd has informed BSE that a meeting of the Board of Director...
13,07-08-2015,Board Meeting,Tata Motors Ltd has informed BSE that a meeting of the Board of Director...
14,26-05-2015,Board Meeting,Tata Motors Ltd has informed BSE that a meeting of the Board of Director...
15,25-03-2015,Board Meeting,Right Issue of Equity SharesTata Motors Ltd has informed BSE that a meet...
16,05-02-2015,Board Meeting,Quarterly ResultsTata Motors Ltd has informed BSE that a meeting of the ...
17,14-11-2014,Board Meeting,Tata Motors Ltd has informed BSE that a meeting of the Board of Director...
18,11-08-2014,Board Meeting,Quarterly ResultsTata Motors Ltd has informed BSE that a meeting of the ...
19,29-05-2014,Board Meeting,"to consider the audited financial results and the dividend, if any, for ..."
20,10-02-2014,Board Meeting,Quarterly ResultsTata Motors Ltd has informed BSE that a meeting of the ...
21,08-11-2013,Board Meeting,Tata Motors Ltd has informed BSE that a meeting of the Board of Director...
22,07-08-2013,Board Meeting,Tata Motors Ltd has informed BSE that a meeting of the Board of Director...
23,29-05-2013,Board Meeting,Tata Motors Ltd has informed BSE that a meeting of the Board of Director...
24,14-02-2013,Board Meeting,Tata Motors Ltd has informed BSE that a meeting of the Board of Director...
