,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,24-04-2020,Board Meeting,TATA STEEL LTD.has informed BSE that the meeting of the Board of Directo...
2,13-04-2020,Board Meeting,TATA STEEL LTD.has informed BSE that the meeting of the Board of Directo...
3,09-03-2020,Board Meeting,TATA STEEL LTD.has informed BSE that the meeting of the Board of Directo...
4,07-02-2020,Board Meeting,TATA STEEL LTD.has informed BSE that the meeting of the Board of Directo...
5,06-11-2019,Board Meeting,TATA STEEL LTD.has informed BSE that the meeting of the Board of Directo...
6,07-08-2019,Board Meeting,TATA STEEL LTD.has informed BSE that the meeting of the Board of Directo...
7,25-04-2019,Board Meeting,TATA STEEL LTD.has informed BSE that the meeting of the Board of Directo...
8,26-02-2019,Board Meeting,TATA STEEL LTD.has informed BSE that the meeting of the Board of Directo...
9,08-02-2019,Board Meeting,TATA STEEL LTD.has informed BSE that the meeting of the Board of Directo...
10,13-11-2018,Board Meeting,TATA STEEL LTD.has informed BSE that the meeting of the Board of Directo...
11,13-08-2018,Board Meeting,Quarterly Results
12,16-05-2018,Board Meeting,Tata Steel Ltd has informed BSE that a meeting of the Board of Directors...
13,03-04-2018,Board Meeting,This is to inform you that a meeting of the Board of Directors of Tata S...
14,09-02-2018,Board Meeting,A meeting of the Board of Directors of Tata Steel Limited (the 'Company'...
15,18-12-2017,Board Meeting,This is to inform you that a meeting of the Board of Directors of the Co...
16,30-10-2017,Board Meeting,Quarterly Results
17,07-08-2017,Board Meeting,Intimation of Board Meeting
18,16-05-2017,Board Meeting,Tata Steel Ltd has informed BSE that a meeting of the Board of Directors...
19,20-04-2017,Board Meeting,A meeting of the Board of Directors of the Company will be held on Thurs...
20,07-02-2017,Board Meeting,Tata Steel Ltd has informed BSE that a Meeting of the Board of Directors...
21,11-11-2016,Board Meeting,Tata Steel Ltd has informed BSE that a meeting of the Board of Directors...
22,12-09-2016,Board Meeting,Tata Steel Ltd has informed BSE that a meeting of the Board of Directors...
23,25-05-2016,Board Meeting,Tata Steel Ltd has informed BSE that a meeting of the Board of Directors...
24,04-02-2016,Board Meeting,Tata Steel Ltd has informed BSE that a meeting of the Board of Directors...
25,05-11-2015,Board Meeting,Quarterly ResultsTata Steel Ltd has informed BSE that a meeting of the B...
26,11-08-2015,Board Meeting,Quarterly ResultsTata Steel Ltd has informed BSE that a meeting of the B...
27,20-05-2015,Board Meeting,Tata Steel Ltd has informed BSE that a meeting of the Board of Directors...
28,06-02-2015,Board Meeting,Quarterly ResultsTata Steel Ltd has informed BSE that a meeting of the B...
29,12-11-2014,Board Meeting,Tata Steel Ltd has informed BSE that a meeting of the Board of Directors...
30,13-08-2014,Board Meeting,Quarterly Results
31,14-05-2014,Board Meeting,Tata Steel Ltd has informed BSE that a meeting of the Board of Directors...
32,11-02-2014,Board Meeting,Tata Steel Ltd has informed BSE that a meeting of the Board of Directors...
33,13-11-2013,Board Meeting,Quarterly ResultsTata Steel Ltd has informed BSE that a meeting of the B...
34,13-08-2013,Board Meeting,Tata Steel Ltd has informed BSE that a meeting of the Board of Directors...
35,23-05-2013,Board Meeting,Tata Steel Ltd has informed BSE that a meeting of the Board of Directors...
36,13-02-2013,Board Meeting,Tata Steel Ltd has informed BSE that a meeting of the Board of Directors...
