,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,18-05-2020,Board Meeting,Vedanta Limitedhas informed BSE that the meeting of the Board of Directo...
2,27-02-2020,Board Meeting,Vedanta Limitedhas informed BSE that the meeting of the Board of Directo...
3,31-01-2020,Board Meeting,Vedanta Limitedhas informed BSE that the meeting of the Board of Directo...
4,14-11-2019,Board Meeting,Vedanta Limitedhas informed BSE that the meeting of the Board of Directo...
5,26-07-2019,Board Meeting,Vedanta Limitedhas informed BSE that the meeting of the Board of Directo...
6,07-05-2019,Board Meeting,Vedanta Limitedhas informed BSE that the meeting of the Board of Directo...
7,06-03-2019,Board Meeting,Vedanta Limitedhas informed BSE that the meeting of the Board of Directo...
8,31-01-2019,Board Meeting,Vedanta Limitedhas informed BSE that the meeting of the Board of Directo...
9,31-10-2018,Board Meeting,VEDANTA LIMITEDhas informed BSE that the meeting of the Board of Directo...
10,10-10-2018,Board Meeting,VEDANTA LIMITEDhas informed BSE that the meeting of the Board of Directo...
11,31-07-2018,Board Meeting,Quarterly ResultsIn terms of Regulation 29 of Securities and Exchange Bo...
12,03-05-2018,Board Meeting,Audited Results
13,13-03-2018,Board Meeting,Vedanta Ltd has informed BSE that the meeting of the Board of Directors ...
14,31-01-2018,Board Meeting,Quarterly Results
15,02-11-2017,Board Meeting,Quarterly ResultsIn terms of Regulation 29 of Securities and Exchange Bo...
16,25-07-2017,Board Meeting,In terms of Regulation 29 of Securities and Exchange Board of India (Lis...
17,15-05-2017,Board Meeting,In terms of Regulation 29 of Securities and Exchange Board of India (Lis...
18,30-03-2017,Board Meeting,"Pursuant to Regulation 29 of Listing Regulations, Notice is hereby given..."
19,14-02-2017,Board Meeting,Vedanta Ltd has informed BSE that the meeting of the Board of Directors ...
20,28-10-2016,Board Meeting,Vedanta Ltd has informed BSE that a meeting of the Board of Directors of...
21,29-07-2016,Board Meeting,Vedanta Ltd has informed BSE that a meeting of the Board of Directors of...
22,28-04-2016,Board Meeting,Audited ResultsVedanta Ltd has informed BSE that a meeting of the Board ...
23,28-01-2016,Board Meeting,Quarterly ResultsVedanta Ltd has informed BSE that a meeting of the Boar...
24,27-10-2015,Board Meeting,Quarterly ResultsVedanta Ltd has informed BSE that a meeting of the Boar...
25,29-07-2015,Board Meeting,Vedanta Ltd has informed BSE that a meeting of the Board of Directors of...
26,29-04-2015,Board Meeting,Sesa Sterlite Ltd has informed BSE that a meeting of the Board of Direct...
27,29-01-2015,Board Meeting,Sesa Sterlite Ltd has informed BSE that a meeting of the Board of Direct...
28,29-10-2014,Board Meeting,Sesa Sterlite Ltd has informed BSE that a meeting of the Board of Direct...
29,05-09-2014,Board Meeting,To consider enabling approval for - Raising of funds  through issue of S...
30,29-07-2014,Board Meeting,Sesa Sterlite Ltd has informed BSE that a meeting of the Board of Direct...
31,29-04-2014,Board Meeting,Sesa Sterlite Ltd has informed BSE that a meeting of the Board of Direct...
32,28-01-2014,Board Meeting,Sesa Sterlite Ltd has informed BSE that a meeting of the Board of Direct...
33,31-10-2013,Board Meeting,Sesa Sterlite Ltd has informed BSE that a meeting of the Board of Direct...
34,29-07-2013,Board Meeting,Sesa Goa Ltd has informed BSE that a meeting of the Board of Directors o...
35,27-04-2013,Board Meeting,Sesa Goa Ltd has informed BSE that a meeting of the Board of Directors o...
36,24-01-2013,Board Meeting,Sesa Goa Ltd has informed BSE that a meeting of the Board of Directors o...
