,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,07-02-2020,Board Meeting,WALCHANDNAGAR INDUSTRIES LTD.has informed BSE that the meeting of the Bo...
2,12-11-2019,Board Meeting,Quarterly Results
3,06-08-2019,Board Meeting,WALCHANDNAGAR INDUSTRIES LTD.has informed BSE that the meeting of the Bo...
4,16-05-2019,Board Meeting,WALCHANDNAGAR INDUSTRIES LTD.has informed BSE that the meeting of the Bo...
5,06-02-2019,Board Meeting,WALCHANDNAGAR INDUSTRIES LTD.has informed BSE that the meeting of the Bo...
6,13-11-2018,Board Meeting,WALCHANDNAGAR INDUSTRIES LTD.has informed BSE that the meeting of the Bo...
7,14-08-2018,Board Meeting,Unaudited Financial Results
8,28-05-2018,Board Meeting,Audited Results
9,13-02-2018,Board Meeting,Quarterly Results
10,28-11-2017,Board Meeting,Quarterly Results
11,13-09-2017,Board Meeting,Quarterly Results
12,26-05-2017,Board Meeting,In terms of Regulation 29 read with Regulation 47 of SEBI (Listing Oblig...
13,30-01-2017,Board Meeting,Walchandnagar Industries Ltd has informed BSE that a meeting of the Boar...
14,12-11-2016,Board Meeting,Walchandnagar Industries Ltd has informed BSE that a meeting of the Boar...
15,12-08-2016,Board Meeting,Walchandnagar Industries Ltd has informed BSE that a meeting of the Boar...
16,24-05-2016,Board Meeting,Walchandnagar Industries Ltd has informed BSE that the Meeting of Board ...
17,09-02-2016,Board Meeting,Walchandnagar Industries Ltd has informed BSE that a meeting of the Boar...
18,09-11-2015,Board Meeting,Walchandnagar Industries Ltd has informed BSE that a meeting of the Boar...
19,14-08-2015,Board Meeting,Walchandnagar Industries Ltd has informed BSE that a meeting of the Boar...
20,30-04-2015,Board Meeting,Walchandnagar Industries Ltd has informed BSE that a meeting of the Boar...
21,13-02-2015,Board Meeting,Walchandnagar Industries Ltd has informed BSE that a meeting of the Boar...
22,29-11-2014,Board Meeting,Walchandnagar Industries Ltd has informed BSE that a meeting of the Boar...
23,11-08-2014,Board Meeting,Quarterly Results
24,30-04-2014,Board Meeting,Quarterly Results
25,28-01-2014,Board Meeting,Quarterly Results
26,27-11-2013,Board Meeting,Walchandnagar Industries Ltd has informed BSE that a meeting of the Boar...
27,13-08-2013,Board Meeting,Quarterly Results
28,13-05-2013,Board Meeting,Audited Results
29,13-02-2013,Board Meeting,Quarterly Results
