,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,13-05-2020,Board Meeting,ABB India Limitedhas informed BSE that the meeting of the Board of Direc...
2,12-02-2020,Board Meeting,ABB India Limitedhas informed BSE that the meeting of the Board of Direc...
3,13-11-2019,Board Meeting,ABB India Limitedhas informed BSE that the meeting of the Board of Direc...
4,26-07-2019,Board Meeting,ABB India Limitedhas informed BSE that the meeting of the Board of Direc...
5,07-05-2019,Board Meeting,ABB India Limitedhas informed BSE that the meeting of the Board of Direc...
6,01-03-2019,Board Meeting,ABB India Limitedhas informed BSE that the meeting of the Board of Direc...
7,30-10-2018,Board Meeting,ABB INDIA LIMITEDhas informed BSE that the meeting of the Board of Direc...
8,19-07-2018,Board Meeting,"Quarterly ResultsBoard Meeting on July 19, 2018 - Unaudited results Q2 2..."
9,08-05-2018,Board Meeting,"Quarterly ResultsBoard Meeting on May 8, 2018Closure of Trading Window i..."
10,08-02-2018,Board Meeting,ABB India Ltd has informed BSE that a meeting of Board of Directors of t...
11,24-10-2017,Board Meeting,Closure of Trading Window
12,20-07-2017,Board Meeting,To consider Unaudited Financial Results for Q2 2017The trading window fo...
13,08-05-2017,Board Meeting,"Intimation of Board meeting, where unaudited financial results for quart..."
14,09-02-2017,Board Meeting,ABB India Ltd has informed BSE that a meeting of Board of Directors of t...
15,27-10-2016,Board Meeting,ABB India Ltd has informed BSE that a meeting of the Board of Directors ...
16,21-07-2016,Board Meeting,ABB India Ltd has informed BSE that a meeting of the Board of Directors ...
17,25-04-2016,Board Meeting,ABB India Ltd has informed BSE that a meeting of the Board of Directors ...
18,04-02-2016,Board Meeting,Audited Results & Dividend
19,03-11-2015,Board Meeting,ABB India Ltd has informed BSE that a meeting of the Board of Directors ...
20,24-07-2015,Board Meeting,Quarterly Results
21,05-05-2015,Board Meeting,ABB India Ltd has informed BSE that a meeting of the Board of Directors ...
22,10-02-2015,Board Meeting,ABB India Ltd has informed BSE that a meeting of the Board of Directors ...
23,28-10-2014,Board Meeting,ABB India Ltd has informed BSE that a meeting of the Board of Directors ...
24,23-07-2014,Board Meeting,ABB India Ltd has informed BSE that a meeting of the Board of Directors ...
25,04-05-2014,Board Meeting,ABB India Ltd has informed BSE that a meeting of the Board of Directors ...
26,18-02-2014,Board Meeting,ABB India Ltd has informed BSE that a meeting of Board of Directors of t...
27,06-11-2013,Board Meeting,ABB India Ltd has informed BSE that a meeting of the Board of Directors ...
28,09-08-2013,Board Meeting,ABB India Ltd has informed BSE that a meeting of the Board of Directors ...
29,08-05-2013,Board Meeting,ABB Ltd has informed BSE that a meeting of the Board of Directors of the...
30,21-02-2013,Board Meeting,ABB Ltd has informed BSE that a meeting of the Board of Directors of the...
