,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,09-03-2020,Board Meeting,AMARA RAJA BATTERIES LTD.has informed BSE that the meeting of the Board ...
2,01-02-2020,Board Meeting,AMARA RAJA BATTERIES LTD.has informed BSE that the meeting of the Board ...
3,09-11-2019,Board Meeting,AMARA RAJA BATTERIES LTD.has informed BSE that the meeting of the Board ...
4,20-07-2019,Board Meeting,AMARA RAJA BATTERIES LTD.has informed BSE that the meeting of the Board ...
5,15-05-2019,Board Meeting,AMARA RAJA BATTERIES LTD.has informed BSE that the meeting of the Board ...
6,11-02-2019,Board Meeting,AMARA RAJA BATTERIES LTD.has informed BSE that the meeting of the Board ...
7,09-11-2018,Board Meeting,AMARA RAJA BATTERIES LTD.has informed BSE that the meeting of the Board ...
8,11-08-2018,Board Meeting,To consider and approve the unaudited financial results for the quarter ...
9,18-05-2018,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
10,10-02-2018,Board Meeting,Quarterly Results
11,09-11-2017,Board Meeting,Amara Raja Batteries Limited has informed the Exchange that a meeting of...
12,07-08-2017,Board Meeting,Amara Raja Batteries Limited has informed the Exchange that a meeting of...
13,24-05-2017,Board Meeting,Amara Raja Batteries Limited has informed the Exchange that a meeting of...
14,22-01-2017,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
15,21-01-2017,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
16,05-11-2016,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
17,06-08-2016,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
18,24-05-2016,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
19,19-03-2016,Board Meeting,Interim DividendAmara Raja Batteries Ltd has informed BSE that a meeting...
20,02-02-2016,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
21,28-10-2015,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
22,14-08-2015,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
23,28-05-2015,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
24,27-01-2015,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
25,11-11-2014,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
26,06-08-2014,Board Meeting,Quarterly Results
27,28-05-2014,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
28,23-01-2014,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
29,14-11-2013,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
30,14-08-2013,Board Meeting,Amara Raja Batteries Ltd has informed BSE that a meeting of the Board of...
31,13-05-2013,Board Meeting,Audited Results & DividendAmara Raja Batteries Ltd has informed BSE that...
32,28-01-2013,Board Meeting,Quarterly Results
