,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,10-02-2020,Board Meeting,BOMBAY DYEING & MFG.CO.LTD.has informed BSE that the meeting of the Boar...
2,11-11-2019,Board Meeting,BOMBAY DYEING & MFG.CO.LTD.has informed BSE that the meeting of the Boar...
3,05-08-2019,Board Meeting,BOMBAY DYEING & MFG.CO.LTD.has informed BSE that the meeting of the Boar...
4,02-05-2019,Board Meeting,BOMBAY DYEING & MFG.CO.LTD.has informed BSE that the meeting of the Boar...
5,05-02-2019,Board Meeting,BOMBAY DYEING & MFG.CO.LTD.has informed BSE that the meeting of the Boar...
6,13-11-2018,Board Meeting,BOMBAY DYEING has informed BSE that the meeting of the Board of Director...
7,07-08-2018,Board Meeting,Quarterly ResultsPursuant to the provisions of Regulation 29 of the Secu...
8,14-05-2018,Board Meeting,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that a Meetin...
9,08-02-2018,Board Meeting,Quarterly ResultsPursuant to the provisions of Regulation 29 of the Secu...
10,08-11-2017,Board Meeting,Pursuant to the provisions of Regulation 29 of the Securities and Exchan...
11,10-08-2017,Board Meeting,Quarterly ResultsPursuant to the provisions of Regulation 29 of the Secu...
12,28-06-2017,Board Meeting,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that a meetin...
13,09-02-2017,Board Meeting,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that a Meetin...
14,08-11-2016,Board Meeting,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that a Meetin...
15,10-08-2016,Board Meeting,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that a Meetin...
16,27-05-2016,Board Meeting,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that a meetin...
17,08-02-2016,Board Meeting,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that a Meetin...
18,03-11-2015,Board Meeting,Quarterly Results
19,06-08-2015,Board Meeting,Quarterly Results
20,25-05-2015,Board Meeting,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that a meetin...
21,04-02-2015,Board Meeting,Quarterly Results
22,13-11-2014,Board Meeting,Quarterly Results
23,07-08-2014,Board Meeting,Quarterly Results
24,27-05-2014,Board Meeting,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that a meetin...
25,13-02-2014,Board Meeting,Quarterly Results
26,14-11-2013,Board Meeting,Quarterly Results
27,06-08-2013,Board Meeting,Quarterly Results
28,28-05-2013,Board Meeting,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that a meetin...
29,07-02-2013,Board Meeting,Quarterly Results
