,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,20-04-2020,Board Meeting,INFOSYS LTD.has informed BSE that the meeting of the Board of Directors ...
2,10-01-2020,Board Meeting,INFOSYS LTD.has informed BSE that the meeting of the Board of Directors ...
3,11-10-2019,Board Meeting,INFOSYS LTD.has informed BSE that the meeting of the Board of Directors ...
4,12-07-2019,Board Meeting,INFOSYS LTD.has informed BSE that the meeting of the Board of Directors ...
5,12-04-2019,Board Meeting,INFOSYS LTD.has informed BSE that the meeting of the Board of Directors ...
6,11-01-2019,Board Meeting,INFOSYS LTD.has informed BSE that the meeting of the Board of Directors ...
7,16-10-2018,Board Meeting,INFOSYS LTD.has informed BSE that the meeting of the Board of Directors ...
8,13-07-2018,Board Meeting,Quarterly Results;Audited Consolidated Fin.Results;Audited Standalone Fi...
9,13-04-2018,Board Meeting,Infosys Ltd has informed BSE that a meeting of the Board of Directors of...
10,12-01-2018,Board Meeting,As Attached
11,24-10-2017,Board Meeting,Infosys Ltd has informed BSE that a meeting of the Board of Directors of...
12,19-08-2017,Board Meeting,Intimation of Board Meeting to consider proposal for buyback of equity s...
13,14-07-2017,Board Meeting,This is to inform you that a meeting of the Board of Directors of the Co...
14,13-04-2017,Board Meeting,Meeting of the Board of Directors of the Company will be held at the Reg...
15,13-01-2017,Board Meeting,Quarterly Results
16,14-10-2016,Board Meeting,Infosys Ltd has informed BSE that a meeting of the Board of Directors of...
17,15-07-2016,Board Meeting,Infosys Ltd has informed BSE that a meeting of the Board of Directors of...
18,15-04-2016,Board Meeting,Infosys Ltd has informed BSE that a meeting of the Board of Directors of...
19,14-01-2016,Board Meeting,Infosys Ltd has informed BSE that a meeting of the Board of Directors of...
20,12-10-2015,Board Meeting,Quarterly Results & Interim DividendInfosys Ltd has informed BSE that a ...
21,21-07-2015,Board Meeting,Quarterly ResultsInfosys Ltd has informed BSE that a meeting of the Boar...
22,24-04-2015,Board Meeting,Final Dividend & Audited Results
23,09-01-2015,Board Meeting,Infosys Ltd has informed BSE that a meeting of the Board of Directors of...
24,10-10-2014,Board Meeting,Interim Dividend & Quarterly ResultsInfosys Ltd has informed BSE that a ...
25,11-07-2014,Board Meeting,Quarterly Results
26,15-04-2014,Board Meeting,Infosys Ltd has informed BSE that a meeting of the Board of Directors of...
27,10-01-2014,Board Meeting,Infosys Ltd has informed BSE that a Meeting of the Board of Directors or...
28,11-10-2013,Board Meeting,Infosys Ltd has informed BSE that a meeting of the Board of Directors of...
29,12-07-2013,Board Meeting,Infosys Ltd has informed BSE that a meeting of the Board of Directors of...
30,12-04-2013,Board Meeting,Infosys Ltd has informed BSE that a meeting of the Board of Directors of...
31,11-01-2013,Board Meeting,Infosys Ltd has informed BSE that a meeting of the Board of Directors of...
