,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,24-01-2020,Board Meeting,JSW STEEL LTD.has informed BSE that the meeting of the Board of Director...
2,23-10-2019,Board Meeting,JSW STEEL LTD.has informed BSE that the meeting of the Board of Director...
3,24-09-2019,Board Meeting,JSW STEEL LTD.has informed BSE that the meeting of the Board of Director...
4,26-07-2019,Board Meeting,JSW STEEL LTD.has informed BSE that the meeting of the Board of Director...
5,24-05-2019,Board Meeting,JSW STEEL LTD.has informed BSE that the meeting of the Board of Director...
6,06-02-2019,Board Meeting,JSW STEEL LTD.has informed BSE that the meeting of the Board of Director...
7,25-10-2018,Board Meeting,JSW STEEL LTD.has informed BSE that the meeting of the Board of Director...
8,25-07-2018,Board Meeting,Notice of Board Meeting.
9,16-05-2018,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
10,31-01-2018,Board Meeting,To consider inter alia the Un-audited Standalone & Consolidated Financia...
11,31-10-2017,Board Meeting,Quarterly Results
12,01-08-2017,Board Meeting,Board Meeting Notice in compliance with the provisions of Regulation 29 ...
13,29-06-2017,Board Meeting,Enabling the Company to raise additional long term resources
14,17-05-2017,Board Meeting,Board Meeting Notice and Trading Window closure
15,31-01-2017,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
16,27-10-2016,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
17,27-07-2016,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
18,18-05-2016,Board Meeting,Dividend & Audited ResultsJSW Steel Ltd has informed BSE that a meeting ...
19,29-01-2016,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
20,21-10-2015,Board Meeting,Quarterly Results
21,29-07-2015,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
22,15-05-2015,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
23,30-01-2015,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
24,21-10-2014,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
25,01-08-2014,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
26,27-05-2014,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
27,28-01-2014,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
28,29-10-2013,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
29,31-07-2013,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
30,23-05-2013,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Board of Directors ...
31,13-02-2013,Board Meeting,JSW Steel Ltd has informed BSE that a meeting of the Committee of the Bo...
32,28-01-2013,Board Meeting,Quarterly ResultsJSW Steel Ltd has informed BSE that a meeting of the Bo...
