,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,16-04-2020,Board Meeting,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
2,28-02-2020,Board Meeting,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
3,10-02-2020,Board Meeting,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
4,11-11-2019,Board Meeting,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
5,12-08-2019,Board Meeting,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
6,27-05-2019,Board Meeting,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
7,11-02-2019,Board Meeting,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
8,14-11-2018,Board Meeting,MOTHERSON SUMI SYSTEMS LTD.has informed BSE that the meeting of the Boar...
9,07-08-2018,Board Meeting,A meeting of the Board of Directors of the Company is scheduled to be he...
10,23-05-2018,Board Meeting,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
11,13-02-2018,Board Meeting,Quarterly Results
12,10-11-2017,Board Meeting,Motherson Sumi Systems Limited informed that a meeting of the Board of D...
13,12-08-2017,Board Meeting,Motherson Sumi Systems Limited (Company)inform that in view of the forth...
14,10-08-2017,Board Meeting,Quarterly Results
15,19-05-2017,Board Meeting,Meeting of the Board of Directors of the Company scheduled to be held on...
16,13-02-2017,Board Meeting,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
17,10-11-2016,Board Meeting,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
18,10-08-2016,Board Meeting,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
19,17-05-2016,Board Meeting,Audited ResultsMotherson Sumi Systems Ltd has informed BSE that a meetin...
20,16-03-2016,Board Meeting,Interim DividendMotherson Sumi Systems Ltd has informed BSE that a meeti...
21,09-02-2016,Board Meeting,Quarterly ResultsMotherson Sumi Systems Ltd has informed BSE that a meet...
22,06-11-2015,Board Meeting,Quarterly ResultsMotherson Sumi Systems Ltd has informed BSE that a meet...
23,06-08-2015,Board Meeting,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
24,12-05-2015,Board Meeting,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
25,10-02-2015,Board Meeting,Quarterly Results
26,10-11-2014,Board Meeting,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
27,12-08-2014,Board Meeting,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
28,22-05-2014,Board Meeting,Dividend &  Audited Results
29,31-01-2014,Board Meeting,Quarterly ResultsMotherson Sumi Systems Ltd has informed BSE that a meet...
30,01-11-2013,Board Meeting,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
31,31-07-2013,Board Meeting,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
32,17-05-2013,Board Meeting,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
33,12-02-2013,Board Meeting,Motherson Sumi Systems Ltd has informed BSE that a meeting of the Board ...
