,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,27-03-2020,Board Meeting,STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Dir...
2,31-01-2020,Board Meeting,STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Dir...
3,25-10-2019,Board Meeting,STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Dir...
4,02-08-2019,Board Meeting,STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Dir...
5,10-05-2019,Board Meeting,State Bank of India has informed BSE that a meeting of the Central Board...
6,22-03-2019,Board Meeting,STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Dir...
7,01-02-2019,Board Meeting,STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Dir...
8,31-01-2019,Board Meeting,STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Dir...
9,05-11-2018,Board Meeting,STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Dir...
10,22-10-2018,Board Meeting,STATE BANK OF INDIAhas informed BSE that the meeting of the Board of Dir...
11,10-08-2018,Board Meeting,Quarterly Results
12,22-05-2018,Board Meeting,State Bank of India has informed BSE that a meeting of the Central Board...
13,09-02-2018,Board Meeting,Quarterly ResultsBoard Meeting for approval of unaudited quarterly/nine ...
14,08-01-2018,Board Meeting,Fund raising in single/multiple tranches up to US$ 2.0 Billion (US$ Two ...
15,27-12-2017,Board Meeting,SEBI (LODR )Regulations 2015: Regulation 29: Prior Intimation
16,10-11-2017,Board Meeting,Quarterly ResultsSEBI (LODR) Regulations 2015: Regulation 29: Prior inti...
17,11-08-2017,Board Meeting,"Disclosure under Regulation 29 of SEBI (LODR) Regulations, 2015"
18,19-05-2017,Board Meeting,State Bank of India has informed BSE that a meeting of the Central Board...
19,24-03-2017,Board Meeting,Board Meeting Schedule To Be Held On 24.03.2017Disclosure under Regulati...
20,15-03-2017,Board Meeting,"Board Meeting Is Scheduled To Be Held On Wednesday, 15Th March, 2017To d..."
21,10-02-2017,Board Meeting,State Bank of India has informed BSE that a meeting of the Central Board...
22,11-11-2016,Board Meeting,State Bank of India has informed BSE that a meeting of the Central Board...
23,29-10-2016,Board Meeting,State Bank of India has informed BSE that a meeting of the Central Board...
24,12-08-2016,Board Meeting,State Bank of India has informed BSE that a meeting of the Central Board...
25,27-05-2016,Board Meeting,Audited Results & Dividend
26,11-02-2016,Board Meeting,Quarterly ResultsState Bank of India has informed BSE that a meeting of ...
27,15-01-2016,Board Meeting,"With reference to in Continuation with Bank letter dated February 26, 20..."
28,06-11-2015,Board Meeting,Quarterly ResultsState Bank of India has informed BSE that a Meeting of ...
29,11-08-2015,Board Meeting,Quarterly ResultsState Bank of India has informed BSE that a Meeting of ...
30,22-05-2015,Board Meeting,State Bank of India has informed BSE that a meeting of the Board of Dire...
31,13-02-2015,Board Meeting,State Bank of India has informed BSE that a Meeting of the Bank's Centra...
32,14-11-2014,Board Meeting,State Bank of India has informed BSE that a meeting of the Central Board...
33,08-08-2014,Board Meeting,State Bank of India has informed BSE that a Meeting of the Bank's Centra...
34,23-05-2014,Board Meeting,Dividend & Audited Results
35,03-03-2014,Board Meeting,State Bank of India has informed BSE that a meeting of the Board of Dire...
36,14-02-2014,Board Meeting,Quarterly ResultsState Bank of India has informed BSE that a meeting of ...
37,13-11-2013,Board Meeting,State Bank of India has informed BSE that a meeting of the Central Board...
38,12-08-2013,Board Meeting,State Bank of India has informed BSE that a Meeting of the Bank's Centra...
39,23-05-2013,Board Meeting,State Bank of India has informed BSE that a meeting of the Bank's Centra...
40,14-02-2013,Board Meeting,State Bank of India has informed BSE that a meeting of the Central Board...
