,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,15-04-2020,Board Meeting,WIPRO LTD.has informed BSE that the meeting of the Board of Directors of...
2,14-01-2020,Board Meeting,WIPRO LTD.has informed BSE that the meeting of the Board of Directors of...
3,15-10-2019,Board Meeting,WIPRO LTD.has informed BSE that the meeting of the Board of Directors of...
4,17-07-2019,Board Meeting,WIPRO LTD.has informed BSE that the meeting of the Board of Directors of...
5,16-04-2019,Board Meeting,Wipro Ltd has informed BSE that the next meeting of the Board of Directo...
6,18-01-2019,Board Meeting,Wipro Ltd has informed BSE that the meeting of the Board of Directors wi...
7,24-10-2018,Board Meeting,WIPRO LTD.has informed BSE that the meeting of the Board of Directors of...
8,20-07-2018,Board Meeting,Quarterly Results;Condensed Audited Standalone & Consolidated Financial ...
9,25-04-2018,Board Meeting,Wipro Ltd has informed BSE that the meeting of the Board of Directors wi...
10,19-01-2018,Board Meeting,Quarterly ResultsPursuant to Regulation 29(1) of the SEBI (Listing Oblig...
11,17-10-2017,Board Meeting,Quarterly Results
12,20-07-2017,Board Meeting,Pursuant to Regulation 29(1) of the SEBI (Listing Obligations and Disclo...
13,25-04-2017,Board Meeting,1. Pursuant to Regulation 29(1) of the SEBI (Listing Obligations and Dis...
14,25-01-2017,Board Meeting,Quarterly Results & Interim DividendWipro Ltd has informed BSE that the ...
15,21-10-2016,Board Meeting,Wipro Ltd has informed BSE that the next meeting of the Board of Directo...
16,19-07-2016,Board Meeting,Wipro Ltd has informed BSE that the next meeting of the Board of Directo...
17,20-04-2016,Board Meeting,Wipro Ltd has informed BSE that a meeting of the Board of Directors of t...
18,18-01-2016,Board Meeting,Wipro Ltd has informed BSE that a meeting of the Board of Directors of t...
19,16-01-2016,Board Meeting,Wipro Ltd has informed BSE that a meeting of the Board of Directors of t...
20,21-10-2015,Board Meeting,Quarterly Results The next  meeting of the Company's Board of Directors ...
21,23-07-2015,Board Meeting,"Quarterly Results Board Meeting on 22nd -23rd July, 2015 for Audited qua..."
22,21-04-2015,Board Meeting,Final Dividend & Audited ResultsWipro Ltd has informed BSE that a meetin...
23,16-01-2015,Board Meeting,Wipro Ltd has informed BSE that the next meeting of the Board of Directo...
24,22-10-2014,Board Meeting,Quarterly Results
25,24-07-2014,Board Meeting,Quarterly Results
26,17-04-2014,Board Meeting,Wipro Ltd has informed BSE that the next meeting of the Board of Directo...
27,16-04-2014,Board Meeting,Wipro Ltd has informed BSE that the next meeting of the Board of Directo...
28,17-01-2014,Board Meeting,Wipro Ltd has informed BSE that the next meeting of Board of Directors o...
29,22-10-2013,Board Meeting,Wipro Ltd has informed BSE that the next meeting of Board of Directors o...
30,26-07-2013,Board Meeting,Wipro Ltd has informed BSE that the meeting of the Board of Directors of...
31,19-04-2013,Board Meeting,Wipro Ltd has informed BSE that the next meeting of the Board of Directo...
32,18-01-2013,Board Meeting,Wipro Ltd has informed BSE that a meeting of the Board of Directors of t...
