,Announcement_Date,PURPOSE,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,REMARKS
1,14-02-2019,Board Meeting,ZYLOG SYSTEMS LTD.has informed BSE that the meeting of the Board of Dire...
2,31-10-2018,Board Meeting,ZYLOG SYSTEMS LTD.has informed BSE that the meeting of the Board of Dire...
3,13-08-2018,Board Meeting,ZYLOG SYSTEMS LTD.has informed BSE that the meeting of the Board of Dire...
4,09-06-2018,Board Meeting,Audited ResultsAudited Results (Revised)(As per BSE Bulletin dated on 31...
5,30-05-2018,Board Meeting,Audited Results
6,07-02-2018,Board Meeting,Quarterly ResultsThis is to inform you that a meeting of the Board of Di...
7,14-11-2017,Board Meeting,Intimation of the Meeting of the Board of Directors of ZSL to be held on...
8,11-08-2017,Board Meeting,To approve the Unaudited Standalone & Consolidated Financial for the Qua...
9,18-05-2017,Board Meeting,the Board Meeting of the Board of Directors of the Company will be held ...
10,10-02-2017,Board Meeting,Zylog Systems Ltd has informed BSE that the Meeting of the Board of Dire...
11,14-11-2016,Board Meeting,Zylog Systems Ltd has informed BSE that the Board Meeting of the Board o...
12,20-10-2016,Board Meeting,Zylog Systems Ltd has informed BSE that the Board Meeting of the Board o...
13,12-08-2016,Board Meeting,Zylog Systems Ltd has informed BSE that the Meeting of the Board of Dire...
14,30-06-2016,Board Meeting,Zylog Systems Ltd has informed BSE that a meeting of the Board of Direct...
15,13-02-2016,Board Meeting,Quarterly Results
16,16-12-2015,Board Meeting,Quarterly ResultsZylog Systems Ltd has informed BSE that the Board of Di...
17,07-12-2015,Board Meeting,Quarterly Results
18,14-08-2015,Board Meeting,Zylog Systems Ltd has informed BSE that a meeting of the Board of Direct...
19,17-04-2015,Board Meeting,Zylog Systems Ltd has informed BSE that a meeting of the Board of Direct...
20,15-04-2015,Board Meeting,Zylog Systems Ltd has informed BSE that a meeting of the Board of Direct...
21,14-08-2013,Board Meeting,Quarterly Results
22,12-02-2013,Board Meeting,Quarterly Results
