,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,12-07-2019,Book Closure,01-08-2019,08-08-2019,A.G.M.
2,12-07-2018,Book Closure,30-07-2018,06-08-2018,Annual General Meeting
3,17-07-2017,Book Closure,03-08-2017,10-08-2017,A.G.M.
4,18-07-2016,Book Closure,02-08-2016,09-08-2016,A.G.M.
5,21-07-2015,Book Closure,04-08-2015,11-08-2015,A.G.M.
6,16-07-2014,Book Closure,02-08-2014,09-08-2014,A.G.M.
7,11-07-2013,Book Closure,01-08-2013,08-08-2013,A.G.M.
8,13-07-2012,Book Closure,04-08-2012,09-08-2012,A.G.M.
9,20-07-2011,Book Closure,05-08-2011,10-08-2011,A.G.M.
10,22-07-2010,Book Closure,16-08-2010,21-08-2010,A.G.M.
