,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,19-02-2020,Book Closure,04-03-2020,,Second Interim Dividend
2,22-10-2019,Book Closure,31-10-2019,,Rs.3.3500 per share(335%)Interim Dividend
3,09-05-2019,Book Closure,15-06-2019,27-06-2019,Rs.7.6500 per share(765%)Final Dividend& A.G.M.
4,10-05-2018,Book Closure,16-06-2018,26-06-2018,AGM & Rs.6.0500 per shares (605%)Final Dividend Sc-Code: 600820
5,29-09-2017,Book Closure,01-11-2017,,265% Interim Dividend Sc-600820
6,12-05-2017,Book Closure,17-06-2017,27-06-2017,Rs.2.0000 per share(200%)Special Dividend
7,25-10-2016,Book Closure,02-11-2016,,Rs.2.6500 per share(265%)Interim Dividend (Revised)
8,05-10-2016,Book Closure,02-11-2016,,Interim Dividend (Revised)
9,04-10-2016,Book Closure,01-11-2016,,Interim Dividend
10,23-10-2015,Book Closure,29-10-2015,,Rs.2.2000 per share(220%)Interim Dividend
11,01-10-2015,Book Closure,29-10-2015,,Interim Dividend
12,18-05-2015,Book Closure,26-06-2015,03-07-2015,Rs.4.3000 per share(430%)Final Dividend
13,17-09-2014,Book Closure,23-09-2014,,Rs.1.8000 per share(180%)Interim Dividend
14,28-08-2014,Book Closure,23-09-2014,,Interim Dividend
15,15-05-2014,Book Closure,18-06-2014,26-06-2014,Rs.4.2000 per share(420%)Final Dividend
16,14-05-2014,Book Closure,18-06-2014,26-06-2014,Rs.4.2000 per share(420%)Final Dividend &  A.G.M.
17,21-10-2013,Book Closure,26-10-2013,,Rs.1.1000 per share(110%)Interim Dividend
18,30-09-2013,Book Closure,26-10-2013,,Interim Dividend
19,26-06-2013,Book Closure,31-07-2013,,Stock Split from Rs.10/- to Re.l/-
20,09-05-2013,Book Closure,08-06-2013,24-06-2013,Rs.36.5000 per share(365%)Final Dividend
21,25-10-2012,Book Closure,30-10-2012,,Rs.9.5000 per share(95%)Interim Dividend
22,04-10-2012,Book Closure,30-10-2012,,Interim Dividend
23,08-05-2012,Book Closure,09-06-2012,25-06-2012,Rs.30.50 per share(305%)Final Dividend & A.G.M.
24,21-10-2011,Book Closure,28-10-2011,,Rs.9.50 per share(95%)Interim Dividend
25,03-10-2011,Book Closure,28-10-2011,,Interim Dividend
26,10-05-2011,Book Closure,11-06-2011,24-06-2011,Rs.23.50 per share(235%)Final Dividend & A.G.M.
27,27-10-2010,Book Closure,01-11-2010,,Rs.8.50 per share(85%)Interim Dividend
28,12-10-2010,Book Closure,01-11-2010,,Interim Dividend
29,28-05-2010,Book Closure,03-07-2010,16-07-2010,A.G.M. & Rs.18.50 per share(185%)Final Dividend
30,23-10-2009,Book Closure,27-10-2009,,Rs.8.50 per share(85%)Interim Dividend
31,30-09-2009,Book Closure,27-10-2009,,Interim Dividend
32,12-05-2009,Book Closure,19-06-2009,26-06-2009,110% Final Dividend & A.G.M.
