,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,15-05-2020,Book Closure,01-06-2020,,Rs.9.5000 per share(190%)Final Dividend
2,11-10-2019,Book Closure,24-10-2019,23-10-2019,"The Board, at their meeting held on October 10-11, 2019, transacted the following items of b..."
3,12-04-2019,Book Closure,15-06-2019,15-06-2019,Rs.10.5000 per share(210%)Final Dividend& A.G.M.
4,11-01-2019,Book Closure,25-01-2019,,Rs.4.0000 per share(80%)Special Dividend
5,16-10-2018,Book Closure,27-10-2018,,"Infosys Ltd has informed BSE that the Company has fixed October 27, 2018 as the Record Date ..."
6,24-08-2018,Book Closure,05-09-2018,,Bonus issue
7,09-10-2017,Book Closure,01-11-2017,,In terms of Regulations 30 and 42 of the SEBI (Listing Obligations and Disclosure Requiremen...
8,13-04-2017,Book Closure,03-06-2017,03-06-2017,Rs.14.7500 per share(295%)Final Dividend
9,14-10-2016,Book Closure,24-10-2016,,Rs.11.0000 per share(220%)Interim Dividend
10,16-09-2016,Book Closure,24-10-2016,,Interim Dividend
11,18-04-2016,Book Closure,11-06-2016,11-06-2016,Rs.14.2500 per share(285%)Final Dividend
12,12-10-2015,Book Closure,19-10-2015,,Rs.10.0000 per share(200%)Interim Dividend
13,15-09-2015,Book Closure,19-10-2015,,Interim Dividend
14,04-06-2015,Book Closure,17-06-2015,17-06-2015,Rs.29.5000 per share(590%)Final Dividend (Revised)
15,24-04-2015,Book Closure,17-06-2015,17-06-2015,Rs.29.5000 per share(590%)Final Dividend
16,21-11-2014,Book Closure,03-12-2014,,Bonus issue
17,10-10-2014,Book Closure,17-10-2014,,Rs.30.0000 per share(600%)Interim Dividend
18,28-08-2014,Book Closure,17-10-2014,,Interim Dividend
19,09-05-2014,Book Closure,31-05-2014,14-06-2014,Rs.43.0000 per share(860%)Final Dividend
20,15-04-2014,Book Closure,31-05-2014,14-06-2014,Rs.43.0000 per share(860%)Final Dividend
21,11-10-2013,Book Closure,18-10-2013,,Rs.20.0000 per share(400%)Interim Dividend
22,26-09-2013,Book Closure,18-10-2013,,Interim Dividend
23,12-04-2013,Book Closure,01-06-2013,17-06-2013,Rs.27.0000 per share(540%)Final Dividend
24,12-10-2012,Book Closure,19-10-2012,,Rs.15.0000 per share(300%)Interim Dividend
25,24-09-2012,Book Closure,19-10-2012,,Interim Dividend
26,13-04-2012,Book Closure,26-05-2012,09-06-2012,Rs.10.00 per share (200%) Special Dividend & Rs.22.00 per share(440%)Final Dividend & A.G.M.
27,12-10-2011,Book Closure,21-10-2011,,Rs.15.00 per share(300%)Interim Dividend
28,22-09-2011,Book Closure,21-10-2011,,Interim Dividend
29,15-04-2011,Book Closure,28-05-2011,11-06-2011,Rs.20.00 per share(400%)Final Dividend & A.G.M.
30,15-10-2010,Book Closure,22-10-2010,,Rs.30.00 per share(600%)Special Dividend & Rs.10.00 per share(200%)Interim Dividend
31,29-09-2010,Book Closure,22-10-2010,,Interim Dividend
32,13-04-2010,Book Closure,29-05-2010,12-06-2010,Rs.15.00 per share(300%)Dividend & A.G.M.
33,09-10-2009,Book Closure,16-10-2009,,Rs.10.00 per share(200%)Interim Dividend
34,22-09-2009,Book Closure,16-10-2009,,Interim Dividend
35,15-04-2009,Book Closure,06-06-2009,20-06-2009,270% Final Dividend & A.G.M.
