,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,13-05-2019,Book Closure,24-05-2019,27-05-2019,Rs.5.7500 per share(575%)Dividend& A.G.M.
2,16-05-2018,Book Closure,29-05-2018,31-05-2018,Rs.5.1500 per shares (515%)Dividend & A.G.M. Sc-Code: 600875
3,30-05-2017,Book Closure,07-06-2017,09-06-2017,Rs.4.7500 per share(475%)Dividend & A.G.M.
4,24-05-2016,Book Closure,04-07-2016,,Bonus issue
5,20-05-2016,Book Closure,01-06-2016,03-06-2016,A.G.M. & Rs.8.5000 per share(850%)Dividend
6,22-05-2015,Book Closure,05-06-2015,09-06-2015,Rs.6.2500 per share(625%)Dividend & A.G.M.
7,23-05-2014,Book Closure,05-06-2014,09-06-2014,A.G.M. & Rs.6.0000 per share(600%)Dividend
8,17-05-2013,Book Closure,04-06-2013,07-06-2013,A.G.M.
9,25-05-2012,Book Closure,13-06-2012,18-06-2012,Rs.4.50 per share(450%)Dividend & A.G.M.
10,20-05-2011,Book Closure,14-06-2011,21-06-2011,Rs.1.65 per share(165%)Special A.G.M. & Dividend & A.G.M.
11,26-07-2010,Book Closure,04-08-2010,,Bonus issue
12,21-05-2010,Book Closure,11-06-2010,18-06-2010,A.G.M. & Rs.10.00 per share(1000%)Dividend
13,22-05-2009,Book Closure,15-07-2009,24-07-2009,A.G.M. & Rs.3.70 per share(370%)Dividend
