,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,13-03-2020,Book Closure,26-03-2020,,First Interim Dividend
2,28-06-2019,Book Closure,26-07-2019,01-08-2019,AGM & & Rs.18.0000 per share(900%)Dividend
3,03-10-2018,Book Closure,15-10-2018,,Buy Back of Shares
4,25-07-2018,Book Closure,17-08-2018,23-08-2018,Rs.16.0000 per shares (800%)Dividend & A.G.M.
5,21-07-2017,Book Closure,16-08-2017,22-08-2017,A.G.M. & Rs.14.0000 per share(700%)Dividend
6,01-06-2017,Book Closure,14-07-2017,,Bonus issue
7,28-07-2016,Book Closure,20-08-2016,26-08-2016,Rs.18.2500 per share(912.5%)Dividend & A.G.M.
8,05-08-2015,Book Closure,03-09-2015,09-09-2015,Rs.16.2500 per share(812.5%)Dividend & A.G.M.
9,23-07-2014,Book Closure,16-08-2014,22-08-2014,A.G.M. & Rs.14.2500 per share(712.5%)Dividend
10,08-07-2013,Book Closure,16-08-2013,22-08-2013,Rs.12.3300 per share(616.5%)Dividend
11,04-07-2013,Book Closure,13-07-2013,,Bonus issue
12,17-07-2012,Book Closure,17-08-2012,24-08-2012,A.G.M. & Rs.16.50 per share(825%)Dividend
13,16-07-2012,Book Closure,17-08-2012,24-08-2012,Rs.16.50 per share(825%)Dividend &  A.G.M.
14,18-07-2011,Book Closure,19-08-2011,26-08-2011,Rs.14.50 per share(725%)Dividend & A.G.M.
15,13-07-2010,Book Closure,19-08-2010,26-08-2010,Rs.12.50 per share(625%)Dividend & A.G.M.
16,22-07-2009,Book Closure,21-08-2009,28-08-2009,A.G.M. & Rs.10.50 per share(525%)Dividend
