,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,30-05-2016,Book Closure,20-07-2016,09-08-2016,A.G.M. & Rs.0.2000 per share(10%)Dividend
2,26-05-2015,Book Closure,24-07-2015,13-08-2015,A.G.M.
3,25-03-2015,Book Closure,08-04-2015,08-04-2015,Right Issue of Equity Shares
4,29-05-2014,Book Closure,11-07-2014,31-07-2014,Rs.2.0000 per share(100%)Dividend &  A.G.M.
5,06-06-2013,Book Closure,01-08-2013,21-08-2013,Rs.2.0000 per share(100%)Dividend
6,13-06-2012,Book Closure,20-07-2012,10-08-2012,Rs.4.00 per share(200%)Dividend
7,16-08-2011,Book Closure,13-09-2011,,Stock  Split  from Rs. 10/- to Rs. 2/-
8,27-05-2011,Book Closure,21-07-2011,12-08-2011,A.G.M.& Rs.20.00 per share(200%)Dividend
9,27-05-2010,Book Closure,12-08-2010,01-09-2010,Rs.15.00 per share(150%)Dividend & A.G.M.
10,29-05-2009,Book Closure,05-08-2009,25-08-2009,Rs.6.00 per share(60%)Dividend & A.G.M.
