,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,25-04-2019,Book Closure,06-07-2019,19-07-2019,AGM & 130% Dividend
2,16-05-2018,Book Closure,07-07-2018,20-07-2018,A.G.M. & Rs.10.0000 per shares (100%)Dividend Sc-Code: 600470
3,22-01-2018,Book Closure,01-02-2018,,Right Issue of Equity Shares Sc-Code: 600470
4,24-08-2017,Book Closure,18-09-2017,,Conv Deb Payment of Interest
5,23-08-2017,Book Closure,12-09-2017,,Conv Deb Payment of Interest
6,17-05-2017,Book Closure,22-07-2017,08-08-2017,Rs.10.0000 per share(100%)Dividend & A.G.M.
7,26-05-2016,Book Closure,30-07-2016,12-08-2016,Rs.8.0000 per share(80%)Dividend & A.G.M.
8,20-05-2015,Book Closure,25-07-2015,12-08-2015,Rs.8.0000 per share(80%)Dividend &  A.G.M.
9,15-05-2014,Book Closure,16-07-2014,22-07-2014,Rs.10.0000 per share(100%)Dividend & A.G.M.
10,14-05-2014,Book Closure,16-07-2014,22-07-2014,Rs.10.0000 per share(100%)Dividend &  A.G.M.
11,23-05-2013,Book Closure,17-07-2013,23-07-2013,A.G.M.
12,18-05-2012,Book Closure,18-07-2012,24-07-2012,A.G.M. & Rs.12.00 per share(120%)Dividend
13,26-05-2011,Book Closure,06-07-2011,12-07-2011,A.G.M. & Rs.12.00 per share(120%)Dividend
14,27-05-2010,Book Closure,14-07-2010,20-07-2010,A.G.M. & Rs.8.00 per share(80%)Dividend
15,26-06-2009,Book Closure,08-07-2009,14-07-2009,Rs.16.00 per share(160%)Dividend & A.G.M.
