,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,26-02-2020,Book Closure,07-03-2020,,"Vedanta Ltd has informed BSE that the Company has fixed March 07, 2020 as the Record Date fo..."
2,13-06-2019,Book Closure,06-07-2019,10-07-2019,Annual General Meeting
3,05-03-2019,Book Closure,14-03-2019,,Second Interim Dividend
4,31-10-2018,Book Closure,10-11-2018,,Rs.17.0000 per share(1700%)Interim Dividend
5,27-07-2018,Book Closure,20-08-2018,23-08-2018,Annual General Meeting
6,08-03-2018,Book Closure,21-03-2018,,First Interim Dividend Sc-Code: 600295
7,23-06-2017,Book Closure,10-07-2017,13-07-2017,A.G.M.
8,30-03-2017,Book Closure,12-04-2017,,Rs.17.7000 per share(1770%)Interim Dividend
9,28-10-2016,Book Closure,08-11-2016,,Rs.1.7500 per share(175%)Interim Dividend
10,25-10-2016,Book Closure,08-11-2016,,Interim Dividend
11,28-04-2016,Book Closure,25-06-2016,28-06-2016,A.G.M.
12,27-10-2015,Book Closure,02-11-2015,,Rs.3.5000 per share(350%)Interim Dividend
13,20-10-2015,Book Closure,02-11-2015,,Interim Dividend
14,05-05-2015,Book Closure,08-07-2015,10-07-2015,Rs.2.3500 per share(235%)Final Dividend
15,29-10-2014,Book Closure,05-11-2014,,Rs.1.7500 per share(175%)Interim Dividend
16,29-04-2014,Book Closure,08-07-2014,10-07-2014,Rs.1.7500 per share(175%)Final Dividend
17,31-10-2013,Book Closure,07-11-2013,,Rs.1.5000 per share(150%)Interim Dividend
18,28-10-2013,Book Closure,07-11-2013,,Interim Dividend
19,29-04-2013,Book Closure,04-06-2013,06-06-2013,Rs.0.1000 per share(10%)Dividend & A.G.M.
20,25-04-2012,Book Closure,12-06-2012,14-06-2012,Rs.2.00 per share(200%)Final Dividend
21,25-01-2012,Book Closure,02-02-2012,,Rs.2.00 per share(200%)Interim Dividend
22,20-01-2012,Book Closure,02-02-2012,,Interim Dividend
23,26-04-2011,Book Closure,05-07-2011,07-07-2011,A.G.M. & Rs.3.50 per share(350%)Dividend
24,20-04-2010,Book Closure,06-07-2010,08-07-2010,Rs.3.25 per share(325%)Dividend & A.G.M.
25,15-06-2009,Book Closure,04-08-2009,06-08-2009,A.G.M. & Rs.2.25 per share(225%)Dividend (Revised)
26,20-04-2009,Book Closure,08-07-2009,10-07-2009,225% Dividend & A.G.M.
