,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,14-01-2020,Book Closure,27-01-2020,,Rs.1.0000 per share(50%)InterimDividendThe Board of Directors of Wipro Limited have at their...
2,03-06-2019,Book Closure,21-06-2019,,Buy Back of Shares
3,24-02-2019,Book Closure,07-03-2019,,Pursuant to Regulation 42 of SEBI (Listing Obligations and Disclosure Requirements) Regulati...
4,11-06-2018,Book Closure,17-07-2018,19-07-2018,Annual General Meeting  Sc-Code: 607685
5,11-01-2018,Book Closure,01-02-2018,,50% Interim Dividend Sc-Code: 6076895
6,31-08-2017,Book Closure,15-09-2017,,Buy Back of Shares Sc-Code: 607685
7,12-07-2017,Book Closure,17-07-2017,19-07-2017,A.G.M.
8,10-01-2017,Book Closure,03-02-2017,,Interim Dividend
9,03-06-2016,Book Closure,13-07-2016,14-07-2016,Rs.1.0000 per share(50%)Final Dividend
10,22-04-2016,Book Closure,06-05-2016,,Buy Back of Shares
11,18-01-2016,Book Closure,27-01-2016,,Rs.5.0000 per share(250%)Interim Dividend
12,06-01-2016,Book Closure,27-01-2016,,Interim Dividend
13,21-04-2015,Book Closure,,22-07-2015,Rs.7.0000 per share(350%)Final Dividend & A.G.M.
14,16-01-2015,Book Closure,23-01-2015,,Rs.5.0000 per share(250%)Interim Dividend
15,07-01-2015,Book Closure,23-01-2015,,Interim Dividend
16,02-06-2014,Book Closure,23-07-2014,23-07-2014,Rs.5.0000 per share(250%)Final Dividend &  A.G.M. (Revised)
17,22-04-2014,Book Closure,01-07-2014,23-07-2014,Rs.5.0000 per share(250%)Final Dividend
18,17-04-2014,Book Closure,01-07-2014,23-07-2014,Rs.5.0000 per share(250%)Final Dividend
19,17-01-2014,Book Closure,23-01-2014,,Rs.3.0000 per share(150%)Interim Dividend
20,13-01-2014,Book Closure,23-01-2014,,Interim Dividend
21,10-07-2013,Book Closure,01-07-2013,22-07-2013,Rs.5.0000 per share(250%)Final Dividend
22,22-04-2013,Book Closure,01-07-2013,22-07-2013,Rs.5.0000 per share(250%)Final Dividend
23,02-04-2013,Book Closure,11-04-2013,,Scheme of Arrangement
24,18-01-2013,Book Closure,25-01-2013,,Rs.2.0000 per share(100%)Interim Dividend
25,15-01-2013,Book Closure,25-01-2013,,Interim Dividend
26,25-04-2012,Book Closure,01-07-2012,23-07-2012,Rs.4.00 per share(200%)Final Dividend
27,20-01-2012,Book Closure,25-01-2012,,Rs.2.00 per share(100%)Interim Dividend
28,10-01-2012,Book Closure,25-01-2012,,Interim Dividend
29,27-04-2011,Book Closure,01-07-2011,19-07-2011,Rs.4.00 per share(200%)Final Dividend & A.G.M.
30,21-01-2011,Book Closure,28-01-2011,,Rs.2.00 per share(100%)Interim Dividend
31,17-01-2011,Book Closure,28-01-2011,,Interim Dividend
32,30-06-2010,Book Closure,19-07-2010,22-07-2010,A.G.M.
33,08-06-2010,Book Closure,16-06-2010,,Rs.6.00 per share(300%)Final Dividend & Bonus issue
34,07-06-2010,Book Closure,16-06-2010,,Bonus issue
35,19-05-2010,Book Closure,01-07-2010,22-07-2010,Rs.6.00 per share(300%)Final Dividend & A.G.M. (Cancelled)
36,23-04-2010,Book Closure,01-07-2010,22-07-2010,Rs.6.00 per share(300%)Final Dividend & A.G.M.
37,22-04-2009,Book Closure,01-07-2009,21-07-2009,200% Final Dividend & A.G.M.
