,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,02-05-2019,Book Closure,06-06-2019,12-06-2019,Rs.2.0000 per share(100%)Final Dividend & A.G.M.
2,26-04-2018,Book Closure,06-06-2018,12-06-2018,Yes Bank Ltd has informed BSE that the Register of Members & Share Transfer Books of the Ban...
3,11-09-2017,Book Closure,22-09-2017,,Stock Split from Rs.10/- to Rs. 2/- Sc-Code: 632648
4,21-08-2017,Book Closure,12-10-2017,,Payment of Interest for Bonds
5,12-05-2017,Book Closure,31-05-2017,06-06-2017,Rs.12.0000 per share(120%)Dividend & A.G.M.
6,05-05-2016,Book Closure,01-06-2016,07-06-2016,Rs.10.0000 per share(100%)Final Dividend
7,08-05-2015,Book Closure,25-05-2015,06-06-2015,Rs.9.0000 per share(90%)Final Dividend
8,13-05-2014,Book Closure,02-06-2014,14-06-2014,Rs.8.0000 per share(80%)Final Dividend
9,12-05-2014,Book Closure,02-06-2014,14-06-2014,Rs.8.0000 per share(80%)Final Dividend &  A.G.M.
10,03-05-2013,Book Closure,27-05-2013,08-06-2013,Rs.6.0000 per share(60%)Final Dividend
11,14-06-2012,Book Closure,09-07-2012,14-07-2012,Rs.4.00 per share(40%)Final Dividend A.G.M.
12,26-05-2011,Book Closure,21-06-2011,28-06-2011,Rs.2.50 per share(25%)Final Dividend & A.G.M.
13,31-05-2010,Book Closure,28-06-2010,02-07-2010,Rs.1.50 per share(15%)Dividend & A.G.M.
14,13-08-2009,Book Closure,31-08-2009,03-09-2009,A.G.M.
