,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,22-07-2019,Book Closure,05-08-2019,,Rs.6.5000 per share(65%)FinalDividend
2,07-06-2018,Book Closure,28-06-2018,,Rs.6.0000 per share (60%)Dividend Sc-Code: 600325
3,31-08-2017,Book Closure,09-09-2017,,Bonus issue Sc-Code: 600325
4,29-06-2017,Book Closure,14-07-2017,,Rs.11.0000 per share(110%)Dividend
5,10-03-2016,Book Closure,18-03-2016,,Rs.10.5000 per share(105%)Interim Dividend
6,08-03-2016,Book Closure,18-03-2016,,Interim Dividend
7,15-05-2015,Book Closure,12-05-2015,15-05-2015,Rs.10.0000 per share(100%)Dividend
8,29-04-2015,Book Closure,12-05-2015,15-05-2015,Rs.10.0000 per share(100%)Dividend
9,14-05-2014,Book Closure,20-05-2014,23-05-2014,Rs.9.5000 per share(95%)Dividend
10,05-05-2014,Book Closure,20-05-2014,23-05-2014,Rs.9.5000 per share(95%)Dividend
11,02-05-2014,Book Closure,20-05-2014,23-05-2014,Rs.9.5000 per share(95%)Dividend
12,17-04-2013,Book Closure,14-05-2013,18-05-2013,Rs.9.0000 per share(90%)Dividend
13,24-04-2012,Book Closure,02-06-2012,07-06-2012,Rs.8.50 per share (85%) Dividend
14,25-04-2011,Book Closure,09-05-2011,14-05-2011,A.G.M. & Rs.8.00 per share(80%)Dividend
15,03-05-2010,Book Closure,12-05-2010,19-05-2010,Rs.7.00 per share(70%)Dividend
16,17-11-2009,Book Closure,27-11-2009,,Bonus Issue
17,08-10-2009,Book Closure,21-10-2009,21-10-2009,Rs.13.00 per share(130%)Dividend
