,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,10-01-2020,Book Closure,25-01-2020,,Third Interim Dividend
2,30-09-2019,Book Closure,18-10-2019,,Second Interim Dividend
3,28-06-2019,Book Closure,17-07-2019,,Interim Dividend
4,16-05-2019,Book Closure,06-06-2019,,Rs.18.0000 per share(1800%)Final Dividend
5,31-12-2018,Book Closure,18-01-2019,,Third Interim Dividend
6,11-10-2018,Book Closure,24-10-2018,,"We would like to inform you that at the Board Meeting held today, the Directors have declare..."
7,06-08-2018,Book Closure,18-08-2018,,Buy Back of Shares
8,29-06-2018,Book Closure,18-07-2018,,Interim Dividend
9,19-05-2018,Book Closure,02-06-2018,,"The twenty-third Annual General Meeting (AGM) of the Company will be held onFriday, June 15,..."
10,11-01-2018,Book Closure,23-01-2018,,Rs.7.0000 per share(700%)Third Interim Dividend Sc-Code: 632540
11,12-10-2017,Book Closure,26-10-2017,,Rs.7.0000 per share(700%)Second Interim Dividend Sc- 6322540
12,24-05-2017,Book Closure,15-06-2017,16-06-2017,Rs.27.5000 per share(2750%)Final Dividend
13,26-04-2017,Book Closure,08-05-2017,,Buy Back of Shares
14,12-01-2017,Book Closure,24-01-2017,,Rs.6.5000 per share(650%)Third Interim Dividend
15,13-10-2016,Book Closure,25-10-2016,,Rs.6.5000 per share(650%)Second Interim Dividend
16,14-07-2016,Book Closure,26-07-2016,,Rs.6.5000 per share(650%)Interim Dividend
17,25-05-2016,Book Closure,08-06-2016,09-06-2016,Rs.27.0000 per share(2700%)Final Dividend
18,12-01-2016,Book Closure,22-01-2016,,Rs.5.5000 per share(550%)Third Interim Dividend
19,13-10-2015,Book Closure,26-10-2015,,Rs.5.5000 per share(550%)Second Interim Dividend
20,09-07-2015,Book Closure,21-07-2015,,Rs.5.5000 per share(550%)Interim Dividend
21,27-05-2015,Book Closure,09-06-2015,13-06-2015,Rs.24.0000 per share(2400%)Final Dividend
22,15-01-2015,Book Closure,28-01-2015,,Rs.5.0000 per share(500%)Third Interim Dividend
23,16-10-2014,Book Closure,30-10-2014,,Rs.5.0000 per share(500%)Second Interim Dividend
24,17-07-2014,Book Closure,30-07-2014,,Rs.40.0000 per share(4000%)Special Dividend & Rs.5.0000 per share(500%)Interim Dividend
25,03-06-2014,Book Closure,10-06-2014,13-06-2014,Rs.20.0000 per share(2000%)Final Dividend
26,02-06-2014,Book Closure,10-06-2014,13-06-2014,Rs.20.0000 per share(2000%)Final Dividend & A.G.M.
27,16-01-2014,Book Closure,28-01-2014,,Rs.4.0000 per share(400%)Third Interim Dividend
28,15-10-2013,Book Closure,28-10-2013,,Rs.4.0000 per share(400%)Second Interim Dividend
29,18-07-2013,Book Closure,30-07-2013,,Rs.4.0000 per share(400%)Interim Dividend
30,30-05-2013,Book Closure,08-06-2013,14-06-2013,Rs.13.0000 per share(1300%)Final Dividend
31,14-01-2013,Book Closure,24-01-2013,,Rs.3.0000 per share(300%)Third Interim Dividend
32,22-10-2012,Book Closure,01-11-2012,,Rs.3.0000 per share(300%)Second Interim Dividend
33,12-07-2012,Book Closure,24-07-2012,,Rs.3.00 per share(300%)Interim Dividend
34,30-05-2012,Book Closure,09-06-2012,15-06-2012,Rs.8.00 per share(800%)Special Dividend
35,17-01-2012,Book Closure,28-01-2012,,Rs.3.00 per share (300%) Third Interim Dividend
36,18-10-2011,Book Closure,29-10-2011,,Rs.3.00 per share(300%)Second Interim Dividend
37,15-07-2011,Book Closure,29-07-2011,,Rs.3.00 per share(300%)Interim Dividend
38,01-06-2011,Book Closure,10-06-2011,23-06-2011,Rs.8.00 per share(800%)Final Dividend & A.G.M.
39,18-01-2011,Book Closure,28-01-2011,,Rs.2.00 per share(200%)Third Interim Dividend
40,22-10-2010,Book Closure,02-11-2010,,Rs.2.00 per share(200%)Second Interim Dividend
41,16-07-2010,Book Closure,30-07-2010,,Rs.2.00 per share(200%)Interim Dividend
42,03-06-2010,Book Closure,17-06-2010,28-06-2010,Rs.10.00 per share(1000%)Special Dividend & Rs.4.00 per share(400%)Final Dividend A.G.M.
43,02-06-2010,Book Closure,17-06-2010,28-06-2010,Rs.10.00 per share(1000%)Dividend & Rs.4.00 per share(400%)Final Dividend A.G.M.
44,18-01-2010,Book Closure,28-01-2010,,Rs.2.00 per share(200%)Third Interim Dividend
45,20-10-2009,Book Closure,29-10-2009,,Rs.2.00 per share(200%)Second Interim Dividend
46,20-07-2009,Book Closure,29-07-2009,30-07-2009,Rs.2.00 per share(200%)Interim Dividend
47,05-06-2009,Book Closure,17-06-2009,,Rs.5.00 per share(500%)Final Dividend & Bonus issue
