,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,09-03-2020,Book Closure,20-03-2020,,"Amara Raja Batteries Ltd has informed BSE that the Company has fixed March 20, 2020 as the R..."
2,19-06-2019,Book Closure,15-07-2019,20-07-2019,AGM & Rs.5.0800 per share(508%)Final Dividend
3,10-11-2018,Book Closure,23-11-2018,,"Amara Raja Batteries Ltd has informed BSE that the Company has fixed November 23, 2018 as th..."
4,09-11-2017,Book Closure,21-11-2017,,Rs.2.0000 per share(200%)Interim Dividend  Sc-Code: 600008
5,06-06-2017,Book Closure,01-08-2017,07-08-2017,Rs.4.2500 per share(425%)Dividend & A.G.M.
6,15-03-2016,Book Closure,23-03-2016,,Rs.4.2500 per share(425%)Interim Dividend
7,10-03-2016,Book Closure,23-03-2016,,Interim Dividend
8,17-07-2015,Book Closure,08-08-2015,14-08-2015,A.G.M. & Rs.3.6100 per share(361%)Dividend
9,29-05-2014,Book Closure,01-08-2014,06-08-2014,A.G.M. &  Rs.3.2300 per share(323%)Dividend
10,14-05-2013,Book Closure,08-08-2013,14-08-2013,Rs.2.5200 per share(252%)Dividend
11,31-08-2012,Book Closure,26-09-2012,,Stock Split  from Rs.  2/- to Re.l/-
12,29-05-2012,Book Closure,07-08-2012,14-08-2012,Rs.3.78 per share(189%)Dividend &  A.G.M.
13,17-05-2011,Book Closure,04-08-2011,13-08-2011,A.G.M. & Rs.2.60 per share(130%)Dividend
14,25-01-2011,Book Closure,31-01-2011,,Rs.2.00 per share(100%)Special Dividend
15,24-01-2011,Book Closure,31-01-2011,,Rs.2.00 per share(100%)Special Dividend
16,14-01-2011,Book Closure,31-01-2011,,Special Dividend
17,20-05-2010,Book Closure,22-07-2010,29-07-2010,A.G.M. & Rs.2.90 per share(145%)Dividend
18,02-06-2009,Book Closure,23-07-2009,30-07-2009,Rs.0.80 per share(40%)Dividend & A.G.M.
