,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,02-05-2019,Book Closure,27-07-2019,05-08-2019,Rs.1.5000 per share(75%)Final Dividend & A.G.M.
2,14-05-2018,Book Closure,21-07-2018,07-08-2018,Rs.1.0000 per shares (50%)Dividend & A.G.M. Sc-Code: 60020
3,29-06-2017,Book Closure,28-07-2017,10-08-2017,A.G.M. & Rs.0.7000 per share(35%)Dividend
4,21-07-2016,Book Closure,29-07-2016,10-08-2016,Rs.0.5000 per share(25%)Dividend & A.G.M.
5,04-06-2015,Book Closure,01-08-2015,06-08-2015,Rs.0.8000 per share(40%)Dividend & A.G.M.
6,10-06-2014,Book Closure,30-07-2014,08-08-2014,Rs.0.8000 per share(40%)Dividend &  A.G.M.
7,04-06-2013,Book Closure,30-07-2013,06-08-2013,A.G.M.
8,19-10-2012,Book Closure,31-10-2012,,Stock Split from Rs. 10/- to Rs.2/-
9,04-06-2012,Book Closure,31-07-2012,07-08-2012,Rs.5.00 per share(50%)Dividend & A.G.M.
10,31-05-2011,Book Closure,27-07-2011,04-08-2011,A.G.M. & Rs.3.50 per share(35%)Dividend
11,08-06-2010,Book Closure,03-08-2010,11-08-2010,Rs.2.50 per share(25%)Dividend & A.G.M.
12,30-07-2009,Book Closure,18-08-2009,28-08-2009,Rs.1.00 per share(10%)Dividend & A.G.M.
