,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,10-02-2020,Book Closure,21-02-2020,,Rs.3.0000 per share(30%)SecondInterim Dividend
2,08-11-2019,Book Closure,22-11-2019,,Rs.3.0000 per share(30%)InterimDividend
3,07-02-2019,Book Closure,19-02-2019,,Rs.3.0000 per share(30%)Second InterimDividend
4,10-11-2018,Book Closure,20-11-2018,,"MRF Ltd has informed BSE that the Company has fixed November 20, 2018 as the Record Date for..."
5,03-05-2018,Book Closure,03-08-2018,09-08-2018,AGM & 'Rs.54.0000 per shares (540%)Final Dividend Sc-Code: 600290
6,01-02-2018,Book Closure,13-02-2018,,Rs.3.0000 per share(30%)Second Interim Dividend Sc-Code: 600290
7,10-11-2017,Book Closure,22-11-2017,,Rs.3.0000 per share(30%)Interim Dividend Sc-code: 600290
8,05-05-2017,Book Closure,29-07-2017,04-08-2017,Rs.54.0000 per share(540%)Final Dividend
9,03-02-2017,Book Closure,15-02-2017,,Rs.3.0000 per share(30%)Second Interim Dividend
10,28-10-2016,Book Closure,09-11-2016,,Rs.3.0000 per share(30%)Interim Dividend
11,03-05-2016,Book Closure,05-08-2016,11-08-2016,Rs.94.0000 per share(940%)Final Dividend & A.G.M.
12,29-10-2015,Book Closure,13-11-2015,,Rs.3.0000 per share(30%)Second Interim Dividend
13,27-07-2015,Book Closure,07-08-2015,,Rs.3.0000 per share(30%)Interim Dividend
14,26-11-2014,Book Closure,06-02-2015,12-02-2015,Rs.44.0000 per share(440%)Final Dividend
15,30-10-2014,Book Closure,14-11-2014,,Rs.3.0000 per share(30%)Second Interim Dividend
16,23-07-2014,Book Closure,07-08-2014,,Rs.3.0000 per share(30%)Interim Dividend
17,28-11-2013,Book Closure,01-02-2014,06-02-2014,Rs.24.0000 per share(240%)Final Dividend
18,24-10-2013,Book Closure,06-11-2013,,Rs.3.0000 per share(30%)Second Interim Dividend
19,25-07-2013,Book Closure,07-08-2013,,Rs.3.0000 per share(30%)Interim Dividend
20,29-11-2012,Book Closure,01-02-2013,07-02-2013,Rs.19.0000 per share(190%)Final Dividend & A.G.M.
21,25-10-2012,Book Closure,08-11-2012,,Rs.3.0000 per share(30%)Second Interim Dividend
22,25-07-2012,Book Closure,07-08-2012,,Rs.3.00 per share(30%)Interim Dividend
23,29-11-2011,Book Closure,01-02-2012,09-02-2012,Rs.19.00 per share(190%)Final Dividend & A.G.M.
24,20-10-2011,Book Closure,03-11-2011,,Rs.3.00 per share(30%)Second Interim Dividend
25,28-07-2011,Book Closure,10-08-2011,,Rs.3.00 per share(30%)Interim Dividend
26,21-10-2010,Book Closure,03-11-2010,,Rs.3.00 per share(30%)Second Interim Dividend
27,28-07-2010,Book Closure,09-08-2010,,Rs.3.00 per share(30%)Interim Dividend
28,21-12-2009,Book Closure,01-03-2010,11-03-2010,A.G.M. & Rs.19.00 per share(190%)Dividend
29,28-10-2009,Book Closure,07-11-2009,,Rs.3.00 per share(30%)Second Interim Dividend
30,27-10-2009,Book Closure,07-11-2009,07-11-2009,Rs.3.00 per share(30%)Second Interim Dividend
31,27-07-2009,Book Closure,07-08-2009,,Rs.3.00 per share(30%)Interim Dividend
