,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,28-02-2020,Book Closure,14-03-2020,,Rs.1.5000 per share(150%)InterimDividend
2,24-07-2019,Book Closure,11-08-2019,14-08-2019,Rs.1.5000 per share(150%)Final Dividend& AGM..
3,19-10-2018,Book Closure,31-10-2018,,Bonus issue
4,23-07-2018,Book Closure,10-08-2018,13-08-2018,Rs.2.2500 per shares (225%)Dividend & A.G.M.
5,01-08-2017,Book Closure,18-08-2017,21-08-2017,A.G.M. & Rs.2.0000 per share(200%)Dividend
6,28-06-2017,Book Closure,07-07-2017,07-07-2017,Bonus issue
7,11-08-2016,Book Closure,29-08-2016,31-08-2016,A.G.M.
8,16-03-2016,Book Closure,25-03-2016,,Rs.2.5000 per share(250%)Interim Dividend
9,11-03-2016,Book Closure,25-03-2016,,Interim Dividend
10,16-07-2015,Book Closure,25-07-2015,25-07-2015,Rs.3.0000 per share(300%)Dividend & Bonus issue & A.G.M.
11,08-07-2015,Book Closure,25-07-2015,25-07-2015,Rs.3.0000 per share(300%)Dividend & A.G.M.
12,05-08-2014,Book Closure,21-08-2014,25-08-2014,A.G.M. &  Rs.2.5000 per share(250%)Dividend
13,12-12-2013,Book Closure,24-12-2013,24-12-2013,Bonus issue
14,02-08-2013,Book Closure,23-08-2013,27-08-2013,Rs.2.0000 per share(200%)Dividend & A.G.M.
15,17-05-2013,Book Closure,23-08-2013,27-08-2013,Rs.2.0000 per share(200%)Dividend & A.G.M.
16,18-09-2012,Book Closure,05-10-2012,05-10-2012,Bonus issue
17,23-08-2012,Book Closure,04-09-2012,04-09-2012,Rs.2.25 per share(225%)Dividend & A.G.M. (Revised)
18,28-05-2012,Book Closure,06-09-2012,10-09-2012,Rs.2.25 per share(225%)Dividend & A.G.M.
19,25-05-2011,Book Closure,28-08-2011,02-09-2011,Rs.2.75 per share(275%)Dividend & A.G.M.
20,18-05-2010,Book Closure,21-08-2010,26-08-2010,Rs.1.75 per share(175%)Dividend & A.G.M.
21,30-06-2009,Book Closure,18-09-2009,24-09-2009,Rs.1.35 per share(135%)Dividend& A.G.M.
