,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,07-06-2018,Book Closure,19-06-2018,28-06-2018,Annual General Meeting  Sc-Code: 600112
2,18-08-2017,Book Closure,28-08-2017,,Payment of Interest for Bonds & Temporary Suspension
3,23-05-2017,Book Closure,30-05-2017,03-06-2017,Rs.2.6000 per share(260%)Dividend
4,01-06-2016,Book Closure,07-06-2016,11-06-2016,Rs.2.6000 per share(260%)Dividend
5,16-05-2016,Book Closure,07-06-2016,11-06-2016,Dividend
6,26-05-2015,Book Closure,30-05-2015,03-06-2015,Rs.3.5000 per share(350%)Dividend
7,28-10-2014,Book Closure,21-11-2014,,Stock Split from Rs.10/- to Re.l/-
8,23-05-2014,Book Closure,31-05-2014,04-06-2014,Rs.15.0000 per share(150%)Dividend
9,14-05-2014,Book Closure,31-05-2014,04-06-2014,Dividend
10,04-03-2014,Book Closure,13-03-2014,17-03-2014,Rs.15.0000 per share(150%)Interim Dividend
11,23-05-2013,Book Closure,30-05-2013,03-06-2013,Rs.41.5000 per share(415%)Dividend
12,14-05-2013,Book Closure,30-05-2013,03-06-2013,Dividend
13,18-05-2012,Book Closure,26-05-2012,31-05-2012,Rs.35.00 per share(350%)Dividend
14,14-05-2012,Book Closure,26-05-2012,31-05-2012,Dividend
15,17-05-2011,Book Closure,24-05-2011,28-05-2011,Rs.30.00 per share(300%)Dividend
16,11-05-2011,Book Closure,24-05-2011,28-05-2011,Dividend
17,14-05-2010,Book Closure,11-06-2010,16-06-2010,Rs.20.00 per share(200%)Dividend
18,11-05-2010,Book Closure,11-06-2010,16-06-2010,Dividend
19,27-01-2010,Book Closure,09-02-2010,13-02-2010,Rs.10.00 per share(100%)Interim Dividend
20,18-05-2009,Book Closure,12-06-2009,19-06-2009,A.G.M. & Rs.29.00 per share(290%)Dividend
