,Announcement_Date,PURPOSE,FROM,TO,REMARKS
0,ANNOUNCEMENT DATE,PURPOSE,FROM,TO,REMARKS
1,24-11-2016,Book Closure,10-11-2016,17-11-2016,A.G.M.
2,20-10-2015,Book Closure,11-11-2015,14-11-2015,A.G.M.
3,30-10-2014,Book Closure,17-11-2014,19-11-2014,A.G.M.
4,18-11-2013,Book Closure,21-12-2013,24-12-2013,A.G.M.
5,11-09-2012,Book Closure,22-09-2012,25-09-2012,Rs.5.0000 per share(100%)Final Dividend & A.G.M.
6,21-06-2012,Book Closure,03-07-2012,,Stock Split from Rs.10/- to Rs.5/-
7,15-09-2011,Book Closure,24-09-2011,29-09-2011,Rs.8.00 per share(80%)Final Dividend & A.G.M.
8,02-09-2010,Book Closure,23-09-2010,30-09-2010,Rs.6.00 per share(60%)Dividend & A.G.M.
9,26-06-2009,Book Closure,16-09-2009,23-09-2009,Rs.3.00 per share(30%)Dividend & A.G.M.
