,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,25-02-2020,Dividend,715.00,Interim 2,03-03-2020,-
2,22-10-2019,Dividend,335.00,Interim,30-10-2019,-
3,09-05-2019,Dividend,765.00,Final,13-06-2019,15-06-2019
4,22-10-2018,Dividend,285.00,Interim,29-10-2018,-
5,10-05-2018,Dividend,605.00,Final,14-06-2018,16-06-2018
6,24-10-2017,Dividend,265.00,Interim,31-10-2017,-
7,11-05-2017,Dividend,200.00,Special,15-06-2017,17-06-2017
8,11-05-2017,Dividend,565.00,Final,15-06-2017,17-06-2017
9,25-10-2016,Dividend,265.00,Interim,01-11-2016,-
10,11-05-2016,Dividend,530.00,Final,16-06-2016,18-06-2016
11,23-10-2015,Dividend,220.00,Interim,28-10-2015,-
12,18-05-2015,Dividend,430.00,Final,24-06-2015,26-06-2015
13,17-09-2014,Dividend,180.00,Interim,22-09-2014,-
14,14-05-2014,Dividend,420.00,Final,16-06-2014,18-06-2014
15,21-10-2013,Dividend,110.00,Interim,24-10-2013,-
16,09-05-2013,Dividend,365.00,Final,06-06-2013,08-06-2013
17,25-10-2012,Dividend,95.00,Interim,29-10-2012,-
18,08-05-2012,Dividend,305.00,Final,07-06-2012,09-06-2012
19,21-10-2011,Dividend,95.00,Interim,25-10-2011,-
20,10-05-2011,Dividend,235.00,Final,09-06-2011,11-06-2011
21,27-10-2010,Dividend,85.00,Interim,29-10-2010,-
22,28-05-2010,Dividend,185.00,Final,30-06-2010,03-07-2010
