,Announcement_Date,PURPOSE,DIVIDEND_%,DIVIDEND_TYPE,EX_DIVIDEND_DATE,BOOK_CLOSURER_DATE
0,ANNOUNCEMENT DATE,PURPOSE,DIVIDEND (%),DIVIDEND TYPE,EX-DIVIDEND DATE,BOOK-CLOSURER DATE
1,13-05-2019,Dividend,575.00,Final,22-05-2019,24-05-2019
2,16-05-2018,Dividend,515.00,Final,25-05-2018,29-05-2018
3,26-05-2017,Dividend,475.00,Final,05-06-2017,07-06-2017
4,20-05-2016,Dividend,200.00,Special,30-05-2016,01-06-2016
5,20-05-2016,Dividend,650.00,Final,30-05-2016,01-06-2016
6,22-05-2015,Dividend,625.00,Final,03-06-2015,05-06-2015
7,23-05-2014,Dividend,600.00,Final,03-06-2014,05-06-2014
8,17-05-2013,Dividend,525.00,Final,31-05-2013,04-06-2013
9,20-05-2011,Dividend,280.00,Final,10-06-2011,14-06-2011
10,20-05-2011,Dividend,165.00,Special,10-06-2011,14-06-2011
11,21-05-2010,Dividend,450.00,Final,09-06-2010,11-06-2010
12,21-05-2010,Dividend,550.00,Special,09-06-2010,11-06-2010
